llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
35542523.0,5183535.0,941062121.0,597364898.0,192359428.0,1246358.0,6.0,879486528,7340032,997851136,18546688
35542523.0,5183535.0,941062121.0,597364898.0,192359428.0,1246358.0,6.0,879486528,7340032,997851136,18546688
35865652.0,4040271.0,937022968.0,564116731.0,161605146.0,1280434.0,20.0,419306867,17104896,472711168,0
35865652.0,4040271.0,937022968.0,564116731.0,161605146.0,1280434.0,20.0,419306867,17104896,472711168,0
32559840.0,1803116.0,905313411.0,447492937.0,67127685.0,51208.0,78.0,419795096,17301504,393216,131072
32559840.0,1803116.0,905313411.0,447492937.0,67127685.0,51208.0,78.0,419795096,17301504,393216,131072
35400255.0,2077650.0,980094096.0,489527496.0,78414592.0,81963.0,40.0,419879082,17432576,196608,131072
35400255.0,2077650.0,980094096.0,489527496.0,78414592.0,81963.0,40.0,419879082,17432576,196608,131072
34322053.0,1969951.0,954286900.0,472449633.0,76428363.0,43071.0,22.0,420118643,17367040,131072,131072
34322053.0,1969951.0,954286900.0,472449633.0,76428363.0,43071.0,22.0,420118643,17367040,131072,131072
33000924.0,1892550.0,919211354.0,450391612.0,71734347.0,35610.0,31.0,419859503,17498112,196608,65536
33000924.0,1892550.0,919211354.0,450391612.0,71734347.0,35610.0,31.0,419859503,17498112,196608,65536
31763291.0,1816431.0,874579021.0,439297696.0,70637837.0,61255.0,13.0,419998266,17498112,65536,131072
31763291.0,1816431.0,874579021.0,439297696.0,70637837.0,61255.0,13.0,419998266,17498112,65536,131072
28708426.0,1711964.0,788815456.0,399341531.0,65446878.0,56941.0,25.0,419971438,17432576,65536,0
28708426.0,1711964.0,788815456.0,399341531.0,65446878.0,56941.0,25.0,419971438,17432576,65536,0
31852021.0,1866178.0,892255949.0,449365472.0,72629438.0,51435.0,25.0,419863101,17432576,65536,131072
31852021.0,1866178.0,892255949.0,449365472.0,72629438.0,51435.0,25.0,419863101,17432576,65536,131072
31973845.0,1818665.0,889082315.0,444264333.0,72511253.0,55578.0,12.0,420009093,17432576,65536,65536
31973845.0,1818665.0,889082315.0,444264333.0,72511253.0,55578.0,12.0,420009093,17432576,65536,65536
29823402.0,1744245.0,834304101.0,400468265.0,58013683.0,114459.0,20.0,419860833,17235968,12976128,458752
29823402.0,1744245.0,834304101.0,400468265.0,58013683.0,114459.0,20.0,419860833,17235968,12976128,458752
29867546.0,1733588.0,820065365.0,399345327.0,58772264.0,92141.0,12.0,419889257,17301504,720896,0
29867546.0,1733588.0,820065365.0,399345327.0,58772264.0,92141.0,12.0,419889257,17301504,720896,0
30412785.0,1765682.0,840793161.0,421182235.0,68713211.0,30475.0,38.0,419837715,17498112,196608,131072
30412785.0,1765682.0,840793161.0,421182235.0,68713211.0,30475.0,38.0,419837715,17498112,196608,131072
33617113.0,3474657.0,950673666.0,532717730.0,147261183.0,501781.0,23.0,420124359,12976128,445186048,6946816
33617113.0,3474657.0,950673666.0,532717730.0,147261183.0,501781.0,23.0,420124359,12976128,445186048,6946816
27165171.0,2306175.0,771090021.0,389863424.0,64949502.0,237761.0,19.0,419739987,11927552,146145280,851968
27165171.0,2306175.0,771090021.0,389863424.0,64949502.0,237761.0,19.0,419739987,11927552,146145280,851968
32266606.0,3498382.0,897518855.0,493861811.0,120834811.0,448228.0,17.0,419955555,15859712,280428544,3080192
32266606.0,3498382.0,897518855.0,493861811.0,120834811.0,448228.0,17.0,419955555,15859712,280428544,3080192
32095180.0,3252951.0,892157800.0,494882702.0,124329006.0,338051.0,14.0,419853920,15073280,235405312,3997696
32095180.0,3252951.0,892157800.0,494882702.0,124329006.0,338051.0,14.0,419853920,15073280,235405312,3997696
30734609.0,3012715.0,850963436.0,469237533.0,104493502.0,379528.0,10.0,419841779,16252928,187760640,2752512
30734609.0,3012715.0,850963436.0,469237533.0,104493502.0,379528.0,10.0,419841779,16252928,187760640,2752512
31245621.0,2158293.0,862680846.0,424322240.0,69149925.0,143473.0,30.0,419852454,15728640,72941568,2031616
31245621.0,2158293.0,862680846.0,424322240.0,69149925.0,143473.0,30.0,419852454,15728640,72941568,2031616
35466894.0,3041688.0,974739341.0,522035712.0,105811015.0,224072.0,12.0,419859076,16056320,162594816,327680
35466894.0,3041688.0,974739341.0,522035712.0,105811015.0,224072.0,12.0,419859076,16056320,162594816,327680
33478342.0,2570533.0,940451188.0,486157516.0,92964317.0,69368.0,10.0,419983634,16318464,104136704,131072
33478342.0,2570533.0,940451188.0,486157516.0,92964317.0,69368.0,10.0,419983634,16318464,104136704,131072
32928511.0,2096958.0,909750959.0,446472954.0,67611006.0,158716.0,13.0,419901377,16842752,48889856,196608
32928511.0,2096958.0,909750959.0,446472954.0,67611006.0,158716.0,13.0,419901377,16842752,48889856,196608
32326367.0,1914464.0,884429214.0,420372477.0,53453907.0,27037.0,28.0,419977689,16973824,7995392,589824
32326367.0,1914464.0,884429214.0,420372477.0,53453907.0,27037.0,28.0,419977689,16973824,7995392,589824
29353950.0,1703217.0,825632384.0,396414798.0,49717368.0,19041.0,21.0,419990209,17235968,327680,196608
29353950.0,1703217.0,825632384.0,396414798.0,49717368.0,19041.0,21.0,419990209,17235968,327680,196608
33792838.0,1933698.0,918952675.0,431118583.0,53214565.0,31649.0,20.0,419661767,17235968,786432,262144
33792838.0,1933698.0,918952675.0,431118583.0,53214565.0,31649.0,20.0,419661767,17235968,786432,262144
29960798.0,1782290.0,835628568.0,398023001.0,50439142.0,66996.0,27.0,419707182,17235968,65536,196608
