llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
40731628.0,3736921.0,2804547782.0,3207502521.0,1556260272.0,16391269.0,0.0,876337590,1114112,678559744,3473408
40731628.0,3736921.0,2804547782.0,3207502521.0,1556260272.0,16391269.0,0.0,876337590,1114112,678559744,3473408
40435306.0,3260369.0,2993929547.0,3200947964.0,1543542444.0,14807683.0,0.0,419140827,40828928,325320704,1114112
40435306.0,3260369.0,2993929547.0,3200947964.0,1543542444.0,14807683.0,0.0,419140827,40828928,325320704,1114112
8248901.0,726091.0,642822484.0,642899883.0,271382283.0,2181489.0,22.0,420141190,38600704,123207680,0
8248901.0,726091.0,642822484.0,642899883.0,271382283.0,2181489.0,22.0,420141190,38600704,123207680,0
1377320.0,293317.0,43578905.0,141945614.0,83011170.0,6680.0,11.0,419860483,38993920,30212096,262144
1377320.0,293317.0,43578905.0,141945614.0,83011170.0,6680.0,11.0,419860483,38993920,30212096,262144
1236301.0,295557.0,42584991.0,138920585.0,82736383.0,6515.0,11.0,419686911,38993920,29163520,0
1236301.0,295557.0,42584991.0,138920585.0,82736383.0,6515.0,11.0,419686911,38993920,29163520,0
1316149.0,290159.0,43432460.0,145224339.0,85898903.0,8307.0,31.0,420007132,39124992,27000832,0
1316149.0,290159.0,43432460.0,145224339.0,85898903.0,8307.0,31.0,420007132,39124992,27000832,0
1321896.0,295246.0,44077813.0,145801822.0,85628225.0,7256.0,7.0,419799437,39059456,28508160,131072
1321896.0,295246.0,44077813.0,145801822.0,85628225.0,7256.0,7.0,419799437,39059456,28508160,131072
1355520.0,299485.0,45611124.0,152887981.0,91457849.0,7497.0,5.0,419962161,39190528,29229056,0
1355520.0,299485.0,45611124.0,152887981.0,91457849.0,7497.0,5.0,419962161,39190528,29229056,0
1396399.0,291551.0,45754678.0,155372165.0,92306960.0,7750.0,13.0,419884092,39190528,25493504,65536
1396399.0,291551.0,45754678.0,155372165.0,92306960.0,7750.0,13.0,419884092,39190528,25493504,65536
1325113.0,291186.0,44208988.0,146550863.0,86143362.0,7488.0,16.0,419854637,38993920,29949952,327680
1325113.0,291186.0,44208988.0,146550863.0,86143362.0,7488.0,16.0,419854637,38993920,29949952,327680
1326243.0,288124.0,42493898.0,146048416.0,86539930.0,7464.0,26.0,419830978,39059456,27262976,0
1326243.0,288124.0,42493898.0,146048416.0,86539930.0,7464.0,26.0,419830978,39059456,27262976,0
1233366.0,286575.0,40340116.0,139556975.0,82408767.0,8371.0,10.0,419890303,39583744,24641536,0
