category,ntail-masstree,bfs
runtime,32.033650398254395,47.14154934883118
llc_references,7091789.208633094,6321839.753694581
llc_misses,1242180.6474820143,2876592.63546798
instructions,350568377.2661871,4678940716.748769
cycles,665836082.410072,1992272409.1625617
stall_cycles,358828926.36690646,348872453.05418724
intra_coh,751973.4892086331,164381.10837438423
inter_coh,79.31654676258992,14.778325123152708
wall_cycles,2114048560.2877698,2226714025.4679804
llc_size,161819699.5683453,90325072.7093596
local_mem,117686625.6115108,287653000.1970444
remote_mem,983040.0,1063749.3596059112
