llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
2299448.0,1041874.0,354148466.0,402180171.0,213236423.0,0.0,0.0,831303706,7864320,238485504,0
2299448.0,1041874.0,354148466.0,402180171.0,213236423.0,0.0,0.0,831303706,7864320,238485504,0
2053769.0,882195.0,275337654.0,336832753.0,187503426.0,0.0,0.0,5181149226,655360,83427328,0
2053769.0,882195.0,275337654.0,336832753.0,187503426.0,0.0,0.0,5181149226,655360,83427328,0
3335723.0,1148000.0,311591824.0,382515410.0,213236305.0,0.0,0.0,419589309,28246016,66715648,0
3335723.0,1148000.0,311591824.0,382515410.0,213236305.0,0.0,0.0,419589309,28246016,66715648,0
3674996.0,1148651.0,331679602.0,392637783.0,212750762.0,0.0,0.0,419622294,28377088,80150528,851968
3674996.0,1148651.0,331679602.0,392637783.0,212750762.0,0.0,0.0,419622294,28377088,80150528,851968
3737642.0,1231640.0,335724890.0,395222864.0,213907909.0,0.0,0.0,419581778,29097984,76021760,0
3737642.0,1231640.0,335724890.0,395222864.0,213907909.0,0.0,0.0,419581778,29097984,76021760,0
3512240.0,1215185.0,306347859.0,377800989.0,211022963.0,0.0,0.0,419542645,26869760,59703296,393216
3512240.0,1215185.0,306347859.0,377800989.0,211022963.0,0.0,0.0,419542645,26869760,59703296,393216
3377161.0,1184250.0,291392201.0,362385457.0,204254332.0,0.0,0.0,419611611,26542080,61341696,131072
3377161.0,1184250.0,291392201.0,362385457.0,204254332.0,0.0,0.0,419611611,26542080,61341696,131072
3128564.0,1104853.0,259873466.0,332331058.0,191654619.0,0.0,0.0,419727021,25755648,63045632,0
3128564.0,1104853.0,259873466.0,332331058.0,191654619.0,0.0,0.0,419727021,25755648,63045632,0
3107251.0,1134272.0,256156313.0,325725794.0,188332117.0,0.0,0.0,419555253,25493504,50331648,262144
3107251.0,1134272.0,256156313.0,325725794.0,188332117.0,0.0,0.0,419555253,25493504,50331648,262144
2941384.0,1102296.0,238146354.0,307168506.0,178758949.0,0.0,0.0,419436219,25427968,49086464,131072
2941384.0,1102296.0,238146354.0,307168506.0,178758949.0,0.0,0.0,419436219,25427968,49086464,131072
2679420.0,1045958.0,218540269.0,286659594.0,169791072.0,0.0,0.0,419671368,25952256,58392576,65536
2679420.0,1045958.0,218540269.0,286659594.0,169791072.0,0.0,0.0,419671368,25952256,58392576,65536
2697502.0,1043193.0,212132851.0,273159155.0,158780251.0,0.0,0.0,419568243,24903680,52101120,65536
2697502.0,1043193.0,212132851.0,273159155.0,158780251.0,0.0,0.0,419568243,24903680,52101120,65536
2567865.0,977381.0,196309825.0,255422431.0,149352492.0,0.0,0.0,419798232,23134208,57212928,0
2567865.0,977381.0,196309825.0,255422431.0,149352492.0,0.0,0.0,419798232,23134208,57212928,0
2408422.0,924848.0,180881496.0,237315337.0,139775695.0,0.0,0.0,419408676,21364736,57802752,0
2408422.0,924848.0,180881496.0,237315337.0,139775695.0,0.0,0.0,419408676,21364736,57802752,0
2208383.0,891613.0,168661674.0,215485781.0,124446764.0,0.0,0.0,419706594,20447232,58064896,524288
2208383.0,891613.0,168661674.0,215485781.0,124446764.0,0.0,0.0,419706594,20447232,58064896,524288
2277774.0,896009.0,169136574.0,222856391.0,131282550.0,0.0,0.0,419684251,20971520,53673984,0
2277774.0,896009.0,169136574.0,222856391.0,131282550.0,0.0,0.0,419684251,20971520,53673984,0
2289599.0,892616.0,167898023.0,221989413.0,131247523.0,0.0,0.0,419538770,20643840,59375616,0
2289599.0,892616.0,167898023.0,221989413.0,131247523.0,0.0,0.0,419538770,20643840,59375616,0
1799873.0,728673.0,165951100.0,219457775.0,131027119.0,882.0,0.0,419639556,19333120,52494336,65536
1799873.0,728673.0,165951100.0,219457775.0,131027119.0,882.0,0.0,419639556,19333120,52494336,65536
1698668.0,684546.0,169342856.0,231890665.0,139511138.0,0.0,0.0,419597070,18087936,48365568,131072
1698668.0,684546.0,169342856.0,231890665.0,139511138.0,0.0,0.0,419597070,18087936,48365568,131072
1710939.0,693473.0,168345586.0,231909605.0,140324667.0,0.0,1.0,419612154,18153472,49348608,0
1710939.0,693473.0,168345586.0,231909605.0,140324667.0,0.0,1.0,419612154,18153472,49348608,0
1657185.0,649525.0,155251088.0,219256757.0,133363655.0,0.0,0.0,419380682,15925248,54001664,0
