category,ntail-masstree,swaptions
runtime,32.03251552581787,59.41118001937866
llc_references,7073700.143884892,4660756.301115241
llc_misses,1122697.4100719425,91914.40520446096
instructions,354354994.24460435,25904568334.07063
cycles,656820354.4604316,11357737358.884758
stall_cycles,349275706.4388489,1290504976.2081785
intra_coh,695233.5971223022,2343759.944237918
inter_coh,73.09352517985612,0.1486988847583643
wall_cycles,2114057697.3381295,2195297613.1784387
llc_size,191791811.2230216,6385496.505576208
local_mem,110755840.0,325243.71747211897
remote_mem,445550.50359712227,32889.814126394056
