category,ntail-moses,SP
runtime,75.91471457481384,199.5872838497162
llc_references,26708653.72905028,526456652.8786307
llc_misses,16371552.625698324,277415641.3848548
instructions,1098299603.5335195,20768248230.772823
cycles,902118653.1145251,13413365293.729252
stall_cycles,427598569.66480446,5275997658.10166
intra_coh,606105.7122905027,21126.85165975104
inter_coh,37.513966480446925,0.03630705394190872
wall_cycles,2104944606.4385474,2127023220.0985477
llc_size,188325384.58100557,139007022.73858923
local_mem,558302648.4916201,23245206200.82988
remote_mem,11343402.905027933,60280882.98755187
