llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
12096648.0,8025423.0,3118342360.0,3172889914.0,1635568018.0,154969.0,0.0,834519463,5111808,1685585920,38993920
12096648.0,8025423.0,3118342360.0,3172889914.0,1635568018.0,154969.0,0.0,834519463,5111808,1685585920,38993920
13687673.0,8852620.0,2758316279.0,3027197395.0,1697023643.0,608843.0,4.0,419209070,41091072,1152253952,38993920
13687673.0,8852620.0,2758316279.0,3027197395.0,1697023643.0,608843.0,4.0,419209070,41091072,1152253952,38993920
23715867.0,6559012.0,2665837748.0,2152327630.0,943492916.0,6975935.0,7.0,419998782,40697856,856948736,11534336
23715867.0,6559012.0,2665837748.0,2152327630.0,943492916.0,6975935.0,7.0,419998782,40697856,856948736,11534336
16429963.0,1106311.0,1276234649.0,1603290741.0,923364654.0,8671067.0,8.0,420065429,40763392,174784512,11534336
16429963.0,1106311.0,1276234649.0,1603290741.0,923364654.0,8671067.0,8.0,420065429,40763392,174784512,11534336
23407458.0,4712962.0,1568632542.0,1813535174.0,1016272946.0,8477012.0,3.0,420011845,41746432,299565056,18743296
23407458.0,4712962.0,1568632542.0,1813535174.0,1016272946.0,8477012.0,3.0,420011845,41746432,299565056,18743296
43935180.0,21815001.0,2145840632.0,1814385123.0,864561268.0,3927710.0,10.0,419935312,41746432,958201856,20774912
43935180.0,21815001.0,2145840632.0,1814385123.0,864561268.0,3927710.0,10.0,419935312,41746432,958201856,20774912
9793117.0,5100316.0,1045422562.0,761768245.0,279057355.0,1088014.0,7.0,419902224,41418752,532676608,7143424
9793117.0,5100316.0,1045422562.0,761768245.0,279057355.0,1088014.0,7.0,419902224,41418752,532676608,7143424
8465432.0,5934391.0,881486602.0,586896076.0,181895859.0,68946.0,8.0,419873566,41680896,508821504,1245184
8465432.0,5934391.0,881486602.0,586896076.0,181895859.0,68946.0,8.0,419873566,41680896,508821504,1245184
7298332.0,4171914.0,702512023.0,460105238.0,141285511.0,27812.0,14.0,419734427,41418752,416743424,327680
7298332.0,4171914.0,702512023.0,460105238.0,141285511.0,27812.0,14.0,419734427,41418752,416743424,327680
5703837.0,3484871.0,216264276.0,155298360.0,63131406.0,9832.0,19.0,419889477,41484288,137035776,2818048
5703837.0,3484871.0,216264276.0,155298360.0,63131406.0,9832.0,19.0,419889477,41484288,137035776,2818048
5199674.0,2841533.0,170303103.0,134819381.0,61470519.0,7859.0,13.0,419852591,41418752,101253120,786432
5199674.0,2841533.0,170303103.0,134819381.0,61470519.0,7859.0,13.0,419852591,41418752,101253120,786432
4046118.0,2822252.0,168150990.0,121117345.0,51486385.0,4702.0,15.0,419895993,41287680,97255424,2162688
4046118.0,2822252.0,168150990.0,121117345.0,51486385.0,4702.0,15.0,419895993,41287680,97255424,2162688
6481180.0,3812682.0,495091911.0,362539185.0,150105773.0,371255.0,11.0,419931677,41746432,200867840,6750208
6481180.0,3812682.0,495091911.0,362539185.0,150105773.0,371255.0,11.0,419931677,41746432,200867840,6750208
10909100.0,5840991.0,976918406.0,814284187.0,389065371.0,1939877.0,11.0,419889309,3211264,513605632,22216704
10909100.0,5840991.0,976918406.0,814284187.0,389065371.0,1939877.0,11.0,419889309,3211264,513605632,22216704
7902865.0,5903785.0,481668767.0,552861155.0,343052982.0,512632.0,4.0,419822550,3604480,564264960,24510464
7902865.0,5903785.0,481668767.0,552861155.0,343052982.0,512632.0,4.0,419822550,3604480,564264960,24510464
5649805.0,5196881.0,160131743.0,196660390.0,128921915.0,7706.0,6.0,419787641,7536640,445054976,9633792
5649805.0,5196881.0,160131743.0,196660390.0,128921915.0,7706.0,6.0,419787641,7536640,445054976,9633792
5834646.0,4614583.0,161581367.0,189358047.0,122608062.0,5823.0,5.0,419841814,9568256,381747200,9895936
5834646.0,4614583.0,161581367.0,189358047.0,122608062.0,5823.0,5.0,419841814,9568256,381747200,9895936
6379312.0,4966665.0,335249912.0,373424065.0,225391488.0,475781.0,3.0,420042476,14090240,457834496,12713984
6379312.0,4966665.0,335249912.0,373424065.0,225391488.0,475781.0,3.0,420042476,14090240,457834496,12713984
15489960.0,7851391.0,1414988959.0,1523022029.0,877785051.0,4690139.0,6.0,420034895,19660800,752615424,17760256
15489960.0,7851391.0,1414988959.0,1523022029.0,877785051.0,4690139.0,6.0,420034895,19660800,752615424,17760256
11461281.0,6786223.0,795298807.0,949679298.0,583125135.0,2300447.0,4.0,419762315,22216704,543621120,15073280
11461281.0,6786223.0,795298807.0,949679298.0,583125135.0,2300447.0,4.0,419762315,22216704,543621120,15073280
7066200.0,5663713.0,260130899.0,267324524.0,160683574.0,83095.0,6.0,419884087,23986176,375193600,0
7066200.0,5663713.0,260130899.0,267324524.0,160683574.0,83095.0,6.0,419884087,23986176,375193600,0
6943513.0,4575919.0,343044413.0,307265466.0,179196612.0,43152.0,6.0,419816229,27262976,360382464,9109504
6943513.0,4575919.0,343044413.0,307265466.0,179196612.0,43152.0,6.0,419816229,27262976,360382464,9109504
9075080.0,5557415.0,746144426.0,779814394.0,445182058.0,1360111.0,1.0,419917372,36306944,404291584,8454144
9075080.0,5557415.0,746144426.0,779814394.0,445182058.0,1360111.0,1.0,419917372,36306944,404291584,8454144
3216686.0,1746093.0,89197049.0,71039925.0,36657045.0,917.0,6.0,419762952,36175872,53870592,524288
3216686.0,1746093.0,89197049.0,71039925.0,36657045.0,917.0,6.0,419762952,36175872,53870592,524288
3925110.0,2695388.0,123020416.0,92021924.0,42303408.0,1071.0,5.0,419701576,35782656,72613888,3080192
3925110.0,2695388.0,123020416.0,92021924.0,42303408.0,1071.0,5.0,419701576,35782656,72613888,3080192
4886771.0,2667594.0,158450286.0,126682628.0,57344631.0,1846.0,9.0,419784428,36438016,85065728,3211264
4886771.0,2667594.0,158450286.0,126682628.0,57344631.0,1846.0,9.0,419784428,36438016,85065728,3211264
6376762.0,4004955.0,234202206.0,176146220.0,83499346.0,7459.0,4.0,419784392,36503552,153944064,3735552
