llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
907524.0,25104.0,7588617487.0,3315436428.0,371747374.0,466939.0,0.0,820278973,524288,3801088,3735552
907524.0,25104.0,7588617487.0,3315436428.0,371747374.0,466939.0,0.0,820278973,524288,3801088,3735552
732665.0,29829.0,6424329430.0,2807936619.0,315502632.0,389851.0,0.0,5209278305,589824,2818048,4325376
732665.0,29829.0,6424329430.0,2807936619.0,315502632.0,389851.0,0.0,5209278305,589824,2818048,4325376
807450.0,21442.0,8319629061.0,3618059454.0,403012968.0,409540.0,0.0,420064862,327680,1572864,1114112
807450.0,21442.0,8319629061.0,3618059454.0,403012968.0,409540.0,0.0,420064862,327680,1572864,1114112
938976.0,15345.0,9171748892.0,3997664225.0,444815459.0,514754.0,1.0,419907406,524288,1048576,851968
938976.0,15345.0,9171748892.0,3997664225.0,444815459.0,514754.0,1.0,419907406,524288,1048576,851968
785547.0,13915.0,7671428384.0,3345945955.0,371541349.0,435239.0,0.0,419835561,393216,1114112,655360
785547.0,13915.0,7671428384.0,3345945955.0,371541349.0,435239.0,0.0,419835561,393216,1114112,655360
784971.0,12714.0,7265272518.0,3170468471.0,352930602.0,440297.0,0.0,420110187,524288,917504,1179648
784971.0,12714.0,7265272518.0,3170468471.0,352930602.0,440297.0,0.0,420110187,524288,917504,1179648
801803.0,16514.0,6940166242.0,3029945120.0,338647956.0,457244.0,0.0,419957886,458752,1572864,2031616
801803.0,16514.0,6940166242.0,3029945120.0,338647956.0,457244.0,0.0,419957886,458752,1572864,2031616
711079.0,15894.0,6606386453.0,2884761196.0,322378762.0,408985.0,0.0,420293424,327680,1376256,851968
711079.0,15894.0,6606386453.0,2884761196.0,322378762.0,408985.0,0.0,420293424,327680,1376256,851968
707260.0,13852.0,6492636938.0,2837175107.0,317319262.0,370923.0,0.0,420089891,262144,1245184,1114112
707260.0,13852.0,6492636938.0,2837175107.0,317319262.0,370923.0,0.0,420089891,262144,1245184,1114112
