category,ntail-sphinx,kmeans
runtime,31.92412233352661,51.597352504730225
llc_references,258100286.95652175,130778754.15929204
llc_misses,54560707.64492754,16260526.261061948
instructions,11236143147.282608,11630255708.672565
cycles,12651677884.492752,8059786019.358407
stall_cycles,6315188166.123189,3271868727.5442476
intra_coh,9691.195652173912,89832091.28318584
inter_coh,4.27536231884058,1.2168141592920354
wall_cycles,2115765280.3985505,2213019501.0176992
llc_size,201273878.26086956,90275840.0
local_mem,781913340.289855,1126357952.5663717
remote_mem,3255429.5652173916,3205754.336283186
