category,ntail-xapian,bodytrack
runtime,52.11352205276489,66.37651991844177
llc_references,35465119.24369748,22041923.6970684
llc_misses,11169125.81932773,2239870.8631921825
instructions,3955824422.10084,11695386399.201954
cycles,2605091012.394958,5176914685.4886
stall_cycles,774894051.8277311,542487822.6872964
intra_coh,40778.73949579832,2957728.8762214985
inter_coh,93.65546218487395,0.1465798045602606
wall_cycles,2108193219.60084,2184594761.319218
llc_size,112851339.83193277,64843282.34527688
local_mem,21228982.85714286,180224000.0
remote_mem,1022967.3949579832,581712.0521172638
