llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
7550683.0,2499034.0,762312277.0,508117394.0,149455591.0,11479.0,13.0,819050655,4653056,14680064,851968
7550683.0,2499034.0,762312277.0,508117394.0,149455591.0,11479.0,13.0,819050655,4653056,14680064,851968
7947509.0,2510297.0,819344592.0,544438207.0,164778943.0,9360.0,18.0,419790028,16449536,66781184,786432
7947509.0,2510297.0,819344592.0,544438207.0,164778943.0,9360.0,18.0,419790028,16449536,66781184,786432
6738179.0,2243780.0,875261162.0,570337915.0,166942020.0,8640.0,54.0,420008694,20512768,5111808,196608
6738179.0,2243780.0,875261162.0,570337915.0,166942020.0,8640.0,54.0,420008694,20512768,5111808,196608
6992137.0,2266501.0,695171310.0,468815691.0,143185008.0,9088.0,27.0,419880321,24248320,4784128,196608
6992137.0,2266501.0,695171310.0,468815691.0,143185008.0,9088.0,27.0,419880321,24248320,4784128,196608
6608963.0,2179537.0,749584634.0,494396164.0,148607768.0,6652.0,18.0,419907420,26935296,5308416,327680
6608963.0,2179537.0,749584634.0,494396164.0,148607768.0,6652.0,18.0,419907420,26935296,5308416,327680
6861870.0,2244668.0,711898866.0,480896390.0,147316875.0,7686.0,39.0,420087543,28770304,5177344,262144
6861870.0,2244668.0,711898866.0,480896390.0,147316875.0,7686.0,39.0,420087543,28770304,5177344,262144
6986578.0,2127986.0,703782991.0,470061789.0,143642343.0,10169.0,33.0,419839095,30277632,4915200,393216
6986578.0,2127986.0,703782991.0,470061789.0,143642343.0,10169.0,33.0,419839095,30277632,4915200,393216
6226076.0,2155018.0,657833029.0,442641768.0,136237959.0,7403.0,41.0,419913956,28377088,2818048,0
6226076.0,2155018.0,657833029.0,442641768.0,136237959.0,7403.0,41.0,419913956,28377088,2818048,0
7215335.0,2251866.0,824556203.0,544245595.0,162143844.0,9983.0,11.0,419937367,29163520,3211264,262144
7215335.0,2251866.0,824556203.0,544245595.0,162143844.0,9983.0,11.0,419937367,29163520,3211264,262144
6367508.0,1956407.0,704760659.0,459905733.0,137139090.0,7577.0,24.0,420043579,29884416,3866624,327680
6367508.0,1956407.0,704760659.0,459905733.0,137139090.0,7577.0,24.0,420043579,29884416,3866624,327680
7182159.0,2495967.0,771660878.0,519955397.0,155309707.0,9461.0,33.0,419968633,30998528,4194304,393216
7182159.0,2495967.0,771660878.0,519955397.0,155309707.0,9461.0,33.0,419968633,30998528,4194304,393216
7029883.0,2366774.0,714876914.0,480670188.0,146744574.0,8498.0,25.0,419939555,32243712,5177344,131072
7029883.0,2366774.0,714876914.0,480670188.0,146744574.0,8498.0,25.0,419939555,32243712,5177344,131072
6722032.0,2090534.0,740717987.0,489306545.0,146581438.0,7116.0,20.0,419809883,32571392,4063232,0
6722032.0,2090534.0,740717987.0,489306545.0,146581438.0,7116.0,20.0,419809883,32571392,4063232,0
7679378.0,2571250.0,849760818.0,586013209.0,191987593.0,9894.0,44.0,419911209,18087936,159383552,1310720
7679378.0,2571250.0,849760818.0,586013209.0,191987593.0,9894.0,44.0,419911209,18087936,159383552,1310720
7098781.0,2284542.0,810908855.0,542691142.0,168386979.0,9143.0,13.0,420113477,14680064,196083712,3932160
7098781.0,2284542.0,810908855.0,542691142.0,168386979.0,9143.0,13.0,420113477,14680064,196083712,3932160
7305345.0,2659776.0,892612250.0,603988136.0,190117059.0,10452.0,13.0,419909210,15597568,260702208,6225920
7305345.0,2659776.0,892612250.0,603988136.0,190117059.0,10452.0,13.0,419909210,15597568,260702208,6225920
7180308.0,2144485.0,832296320.0,549738442.0,167916333.0,10134.0,16.0,419778248,19464192,133169152,1441792
7180308.0,2144485.0,832296320.0,549738442.0,167916333.0,10134.0,16.0,419778248,19464192,133169152,1441792
6594011.0,2071435.0,765530535.0,498972142.0,149299965.0,10079.0,35.0,420051547,19922944,56360960,983040
6594011.0,2071435.0,765530535.0,498972142.0,149299965.0,10079.0,35.0,420051547,19922944,56360960,983040
6604058.0,2156475.0,743649563.0,490966787.0,148845086.0,8960.0,15.0,419714316,16384000,67764224,2686976
6604058.0,2156475.0,743649563.0,490966787.0,148845086.0,8960.0,15.0,419714316,16384000,67764224,2686976
7265966.0,2344838.0,880238109.0,578888203.0,175189957.0,8335.0,14.0,419979008,16384000,134479872,7077888
7265966.0,2344838.0,880238109.0,578888203.0,175189957.0,8335.0,14.0,419979008,16384000,134479872,7077888
6936527.0,2239394.0,842896464.0,544440214.0,160730341.0,10993.0,17.0,419914209,20709376,67960832,3145728
6936527.0,2239394.0,842896464.0,544440214.0,160730341.0,10993.0,17.0,419914209,20709376,67960832,3145728
7172749.0,2150551.0,749578518.0,492057118.0,147316174.0,8428.0,26.0,419903272,20578304,41156608,1441792
7172749.0,2150551.0,749578518.0,492057118.0,147316174.0,8428.0,26.0,419903272,20578304,41156608,1441792
6239746.0,1879702.0,709293786.0,463502887.0,137752176.0,8021.0,12.0,420004130,17367040,54722560,2818048
6239746.0,1879702.0,709293786.0,463502887.0,137752176.0,8021.0,12.0,420004130,17367040,54722560,2818048
1761102.0,535319.0,202545724.0,134062657.0,39621550.0,2211.0,6.0,419769406,17235968,23199744,1703936
1761102.0,535319.0,202545724.0,134062657.0,39621550.0,2211.0,6.0,419769406,17235968,23199744,1703936
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419715485,17170432,65536,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419715485,17170432,65536,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419663034,17170432,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419663034,17170432,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419728305,17170432,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,419728305,17170432,0,0
6363274.0,2134136.0,801927356.0,512986854.0,151170888.0,12305.0,0.0,420044340,19660800,79757312,3145728
6363274.0,2134136.0,801927356.0,512986854.0,151170888.0,12305.0,0.0,420044340,19660800,79757312,3145728
30882491.0,10297208.0,3781963952.0,2411374789.0,682385373.0,46252.0,20.0,420032871,22609920,44498944,1507328
30882491.0,10297208.0,3781963952.0,2411374789.0,682385373.0,46252.0,20.0,420032871,22609920,44498944,1507328
8409792.0,3022943.0,979151597.0,626145453.0,180241175.0,13817.0,10.0,419930836,21889024,14811136,1638400
8409792.0,3022943.0,979151597.0,626145453.0,180241175.0,13817.0,10.0,419930836,21889024,14811136,1638400
