category,ntail-img-dnn,CG
runtime,74.64119982719421,151.51480555534363
llc_references,162102370.3857143,497854902.9655173
llc_misses,9493276.557142857,94430415.42068966
instructions,4478666728.042857,4716413703.620689
cycles,2280849022.7000003,11682172419.35862
stall_cycles,389312062.48571426,8688783133.731035
intra_coh,364005.1857142857,326429.91724137927
inter_coh,84.75714285714287,0.0
wall_cycles,2104973970.2571428,2134522458.937931
llc_size,89378933.02857143,140904659.86206895
local_mem,29403194.514285713,5632939876.634483
remote_mem,2895754.9714285713,13068782.344827587
