category,ntail-masstree,SP
runtime,32.09951901435852,160.33258843421936
llc_references,8481348.92086331,656411816.0872396
llc_misses,1548425.7913669064,344771154.921875
instructions,417547342.9496403,25925982636.660156
cycles,801863639.2446042,17075718913.346355
stall_cycles,447766948.20143884,6930502527.395834
intra_coh,1476442.4100719425,38182.936197916664
inter_coh,67.19424460431655,0.234375
wall_cycles,2115002393.7050362,2133991011.2955728
llc_size,164672165.75539568,180041813.3333333
local_mem,251594589.92805755,27628748373.333336
remote_mem,1768057.5539568346,87666346.66666666
