llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
46185977.0,2451980.0,3803283607.0,3203669106.0,1226899794.0,13459193.0,0.0,856059578,33751040,812646400,2883584
46185977.0,2451980.0,3803283607.0,3203669106.0,1226899794.0,13459193.0,0.0,856059578,33751040,812646400,2883584
21962320.0,1570460.0,1836147354.0,1662435807.0,667742953.0,6904348.0,10.0,419547317,23199744,184877056,0
21962320.0,1570460.0,1836147354.0,1662435807.0,667742953.0,6904348.0,10.0,419547317,23199744,184877056,0
1422676.0,368007.0,45014402.0,139823517.0,78732543.0,8118.0,39.0,419994981,30605312,23330816,524288
1422676.0,368007.0,45014402.0,139823517.0,78732543.0,8118.0,39.0,419994981,30605312,23330816,524288
1432543.0,321924.0,45188012.0,142082242.0,81840616.0,7709.0,19.0,419915811,36831232,23003136,262144
1432543.0,321924.0,45188012.0,142082242.0,81840616.0,7709.0,19.0,419915811,36831232,23003136,262144
1402217.0,291467.0,43976300.0,145496546.0,85513960.0,7444.0,11.0,420031041,37486592,16908288,0
1402217.0,291467.0,43976300.0,145496546.0,85513960.0,7444.0,11.0,420031041,37486592,16908288,0
1444746.0,304090.0,44697375.0,147408517.0,88057905.0,7176.0,12.0,419817117,37355520,18939904,720896
1444746.0,304090.0,44697375.0,147408517.0,88057905.0,7176.0,12.0,419817117,37355520,18939904,720896
1451577.0,311397.0,45920639.0,149049071.0,87423345.0,7564.0,11.0,420044529,38010880,24903680,0
1451577.0,311397.0,45920639.0,149049071.0,87423345.0,7564.0,11.0,420044529,38010880,24903680,0
1370092.0,313073.0,44983638.0,151762714.0,90844947.0,6978.0,29.0,419915907,38273024,18153472,0
1370092.0,313073.0,44983638.0,151762714.0,90844947.0,6978.0,29.0,419915907,38273024,18153472,0
1422080.0,295664.0,46646562.0,156739804.0,92790049.0,7488.0,10.0,419862564,38535168,18743296,458752
1422080.0,295664.0,46646562.0,156739804.0,92790049.0,7488.0,10.0,419862564,38535168,18743296,458752
1392082.0,315701.0,45988609.0,153063559.0,90790382.0,7261.0,7.0,419899470,36503552,18481152,0
1392082.0,315701.0,45988609.0,153063559.0,90790382.0,7261.0,7.0,419899470,36503552,18481152,0
1376801.0,313980.0,44334336.0,150712263.0,88968710.0,7237.0,13.0,419955840,37879808,17432576,65536
1376801.0,313980.0,44334336.0,150712263.0,88968710.0,7237.0,13.0,419955840,37879808,17432576,65536
1213363.0,256531.0,37813674.0,129153872.0,77495965.0,10364.0,23.0,419935821,38600704,15728640,196608
1213363.0,256531.0,37813674.0,129153872.0,77495965.0,10364.0,23.0,419935821,38600704,15728640,196608
872214.0,177491.0,27501698.0,93900226.0,55297769.0,12872.0,28.0,419860341,39256064,13172736,65536
872214.0,177491.0,27501698.0,93900226.0,55297769.0,12872.0,28.0,419860341,39256064,13172736,65536
910651.0,255819.0,29019191.0,97857592.0,57769834.0,15204.0,10.0,420069645,15532032,23724032,720896
910651.0,255819.0,29019191.0,97857592.0,57769834.0,15204.0,10.0,420069645,15532032,23724032,720896
903045.0,333699.0,28378158.0,96790730.0,57772784.0,12115.0,13.0,419804108,12713984,25034752,65536
903045.0,333699.0,28378158.0,96790730.0,57772784.0,12115.0,13.0,419804108,12713984,25034752,65536
875535.0,331766.0,27025280.0,90393591.0,53186845.0,11573.0,13.0,419881885,12386304,22806528,786432
875535.0,331766.0,27025280.0,90393591.0,53186845.0,11573.0,13.0,419881885,12386304,22806528,786432
880715.0,327948.0,27302571.0,89823017.0,53265211.0,8685.0,20.0,419839638,13959168,22020096,589824
880715.0,327948.0,27302571.0,89823017.0,53265211.0,8685.0,20.0,419839638,13959168,22020096,589824
784549.0,296838.0,24506628.0,84199745.0,50360793.0,11869.0,22.0,419889336,13500416,20643840,65536
784549.0,296838.0,24506628.0,84199745.0,50360793.0,11869.0,22.0,419889336,13500416,20643840,65536
830869.0,317238.0,27119583.0,90230860.0,54422025.0,10471.0,16.0,419841573,14155776,19202048,524288
830869.0,317238.0,27119583.0,90230860.0,54422025.0,10471.0,16.0,419841573,14155776,19202048,524288
878889.0,309750.0,26562972.0,94908538.0,57559206.0,12548.0,18.0,419900078,13303808,20643840,524288
