category,ntail-masstree,cfd
runtime,32.07114791870117,67.69143390655518
llc_references,7390590.179856114,86344035.14705881
llc_misses,1640041.654676259,12795289.444444444
instructions,353655700.8273381,29830302544.542484
cycles,689006411.5107913,15105293563.66013
stall_cycles,377393409.64028776,2246305320.506536
intra_coh,933753.8129496402,957984.133986928
inter_coh,72.98561151079137,0.09803921568627451
wall_cycles,2115560097.6618705,2185902865.9150324
llc_size,128646225.03597122,118834329.93464053
local_mem,221643694.96402878,492802877.90849674
remote_mem,907602.8776978417,1630904.0522875818
