category,ntail-masstree,facesim
runtime,32.20132112503052,100.35633897781372
llc_references,7241615.882352941,151960332.83195022
llc_misses,1297016.1764705882,45971726.37966805
instructions,354516389.0808824,22881420005.09336
cycles,681494943.125,9431765195.69502
stall_cycles,368184415.88235295,1770524771.9087136
intra_coh,787888.7867647059,2534422.3962655603
inter_coh,68.6029411764706,1.2759336099585061
wall_cycles,2113819478.4926472,2152414189.6161823
llc_size,163524367.05882353,157435283.6514523
local_mem,135984790.5882353,1425342056.099585
remote_mem,525251.7647058824,5932911.53526971
