llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
15258320.0,7931530.0,3707155485.0,3123803095.0,1334317251.0,484054.0,0.0,841012865,15400960,1744764928,44040192
15258320.0,7931530.0,3707155485.0,3123803095.0,1334317251.0,484054.0,0.0,841012865,15400960,1744764928,44040192
22871103.0,10962249.0,2834454488.0,2431102986.0,1115829596.0,5289047.0,0.0,419913578,22413312,1292566528,35520512
22871103.0,10962249.0,2834454488.0,2431102986.0,1115829596.0,5289047.0,0.0,419913578,22413312,1292566528,35520512
16008243.0,1299693.0,1279858806.0,1528696744.0,851269918.0,8187651.0,1.0,419913984,40763392,176947200,11862016
16008243.0,1299693.0,1279858806.0,1528696744.0,851269918.0,8187651.0,1.0,419913984,40763392,176947200,11862016
24874147.0,4649906.0,1612383594.0,1876530718.0,1048067523.0,8452189.0,4.0,420287805,41222144,264962048,14614528
24874147.0,4649906.0,1612383594.0,1876530718.0,1048067523.0,8452189.0,4.0,420287805,41222144,264962048,14614528
38130297.0,17610998.0,2012251732.0,1781982915.0,883062953.0,4543690.0,10.0,419879741,41615360,911671296,27000832
38130297.0,17610998.0,2012251732.0,1781982915.0,883062953.0,4543690.0,10.0,419879741,41615360,911671296,27000832
7106488.0,4516163.0,828013532.0,588117276.0,192120748.0,561865.0,3.0,419804979,41615360,510263296,851968
7106488.0,4516163.0,828013532.0,588117276.0,192120748.0,561865.0,3.0,419804979,41615360,510263296,851968
9672662.0,4934251.0,984792427.0,697845348.0,243686538.0,832163.0,13.0,419888434,41287680,589758464,14876672
9672662.0,4934251.0,984792427.0,697845348.0,243686538.0,832163.0,13.0,419888434,41287680,589758464,14876672
7435364.0,5025410.0,828748442.0,541927204.0,166292409.0,40386.0,4.0,419944112,41615360,565444608,6684672
7435364.0,5025410.0,828748442.0,541927204.0,166292409.0,40386.0,4.0,419944112,41615360,565444608,6684672
6036812.0,3232442.0,329993325.0,229207887.0,76499860.0,12221.0,22.0,419974975,41484288,298909696,0
6036812.0,3232442.0,329993325.0,229207887.0,76499860.0,12221.0,22.0,419974975,41484288,298909696,0
5834090.0,3844869.0,222881648.0,167376005.0,71298453.0,19730.0,16.0,419842500,41484288,246480896,1769472
5834090.0,3844869.0,222881648.0,167376005.0,71298453.0,19730.0,16.0,419842500,41484288,246480896,1769472
5334488.0,3045994.0,179728113.0,140263565.0,64758546.0,6441.0,11.0,419852923,41615360,275316736,7012352
5334488.0,3045994.0,179728113.0,140263565.0,64758546.0,6441.0,11.0,419852923,41615360,275316736,7012352
3911685.0,2468579.0,163817561.0,120607909.0,51304368.0,3927.0,28.0,419847001,41680896,203423744,0
3911685.0,2468579.0,163817561.0,120607909.0,51304368.0,3927.0,28.0,419847001,41680896,203423744,0
7364523.0,3624850.0,508926631.0,370984870.0,148067115.0,353675.0,7.0,419858586,41680896,299827200,6553600
7364523.0,3624850.0,508926631.0,370984870.0,148067115.0,353675.0,7.0,419858586,41680896,299827200,6553600
12391855.0,6128403.0,991586882.0,818509047.0,378050216.0,2317702.0,6.0,420012299,5177344,588906496,20316160
12391855.0,6128403.0,991586882.0,818509047.0,378050216.0,2317702.0,6.0,420012299,5177344,588906496,20316160
6908030.0,4916228.0,403846728.0,352501070.0,169186257.0,226136.0,10.0,419667922,10289152,497942528,16252928
6908030.0,4916228.0,403846728.0,352501070.0,169186257.0,226136.0,10.0,419667922,10289152,497942528,16252928
