llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
17657005.0,7648142.0,6028134110.0,3268721410.0,696673134.0,173438.0,0.0,801345030,11927552,895221760,3407872
17657005.0,7648142.0,6028134110.0,3268721410.0,696673134.0,173438.0,0.0,801345030,11927552,895221760,3407872
16933877.0,6793885.0,5658799251.0,3019081538.0,627006221.0,202915.0,0.0,5232903547,3014656,502792192,0
16933877.0,6793885.0,5658799251.0,3019081538.0,627006221.0,202915.0,0.0,5232903547,3014656,502792192,0
16928430.0,6477261.0,6023227333.0,3216901588.0,644186377.0,178497.0,0.0,420074504,25427968,440532992,720896
16928430.0,6477261.0,6023227333.0,3216901588.0,644186377.0,178497.0,0.0,420074504,25427968,440532992,720896
21080060.0,4816698.0,7455230249.0,3901722557.0,708608649.0,219387.0,0.0,419998103,26148864,224264192,851968
21080060.0,4816698.0,7455230249.0,3901722557.0,708608649.0,219387.0,0.0,419998103,26148864,224264192,851968
22408093.0,5710019.0,7670950018.0,4009831216.0,728303388.0,255523.0,0.0,419985230,28442624,263454720,0
22408093.0,5710019.0,7670950018.0,4009831216.0,728303388.0,255523.0,0.0,419985230,28442624,263454720,0
20947380.0,5316485.0,7044444506.0,3800368516.0,740006833.0,214012.0,0.0,419980400,24969216,258670592,2031616
20947380.0,5316485.0,7044444506.0,3800368516.0,740006833.0,214012.0,0.0,419980400,24969216,258670592,2031616
18060765.0,6019394.0,6257439966.0,3361903056.0,667794403.0,188344.0,0.0,420022561,19660800,359006208,1835008
18060765.0,6019394.0,6257439966.0,3361903056.0,667794403.0,188344.0,0.0,420022561,19660800,359006208,1835008
18727231.0,6407984.0,6199171734.0,3296071634.0,647080871.0,197429.0,0.0,420009289,24641536,445710336,1114112
18727231.0,6407984.0,6199171734.0,3296071634.0,647080871.0,197429.0,0.0,420009289,24641536,445710336,1114112
19147917.0,6788553.0,6244630856.0,3296950243.0,626422470.0,194134.0,0.0,420013909,19398656,412483584,1966080
19147917.0,6788553.0,6244630856.0,3296950243.0,626422470.0,194134.0,0.0,420013909,19398656,412483584,1966080
17481836.0,6040319.0,5888734651.0,3166118194.0,626985835.0,180034.0,0.0,420089663,16777216,416808960,917504
17481836.0,6040319.0,5888734651.0,3166118194.0,626985835.0,180034.0,0.0,420089663,16777216,416808960,917504
16981790.0,6452860.0,5661807520.0,3112294503.0,680691919.0,170423.0,0.0,419852076,16777216,475922432,2686976
16981790.0,6452860.0,5661807520.0,3112294503.0,680691919.0,170423.0,0.0,419852076,16777216,475922432,2686976
17145125.0,7136019.0,5483290888.0,3102835821.0,740822327.0,186922.0,0.0,419992356,16384000,572981248,4521984
17145125.0,7136019.0,5483290888.0,3102835821.0,740822327.0,186922.0,0.0,419992356,16384000,572981248,4521984
16703022.0,7342531.0,5388076062.0,3142031109.0,811854249.0,177349.0,0.0,420049098,12713984,582811648,12451840
16703022.0,7342531.0,5388076062.0,3142031109.0,811854249.0,177349.0,0.0,420049098,12713984,582811648,12451840
16021620.0,8020707.0,4757863172.0,3078495193.0,995917406.0,155037.0,0.0,420048496,12386304,690683904,0
16021620.0,8020707.0,4757863172.0,3078495193.0,995917406.0,155037.0,0.0,420048496,12386304,690683904,0
15301087.0,8431482.0,4491865300.0,2988165171.0,1014641119.0,149369.0,0.0,419951000,9699328,721158144,3932160
15301087.0,8431482.0,4491865300.0,2988165171.0,1014641119.0,149369.0,0.0,419951000,9699328,721158144,3932160
14632732.0,8749578.0,4142685164.0,2868376106.0,1026354125.0,132149.0,0.0,419925590,9568256,754581504,7733248
14632732.0,8749578.0,4142685164.0,2868376106.0,1026354125.0,132149.0,0.0,419925590,9568256,754581504,7733248
14399770.0,8805387.0,4057642691.0,2795628999.0,1002923502.0,133138.0,0.0,419891136,8650752,786432000,1638400
14399770.0,8805387.0,4057642691.0,2795628999.0,1002923502.0,133138.0,0.0,419891136,8650752,786432000,1638400
13828328.0,8802436.0,3894879504.0,2687318814.0,953944425.0,120347.0,0.0,419976144,8585216,761331712,26804224
13828328.0,8802436.0,3894879504.0,2687318814.0,953944425.0,120347.0,0.0,419976144,8585216,761331712,26804224
14308216.0,8699120.0,3874389319.0,2665222085.0,953646988.0,134948.0,0.0,420046312,6619136,801570816,0
14308216.0,8699120.0,3874389319.0,2665222085.0,953646988.0,134948.0,0.0,420046312,6619136,801570816,0
13097693.0,9340156.0,3650637932.0,2560584074.0,924911923.0,116057.0,0.0,419958399,5177344,816250880,1638400
13097693.0,9340156.0,3650637932.0,2560584074.0,924911923.0,116057.0,0.0,419958399,5177344,816250880,1638400
13299462.0,9463317.0,3506133286.0,2515825378.0,952909237.0,113197.0,0.0,420061446,4849664,791216128,21495808
13299462.0,9463317.0,3506133286.0,2515825378.0,952909237.0,113197.0,0.0,420061446,4849664,791216128,21495808
12769233.0,9122449.0,3467776822.0,2515929025.0,973785449.0,118164.0,0.0,420057169,4653056,797114368,0
12769233.0,9122449.0,3467776822.0,2515929025.0,973785449.0,118164.0,0.0,420057169,4653056,797114368,0
12240308.0,8835773.0,3224244976.0,2407591340.0,938805564.0,111659.0,0.0,420017248,4980736,754974720,5767168
12240308.0,8835773.0,3224244976.0,2407591340.0,938805564.0,111659.0,0.0,420017248,4980736,754974720,5767168
11940347.0,8218905.0,3117847800.0,2265392929.0,875944806.0,100497.0,0.0,420255598,5046272,762118144,4980736
11940347.0,8218905.0,3117847800.0,2265392929.0,875944806.0,100497.0,0.0,420255598,5046272,762118144,4980736
12165296.0,8728189.0,3014614429.0,2119399252.0,782546425.0,97524.0,0.0,420153447,5111808,682557440,4784128
12165296.0,8728189.0,3014614429.0,2119399252.0,782546425.0,97524.0,0.0,420153447,5111808,682557440,4784128
11006667.0,8255715.0,2900155441.0,1978266741.0,692747796.0,96343.0,0.0,420001961,4784128,667156480,4718592
11006667.0,8255715.0,2900155441.0,1978266741.0,692747796.0,96343.0,0.0,420001961,4784128,667156480,4718592
10666785.0,8217481.0,2803102603.0,1885611422.0,642827518.0,98945.0,0.0,420144185,3538944,660602880,7274496
10666785.0,8217481.0,2803102603.0,1885611422.0,642827518.0,98945.0,0.0,420144185,3538944,660602880,7274496
5147516.0,3836741.0,1536638535.0,1513929223.0,644670243.0,22543.0,0.0,420154161,2883584,333316096,0
5147516.0,3836741.0,1536638535.0,1513929223.0,644670243.0,22543.0,0.0,420154161,2883584,333316096,0
4256005.0,3215513.0,1425916759.0,1244479504.0,521105771.0,15404.0,0.0,419905687,3407872,279052288,3866624
4256005.0,3215513.0,1425916759.0,1244479504.0,521105771.0,15404.0,0.0,419905687,3407872,279052288,3866624
3715355.0,2850463.0,1150560699.0,1035673690.0,426045357.0,11465.0,0.0,419844357,3014656,237240320,2686976
3715355.0,2850463.0,1150560699.0,1035673690.0,426045357.0,11465.0,0.0,419844357,3014656,237240320,2686976
3651143.0,2825202.0,1062967271.0,1002626812.0,429705129.0,11632.0,0.0,419955137,3407872,248643584,3145728
3651143.0,2825202.0,1062967271.0,1002626812.0,429705129.0,11632.0,0.0,419955137,3407872,248643584,3145728
2677101.0,2274729.0,901822750.0,763286511.0,312196306.0,3970.0,0.0,419857704,2949120,160235520,2424832
2677101.0,2274729.0,901822750.0,763286511.0,312196306.0,3970.0,0.0,419857704,2949120,160235520,2424832
1621345.0,1397784.0,524697882.0,494293326.0,204808696.0,1872.0,0.0,419851621,2031616,100794368,1376256
1621345.0,1397784.0,524697882.0,494293326.0,204808696.0,1872.0,0.0,419851621,2031616,100794368,1376256
791186.0,612265.0,246082281.0,236070928.0,101597592.0,0.0,0.0,419827128,917504,44302336,786432
791186.0,612265.0,246082281.0,236070928.0,101597592.0,0.0,0.0,419827128,917504,44302336,786432
850439.0,777995.0,286835819.0,235816397.0,94756930.0,0.0,0.0,419814873,1114112,53411840,720896
850439.0,777995.0,286835819.0,235816397.0,94756930.0,0.0,0.0,419814873,1114112,53411840,720896
809990.0,707626.0,311925425.0,236179520.0,88487221.0,0.0,0.0,419753831,655360,42663936,917504
809990.0,707626.0,311925425.0,236179520.0,88487221.0,0.0,0.0,419753831,655360,42663936,917504
618530.0,482116.0,137465844.0,235796117.0,124164944.0,0.0,0.0,419922781,589824,45350912,983040
618530.0,482116.0,137465844.0,235796117.0,124164944.0,0.0,0.0,419922781,589824,45350912,983040
820538.0,698077.0,313346771.0,235981344.0,86861710.0,0.0,0.0,419892025,851968,43712512,983040
820538.0,698077.0,313346771.0,235981344.0,86861710.0,0.0,0.0,419892025,851968,43712512,983040
770026.0,729550.0,280177657.0,235719726.0,98277710.0,0.0,0.0,419792660,983040,54788096,1638400
770026.0,729550.0,280177657.0,235719726.0,98277710.0,0.0,0.0,419792660,983040,54788096,1638400
735694.0,601094.0,241997351.0,235923717.0,103727134.0,0.0,0.0,419795670,1376256,45285376,851968
735694.0,601094.0,241997351.0,235923717.0,103727134.0,0.0,0.0,419795670,1376256,45285376,851968
775127.0,667820.0,253484790.0,236114492.0,99709803.0,0.0,0.0,419844474,786432,47579136,393216
775127.0,667820.0,253484790.0,236114492.0,99709803.0,0.0,0.0,419844474,786432,47579136,393216
800011.0,552377.0,202932068.0,235769711.0,105430287.0,0.0,0.0,419861680,1245184,45613056,1835008
800011.0,552377.0,202932068.0,235769711.0,105430287.0,0.0,0.0,419861680,1245184,45613056,1835008
767915.0,712286.0,266742137.0,235823041.0,106402016.0,0.0,0.0,419759662,1048576,47316992,655360
767915.0,712286.0,266742137.0,235823041.0,106402016.0,0.0,0.0,419759662,1048576,47316992,655360
837250.0,772299.0,321157029.0,236162138.0,87352103.0,0.0,0.0,419828556,1703936,44367872,262144
837250.0,772299.0,321157029.0,236162138.0,87352103.0,0.0,0.0,419828556,1703936,44367872,262144
982190.0,818729.0,306589255.0,235989426.0,88000236.0,0.0,0.0,419809348,1835008,57081856,1179648
982190.0,818729.0,306589255.0,235989426.0,88000236.0,0.0,0.0,419809348,1835008,57081856,1179648
679570.0,576980.0,144370587.0,235764793.0,120741364.0,0.0,0.0,419852279,655360,47448064,917504
679570.0,576980.0,144370587.0,235764793.0,120741364.0,0.0,0.0,419852279,655360,47448064,917504
856511.0,864719.0,324436078.0,235895141.0,89715206.0,0.0,0.0,419843543,262144,43843584,983040
856511.0,864719.0,324436078.0,235895141.0,89715206.0,0.0,0.0,419843543,262144,43843584,983040
770587.0,807790.0,307802982.0,235916236.0,100873260.0,0.0,0.0,419800997,1769472,52559872,1310720
770587.0,807790.0,307802982.0,235916236.0,100873260.0,0.0,0.0,419800997,1769472,52559872,1310720
709168.0,591173.0,289580916.0,235842936.0,97236055.0,0.0,0.0,419771244,917504,44564480,1376256
709168.0,591173.0,289580916.0,235842936.0,97236055.0,0.0,0.0,419771244,917504,44564480,1376256
768413.0,706686.0,239029023.0,236102929.0,96984835.0,0.0,0.0,419906224,720896,50593792,196608
768413.0,706686.0,239029023.0,236102929.0,96984835.0,0.0,0.0,419906224,720896,50593792,196608
626640.0,710697.0,209694800.0,229244631.0,107572227.0,0.0,0.0,419843550,458752,44040192,1966080
626640.0,710697.0,209694800.0,229244631.0,107572227.0,0.0,0.0,419843550,458752,44040192,1966080
735229.0,621757.0,267834667.0,228471915.0,94207467.0,0.0,0.0,419828696,1048576,49938432,458752
735229.0,621757.0,267834667.0,228471915.0,94207467.0,0.0,0.0,419828696,1048576,49938432,458752
669634.0,776823.0,332856443.0,236001628.0,87901602.0,0.0,0.0,419789335,262144,42729472,720896
669634.0,776823.0,332856443.0,236001628.0,87901602.0,0.0,0.0,419789335,262144,42729472,720896
975116.0,706458.0,281501913.0,236112502.0,89477299.0,0.0,0.0,419656552,1376256,54853632,1048576
975116.0,706458.0,281501913.0,236112502.0,89477299.0,0.0,0.0,419656552,1376256,54853632,1048576
644883.0,652390.0,136931116.0,235638360.0,120834250.0,0.0,0.0,419938255,655360,50003968,851968
644883.0,652390.0,136931116.0,235638360.0,120834250.0,0.0,0.0,419938255,655360,50003968,851968
738106.0,747954.0,341973285.0,236328151.0,83155043.0,0.0,0.0,419796429,917504,45678592,1245184
738106.0,747954.0,341973285.0,236328151.0,83155043.0,0.0,0.0,419796429,917504,45678592,1245184
747588.0,619101.0,239045388.0,236034016.0,99421350.0,0.0,0.0,419889906,1310720,45219840,917504
747588.0,619101.0,239045388.0,236034016.0,99421350.0,0.0,0.0,419889906,1310720,45219840,917504
674018.0,622284.0,203834285.0,235814920.0,103906238.0,0.0,0.0,419770638,720896,45940736,917504
674018.0,622284.0,203834285.0,235814920.0,103906238.0,0.0,0.0,419770638,720896,45940736,917504
828726.0,620213.0,262073255.0,235900153.0,91699642.0,0.0,0.0,419834702,262144,48103424,1769472
828726.0,620213.0,262073255.0,235900153.0,91699642.0,0.0,0.0,419834702,262144,48103424,1769472
509233.0,529948.0,206999119.0,235825319.0,108962686.0,0.0,0.0,419834226,524288,47382528,589824
509233.0,529948.0,206999119.0,235825319.0,108962686.0,0.0,0.0,419834226,524288,47382528,589824
843811.0,757180.0,261150365.0,236220634.0,92486274.0,0.0,0.0,419794120,851968,50987008,327680
843811.0,757180.0,261150365.0,236220634.0,92486274.0,0.0,0.0,419794120,851968,50987008,327680
712945.0,606667.0,299751969.0,235857063.0,86802467.0,0.0,0.0,419840557,262144,42074112,786432
712945.0,606667.0,299751969.0,235857063.0,86802467.0,0.0,0.0,419840557,262144,42074112,786432
825362.0,690674.0,232985416.0,235825703.0,103212578.0,0.0,0.0,419788537,1245184,52887552,1507328
825362.0,690674.0,232985416.0,235825703.0,103212578.0,0.0,0.0,419788537,1245184,52887552,1507328
628448.0,488809.0,208745269.0,235999631.0,116700590.0,0.0,0.0,419850505,327680,50003968,1114112
628448.0,488809.0,208745269.0,235999631.0,116700590.0,0.0,0.0,419850505,327680,50003968,1114112
