llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
17806039.0,6040596.0,3900388242.0,2999750823.0,1127830780.0,1375730.0,3.0,875015551,39321600,1392115712,41549824
17806039.0,6040596.0,3900388242.0,2999750823.0,1127830780.0,1375730.0,3.0,875015551,39321600,1392115712,41549824
21285229.0,5526893.0,2451494133.0,2097363846.0,943332353.0,7129405.0,1.0,419547492,38338560,717094912,15400960
21285229.0,5526893.0,2451494133.0,2097363846.0,943332353.0,7129405.0,1.0,419547492,38338560,717094912,15400960
13281438.0,865761.0,1074147915.0,1300237696.0,727743047.0,7373716.0,1.0,420047054,40566784,172097536,5505024
13281438.0,865761.0,1074147915.0,1300237696.0,727743047.0,7373716.0,1.0,420047054,40566784,172097536,5505024
28647596.0,9613308.0,1791229359.0,1959270897.0,1078319605.0,8152030.0,3.0,420090542,40697856,437911552,17367040
28647596.0,9613308.0,1791229359.0,1959270897.0,1078319605.0,8152030.0,3.0,420090542,40697856,437911552,17367040
34485526.0,14660905.0,1839026991.0,1587580069.0,748314674.0,3507370.0,8.0,419793741,40763392,801046528,13107200
34485526.0,14660905.0,1839026991.0,1587580069.0,748314674.0,3507370.0,8.0,419793741,40763392,801046528,13107200
8559563.0,4497118.0,883835841.0,616802805.0,211509665.0,561209.0,6.0,420035168,40763392,577044480,6619136
8559563.0,4497118.0,883835841.0,616802805.0,211509665.0,561209.0,6.0,420035168,40763392,577044480,6619136
7496309.0,4062820.0,929894553.0,620210641.0,207608652.0,383027.0,4.0,419931162,40697856,573440000,4390912
7496309.0,4062820.0,929894553.0,620210641.0,207608652.0,383027.0,4.0,419931162,40697856,573440000,4390912
8257365.0,5631056.0,795073656.0,544456840.0,173900249.0,67336.0,7.0,419856595,40697856,607256576,2097152
8257365.0,5631056.0,795073656.0,544456840.0,173900249.0,67336.0,7.0,419856595,40697856,607256576,2097152
5180292.0,2974778.0,170574863.0,114236940.0,47124566.0,4794.0,16.0,419634150,41418752,243859456,2162688
5180292.0,2974778.0,170574863.0,114236940.0,47124566.0,4794.0,16.0,419634150,41418752,243859456,2162688
