llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
15780320.0,7246283.0,3806019189.0,3031735845.0,1187725748.0,521120.0,0.0,837432120,30081024,1629028352,25821184
15780320.0,7246283.0,3806019189.0,3031735845.0,1187725748.0,521120.0,0.0,837432120,30081024,1629028352,25821184
23140968.0,8558467.0,2516083733.0,2085418064.0,920071003.0,5413556.0,4.0,419820079,27000832,1174405120,32112640
23140968.0,8558467.0,2516083733.0,2085418064.0,920071003.0,5413556.0,4.0,419820079,27000832,1174405120,32112640
14221746.0,932803.0,1104944370.0,1419558148.0,823293852.0,7465892.0,0.0,419904128,40304640,166526976,6815744
14221746.0,932803.0,1104944370.0,1419558148.0,823293852.0,7465892.0,0.0,419904128,40304640,166526976,6815744
15250497.0,986261.0,1200848099.0,1576759963.0,933128172.0,7996768.0,1.0,420146881,41353216,178585600,5832704
15250497.0,986261.0,1200848099.0,1576759963.0,933128172.0,7996768.0,1.0,420146881,41353216,178585600,5832704
36991013.0,15387240.0,1816665414.0,1814668212.0,960702723.0,5445440.0,8.0,420029498,41877504,1077280768,33947648
36991013.0,15387240.0,1816665414.0,1814668212.0,960702723.0,5445440.0,8.0,420029498,41877504,1077280768,33947648
25128534.0,14694214.0,1470978631.0,1114229481.0,449924437.0,1581101.0,4.0,419923392,41877504,1250164736,0
25128534.0,14694214.0,1470978631.0,1114229481.0,449924437.0,1581101.0,4.0,419923392,41877504,1250164736,0
9120001.0,5232780.0,979846607.0,685653045.0,239452649.0,714442.0,9.0,419973211,41877504,639107072,4718592
9120001.0,5232780.0,979846607.0,685653045.0,239452649.0,714442.0,9.0,419973211,41877504,639107072,4718592
8251956.0,5281159.0,865567423.0,571577830.0,173581335.0,69106.0,3.0,419846896,41811968,615055360,3604480
8251956.0,5281159.0,865567423.0,571577830.0,173581335.0,69106.0,3.0,419846896,41811968,615055360,3604480
5946660.0,4180977.0,528424267.0,339710598.0,103584191.0,12619.0,5.0,419722466,41680896,356253696,786432
5946660.0,4180977.0,528424267.0,339710598.0,103584191.0,12619.0,5.0,419722466,41680896,356253696,786432
5780349.0,4008810.0,231531115.0,167088370.0,70553631.0,8829.0,26.0,419864073,41811968,273612800,917504
5780349.0,4008810.0,231531115.0,167088370.0,70553631.0,8829.0,26.0,419864073,41811968,273612800,917504
4968124.0,2930779.0,173204085.0,135063172.0,61933535.0,6831.0,15.0,419877877,41811968,257294336,1966080
4968124.0,2930779.0,173204085.0,135063172.0,61933535.0,6831.0,15.0,419877877,41811968,257294336,1966080
4764985.0,2471428.0,162172218.0,125495219.0,57052857.0,3637.0,33.0,419900453,41549824,210305024,3866624
4764985.0,2471428.0,162172218.0,125495219.0,57052857.0,3637.0,33.0,419900453,41549824,210305024,3866624
7361450.0,4120769.0,517638421.0,382765482.0,156942811.0,386555.0,12.0,419831027,41680896,331284480,5570560
7361450.0,4120769.0,517638421.0,382765482.0,156942811.0,386555.0,12.0,419831027,41680896,331284480,5570560
12156234.0,4226558.0,935573199.0,755257963.0,342441123.0,2294278.0,10.0,419922832,35586048,566099968,12517376
12156234.0,4226558.0,935573199.0,755257963.0,342441123.0,2294278.0,10.0,419922832,35586048,566099968,12517376
12540349.0,5853475.0,1039598952.0,927075514.0,457905779.0,2681111.0,26.0,419877724,36372480,598081536,16318464
12540349.0,5853475.0,1039598952.0,927075514.0,457905779.0,2681111.0,26.0,419877724,36372480,598081536,16318464
5206948.0,4238470.0,163737441.0,119052264.0,52015315.0,6050.0,7.0,419788355,21102592,371851264,3538944
5206948.0,4238470.0,163737441.0,119052264.0,52015315.0,6050.0,7.0,419788355,21102592,371851264,3538944
5310970.0,3424332.0,171910387.0,120826931.0,48115829.0,6245.0,7.0,419825952,22085632,255000576,0
5310970.0,3424332.0,171910387.0,120826931.0,48115829.0,6245.0,7.0,419825952,22085632,255000576,0
6660959.0,3954630.0,450108509.0,331627451.0,141231751.0,808421.0,10.0,419776581,30146560,315883520,15073280
6660959.0,3954630.0,450108509.0,331627451.0,141231751.0,808421.0,10.0,419776581,30146560,315883520,15073280
13497463.0,5535335.0,1312046050.0,1021926354.0,442918369.0,3025956.0,20.0,420014098,31588352,539623424,11206656
13497463.0,5535335.0,1312046050.0,1021926354.0,442918369.0,3025956.0,20.0,420014098,31588352,539623424,11206656
5611166.0,3521356.0,331067479.0,240555435.0,96799369.0,29209.0,12.0,419785652,28311552,297730048,2490368
5611166.0,3521356.0,331067479.0,240555435.0,96799369.0,29209.0,12.0,419785652,28311552,297730048,2490368
5350216.0,4555109.0,253105303.0,186973095.0,80048756.0,55445.0,6.0,419721842,34930688,230883328,2949120
5350216.0,4555109.0,253105303.0,186973095.0,80048756.0,55445.0,6.0,419721842,34930688,230883328,2949120
7852282.0,3977887.0,419351518.0,296998837.0,118160638.0,138403.0,10.0,419877906,37814272,293339136,7536640
7852282.0,3977887.0,419351518.0,296998837.0,118160638.0,138403.0,10.0,419877906,37814272,293339136,7536640
7738380.0,4606791.0,644452677.0,545257524.0,251403130.0,1275813.0,8.0,419802516,26476544,358809600,6225920
7738380.0,4606791.0,644452677.0,545257524.0,251403130.0,1275813.0,8.0,419802516,26476544,358809600,6225920
3294645.0,2124615.0,88595992.0,66420690.0,27784446.0,3113.0,2.0,419787816,26279936,135462912,917504
3294645.0,2124615.0,88595992.0,66420690.0,27784446.0,3113.0,2.0,419787816,26279936,135462912,917504
4506775.0,2879831.0,140450658.0,103895957.0,44372190.0,2819.0,12.0,419872684,37879808,167182336,1769472
4506775.0,2879831.0,140450658.0,103895957.0,44372190.0,2819.0,12.0,419872684,37879808,167182336,1769472
