category,ntail-moses,streamcluster
runtime,75.96340656280518,149.3319399356842
llc_references,26692939.650837988,155490237.22454673
llc_misses,16405710.153631285,118771697.37099023
instructions,1075338726.9413407,6896829691.443515
cycles,860141172.6256983,9263145383.898186
stall_cycles,397090617.472067,5864443374.267782
intra_coh,571117.5139664805,8226874.323570432
inter_coh,40.83798882681564,0.3207810320781032
wall_cycles,2104840280.8519554,2136169872.1269178
llc_size,189587593.2960894,114968150.40446304
local_mem,1234487719.329609,8056873816.903765
remote_mem,13566684.245810054,6860257.2942817295
