llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
854745.0,1102031.0,679589504.0,236184887.0,8815909.0,0.0,0.0,845077013,1572864,226951168,1310720
854745.0,1102031.0,679589504.0,236184887.0,8815909.0,0.0,0.0,845077013,1572864,226951168,1310720
853845.0,1115370.0,683108358.0,236818371.0,7862779.0,0.0,0.0,419894251,983040,112918528,2097152
853845.0,1115370.0,683108358.0,236818371.0,7862779.0,0.0,0.0,419894251,983040,112918528,2097152
708203.0,876605.0,539661073.0,236670683.0,60002109.0,0.0,0.0,419786290,851968,88408064,1179648
708203.0,876605.0,539661073.0,236670683.0,60002109.0,0.0,0.0,419786290,851968,88408064,1179648
610135.0,739512.0,487369055.0,236329409.0,63838134.0,0.0,0.0,419837119,655360,80281600,1769472
610135.0,739512.0,487369055.0,236329409.0,63838134.0,0.0,0.0,419837119,655360,80281600,1769472
727342.0,980897.0,619984640.0,299682550.0,81400082.0,34.0,0.0,419647287,3014656,102367232,655360
727342.0,980897.0,619984640.0,299682550.0,81400082.0,34.0,0.0,419647287,3014656,102367232,655360
681667.0,910407.0,573647419.0,275144224.0,73105081.0,63.0,0.0,419755149,7274496,82182144,393216
681667.0,910407.0,573647419.0,275144224.0,73105081.0,63.0,0.0,419755149,7274496,82182144,393216
706641.0,943958.0,596835671.0,296892568.0,89491489.0,66.0,0.0,419829151,9830400,98304000,458752
706641.0,943958.0,596835671.0,296892568.0,89491489.0,66.0,0.0,419829151,9830400,98304000,458752
762360.0,1005813.0,625906157.0,318295094.0,98911577.0,26.0,0.0,419797644,11730944,94175232,393216
762360.0,1005813.0,625906157.0,318295094.0,98911577.0,26.0,0.0,419797644,11730944,94175232,393216
735391.0,988076.0,610177508.0,314068567.0,101506488.0,19.0,0.0,419378820,14090240,90439680,327680
735391.0,988076.0,610177508.0,314068567.0,101506488.0,19.0,0.0,419378820,14090240,90439680,327680
1171617.0,1726204.0,609872183.0,322236512.0,111495258.0,28.0,0.0,419693834,14352384,136445952,458752
1171617.0,1726204.0,609872183.0,322236512.0,111495258.0,28.0,0.0,419693834,14352384,136445952,458752
3999796.0,4160574.0,255817047.0,151238081.0,39828658.0,214.0,0.0,419935404,24248320,724172800,1179648
3999796.0,4160574.0,255817047.0,151238081.0,39828658.0,214.0,0.0,419935404,24248320,724172800,1179648
452870.0,585174.0,952130668.0,321205076.0,1121641.0,3.0,0.0,419481202,22282240,73531392,0
452870.0,585174.0,952130668.0,321205076.0,1121641.0,3.0,0.0,419481202,22282240,73531392,0
460545.0,583903.0,970696299.0,335737268.0,1460182.0,2.0,0.0,419893236,24182784,66519040,0
460545.0,583903.0,970696299.0,335737268.0,1460182.0,2.0,0.0,419893236,24182784,66519040,0
487342.0,690208.0,1074081466.0,351998691.0,1181399.0,1.0,0.0,419772948,25296896,69140480,0
487342.0,690208.0,1074081466.0,351998691.0,1181399.0,1.0,0.0,419772948,25296896,69140480,0
453150.0,574798.0,892451004.0,311042752.0,1176734.0,0.0,0.0,419776777,25690112,69992448,0
453150.0,574798.0,892451004.0,311042752.0,1176734.0,0.0,0.0,419776777,25690112,69992448,0
450500.0,566220.0,877744413.0,301039344.0,4047760.0,6.0,0.0,419779192,27590656,62586880,262144
450500.0,566220.0,877744413.0,301039344.0,4047760.0,6.0,0.0,419779192,27590656,62586880,262144
510337.0,635316.0,900387265.0,303530442.0,4453295.0,24.0,0.0,419730479,26804224,67829760,0
510337.0,635316.0,900387265.0,303530442.0,4453295.0,24.0,0.0,419730479,26804224,67829760,0
5299190.0,3854482.0,163151801.0,132953215.0,48914540.0,1229.0,0.0,419771569,35979264,753598464,720896
5299190.0,3854482.0,163151801.0,132953215.0,48914540.0,1229.0,0.0,419771569,35979264,753598464,720896
3250975.0,2835835.0,151516349.0,103691284.0,30724504.0,159.0,0.0,419696578,36044800,619708416,458752
3250975.0,2835835.0,151516349.0,103691284.0,30724504.0,159.0,0.0,419696578,36044800,619708416,458752
11705071.0,9234905.0,866914952.0,354600925.0,51970595.0,97.0,0.0,419899305,36110336,796327936,1114112
11705071.0,9234905.0,866914952.0,354600925.0,51970595.0,97.0,0.0,419899305,36110336,796327936,1114112
