llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
15386130.0,8551930.0,3077479784.0,2311517935.0,1070670153.0,24261.0,0.0,857153927,39845888,1841299456,0
15386130.0,8551930.0,3077479784.0,2311517935.0,1070670153.0,24261.0,0.0,857153927,39845888,1841299456,0
36354006.0,10207498.0,2240416868.0,2175676936.0,1087157591.0,2428.0,1.0,419788432,38469632,450494464,0
36354006.0,10207498.0,2240416868.0,2175676936.0,1087157591.0,2428.0,1.0,419788432,38469632,450494464,0
57414663.0,15998379.0,2286401676.0,2767200460.0,1450664078.0,3063.0,0.0,420622972,40960000,657653760,9240576
57414663.0,15998379.0,2286401676.0,2767200460.0,1450664078.0,3063.0,0.0,420622972,40960000,657653760,9240576
56052670.0,24782995.0,2179067201.0,3283023724.0,1995878031.0,4147.0,0.0,419392176,40763392,1331101696,4980736
56052670.0,24782995.0,2179067201.0,3283023724.0,1995878031.0,4147.0,0.0,419392176,40763392,1331101696,4980736
71240743.0,19905546.0,2874467201.0,3278196952.0,1627346361.0,6289.0,0.0,420011354,40763392,942276608,10747904
71240743.0,19905546.0,2874467201.0,3278196952.0,1627346361.0,6289.0,0.0,420011354,40763392,942276608,10747904
71815391.0,16708793.0,3231287977.0,3292280354.0,1484347376.0,4742.0,0.0,420680687,40435712,747503616,917504
71815391.0,16708793.0,3231287977.0,3292280354.0,1484347376.0,4742.0,0.0,420680687,40435712,747503616,917504
65155598.0,18543524.0,2918556942.0,3181103160.0,1544046476.0,4917.0,1.0,419713728,39714816,970194944,15400960
65155598.0,18543524.0,2918556942.0,3181103160.0,1544046476.0,4917.0,1.0,419713728,39714816,970194944,15400960
72734747.0,17918132.0,2913202821.0,3207326094.0,1531338507.0,6044.0,0.0,419846980,40370176,818675712,0
72734747.0,17918132.0,2913202821.0,3207326094.0,1531338507.0,6044.0,0.0,419846980,40370176,818675712,0
64299373.0,18465861.0,2558259219.0,3045392251.0,1574003071.0,4012.0,1.0,420264273,36306944,993001472,15335424
64299373.0,18465861.0,2558259219.0,3045392251.0,1574003071.0,4012.0,1.0,420264273,36306944,993001472,15335424
47823217.0,20704382.0,1756270622.0,2630104869.0,1602538750.0,1787.0,0.0,419625288,34013184,1249968128,0
47823217.0,20704382.0,1756270622.0,2630104869.0,1602538750.0,1787.0,0.0,419625288,34013184,1249968128,0
52414999.0,18791163.0,2049072294.0,2639028285.0,1466239214.0,4391.0,0.0,419873048,30474240,1031995392,13959168
52414999.0,18791163.0,2049072294.0,2639028285.0,1466239214.0,4391.0,0.0,419873048,30474240,1031995392,13959168
52205294.0,24071106.0,1997199853.0,2927593234.0,1751906835.0,6520.0,0.0,420584249,27000832,1329856512,9240576
52205294.0,24071106.0,1997199853.0,2927593234.0,1751906835.0,6520.0,0.0,420584249,27000832,1329856512,9240576
54452709.0,29656185.0,2106246931.0,3311023519.0,2065563117.0,5839.0,0.0,419335442,25100288,1862270976,0
54452709.0,29656185.0,2106246931.0,3311023519.0,2065563117.0,5839.0,0.0,419335442,25100288,1862270976,0
51732443.0,26991846.0,2127569026.0,3224496427.0,1974231279.0,10254.0,1.0,420013048,20905984,1707016192,21757952
51732443.0,26991846.0,2127569026.0,3224496427.0,1974231279.0,10254.0,1.0,420013048,20905984,1707016192,21757952
49721585.0,26670850.0,2071120150.0,3177680041.0,1966784631.0,9337.0,1.0,420646712,18022400,1551433728,5963776
49721585.0,26670850.0,2071120150.0,3177680041.0,1966784631.0,9337.0,1.0,420646712,18022400,1551433728,5963776
39424830.0,22621980.0,1734824668.0,2702457472.0,1692130129.0,5885.0,1.0,419952032,14680064,1454964736,7077888
39424830.0,22621980.0,1734824668.0,2702457472.0,1692130129.0,5885.0,1.0,419952032,14680064,1454964736,7077888
37671269.0,23714519.0,1602679822.0,2658148877.0,1725941050.0,7126.0,3.0,419776417,12582912,1674444800,0
37671269.0,23714519.0,1602679822.0,2658148877.0,1725941050.0,7126.0,3.0,419776417,12582912,1674444800,0
40557292.0,27927147.0,1668373208.0,3077739251.0,2080771164.0,12198.0,0.0,419575422,8716288,1839333376,16646144
40557292.0,27927147.0,1668373208.0,3077739251.0,2080771164.0,12198.0,0.0,419575422,8716288,1839333376,16646144
34373328.0,28500000.0,1395635866.0,2888281804.0,2057425241.0,12740.0,0.0,420430619,6291456,2137980928,9109504
34373328.0,28500000.0,1395635866.0,2888281804.0,2057425241.0,12740.0,0.0,420430619,6291456,2137980928,9109504
38699491.0,32762580.0,1713415193.0,3198804607.0,2208379312.0,26334.0,0.0,419803517,4390912,2488401920,10944512
38699491.0,32762580.0,1713415193.0,3198804607.0,2208379312.0,26334.0,0.0,419803517,4390912,2488401920,10944512
39946597.0,33348412.0,1767003566.0,3295995986.0,2277622058.0,32321.0,0.0,420088424,4194304,2480472064,7602176
39946597.0,33348412.0,1767003566.0,3295995986.0,2277622058.0,32321.0,0.0,420088424,4194304,2480472064,7602176
36631539.0,34097732.0,1480056924.0,3300980975.0,2410812122.0,22506.0,1.0,419801963,4194304,2751725568,10420224
36631539.0,34097732.0,1480056924.0,3300980975.0,2410812122.0,22506.0,1.0,419801963,4194304,2751725568,10420224
39850692.0,34497367.0,1650375721.0,3300535229.0,2328945492.0,24834.0,0.0,419905829,4194304,2800812032,12451840
39850692.0,34497367.0,1650375721.0,3300535229.0,2328945492.0,24834.0,0.0,419905829,4194304,2800812032,12451840
36369995.0,32407901.0,1492140006.0,3250681528.0,2347433143.0,17009.0,1.0,420561498,4194304,2498363392,7733248
36369995.0,32407901.0,1492140006.0,3250681528.0,2347433143.0,17009.0,1.0,420561498,4194304,2498363392,7733248
36238904.0,31577654.0,1582165154.0,3284638426.0,2347327160.0,19629.0,0.0,419981044,4194304,2278162432,7667712
36238904.0,31577654.0,1582165154.0,3284638426.0,2347327160.0,19629.0,0.0,419981044,4194304,2278162432,7667712
37057691.0,31535735.0,1619247641.0,3291459932.0,2354197328.0,22279.0,0.0,420183477,4194304,2524577792,8519680
37057691.0,31535735.0,1619247641.0,3291459932.0,2354197328.0,22279.0,0.0,420183477,4194304,2524577792,8519680
40616706.0,34020686.0,1707440210.0,3289289337.0,2312093715.0,27776.0,0.0,419362454,4194304,2433417216,14745600
40616706.0,34020686.0,1707440210.0,3289289337.0,2312093715.0,27776.0,0.0,419362454,4194304,2433417216,14745600
37514599.0,32288787.0,1625955637.0,3290102725.0,2335638256.0,19850.0,0.0,420277081,4194304,2563178496,9240576
37514599.0,32288787.0,1625955637.0,3290102725.0,2335638256.0,19850.0,0.0,420277081,4194304,2563178496,9240576
36669883.0,34034342.0,1432019378.0,3293019764.0,2420144120.0,19782.0,1.0,420861393,4128768,2565079040,7077888
36669883.0,34034342.0,1432019378.0,3293019764.0,2420144120.0,19782.0,1.0,420861393,4128768,2565079040,7077888
35475641.0,32930253.0,1498678223.0,3289891231.0,2396325789.0,20099.0,0.0,420780415,4194304,2456879104,7929856
35475641.0,32930253.0,1498678223.0,3289891231.0,2396325789.0,20099.0,0.0,420780415,4194304,2456879104,7929856
36930030.0,32415216.0,1510608569.0,3244429287.0,2339835976.0,26061.0,1.0,418365213,4194304,2410545152,13565952
36930030.0,32415216.0,1510608569.0,3244429287.0,2339835976.0,26061.0,1.0,418365213,4194304,2410545152,13565952
36439344.0,33004504.0,1432121678.0,3288045926.0,2437704154.0,16918.0,0.0,419846175,8388608,2365718528,7405568
36439344.0,33004504.0,1432121678.0,3288045926.0,2437704154.0,16918.0,0.0,419846175,8388608,2365718528,7405568
44170927.0,32419229.0,1999449015.0,3304766151.0,2159461000.0,25296.0,1.0,420112712,10485760,2262695936,7602176
44170927.0,32419229.0,1999449015.0,3304766151.0,2159461000.0,25296.0,1.0,420112712,10485760,2262695936,7602176
48999048.0,30565362.0,2155620950.0,3290979592.0,2048638902.0,17424.0,3.0,420147009,12582912,2137325568,11206656
48999048.0,30565362.0,2155620950.0,3290979592.0,2048638902.0,17424.0,3.0,420147009,12582912,2137325568,11206656
47771094.0,32610232.0,1949402309.0,3301983419.0,2175517565.0,14297.0,0.0,420123186,16777216,2124611584,8257536
47771094.0,32610232.0,1949402309.0,3301983419.0,2175517565.0,14297.0,0.0,420123186,16777216,2124611584,8257536
49463403.0,28824082.0,2180084000.0,3303372104.0,2051892795.0,10643.0,1.0,420007238,18874368,1827405824,7340032
49463403.0,28824082.0,2180084000.0,3303372104.0,2051892795.0,10643.0,1.0,420007238,18874368,1827405824,7340032
50558135.0,28038879.0,2171061515.0,3304467707.0,2043006173.0,9222.0,0.0,420087570,23068672,1966014464,2424832
50558135.0,28038879.0,2171061515.0,3304467707.0,2043006173.0,9222.0,0.0,420087570,23068672,1966014464,2424832
52738608.0,25980885.0,2111236325.0,3236783756.0,2004826087.0,8124.0,0.0,420091868,25165824,1711210496,13893632
52738608.0,25980885.0,2111236325.0,3236783756.0,2004826087.0,8124.0,0.0,420091868,25165824,1711210496,13893632
57946940.0,23416422.0,2424880491.0,3290236357.0,1937521929.0,7414.0,0.0,419982920,29294592,1425014784,0
57946940.0,23416422.0,2424880491.0,3290236357.0,1937521929.0,7414.0,0.0,419982920,29294592,1425014784,0
60647209.0,23395882.0,2613724636.0,3306122307.0,1815287728.0,6483.0,0.0,420120169,31457280,1288699904,11337728
60647209.0,23395882.0,2613724636.0,3306122307.0,1815287728.0,6483.0,0.0,420120169,31457280,1288699904,11337728
66902949.0,18493609.0,3038990864.0,3306263132.0,1581355742.0,7072.0,0.0,419993532,35651584,833159168,1114112
66902949.0,18493609.0,3038990864.0,3306263132.0,1581355742.0,7072.0,0.0,419993532,35651584,833159168,1114112
65820090.0,18743824.0,2896030875.0,3292646859.0,1672073977.0,5724.0,4.0,420065933,37552128,941686784,3342336
65820090.0,18743824.0,2896030875.0,3292646859.0,1672073977.0,5724.0,4.0,420065933,37552128,941686784,3342336
69675608.0,15833188.0,3188484518.0,3300421659.0,1539754861.0,4582.0,1.0,420046620,37748736,672399360,8454144
69675608.0,15833188.0,3188484518.0,3300421659.0,1539754861.0,4582.0,1.0,420046620,37748736,672399360,8454144
62780390.0,21441903.0,2713854270.0,3308513998.0,1788464624.0,5602.0,1.0,420083601,37552128,1010565120,6029312
62780390.0,21441903.0,2713854270.0,3308513998.0,1788464624.0,5602.0,1.0,420083601,37552128,1010565120,6029312
64888896.0,18318785.0,2880730122.0,3289829594.0,1648109110.0,4657.0,4.0,420054607,37748736,788529152,131072
64888896.0,18318785.0,2880730122.0,3289829594.0,1648109110.0,4657.0,4.0,420054607,37748736,788529152,131072
58570135.0,21510660.0,2662134258.0,3304667586.0,1810406318.0,4398.0,1.0,420042336,37748736,1364066304,14221312
58570135.0,21510660.0,2662134258.0,3304667586.0,1810406318.0,4398.0,1.0,420042336,37748736,1364066304,14221312
58668394.0,24309081.0,2524088441.0,3298264881.0,1820388769.0,4155.0,3.0,420073817,37683200,1337524224,8060928
58668394.0,24309081.0,2524088441.0,3298264881.0,1820388769.0,4155.0,3.0,420073817,37683200,1337524224,8060928
61716218.0,22043415.0,2581434446.0,3297407323.0,1837674149.0,4806.0,0.0,420056313,37683200,1290469376,7274496
61716218.0,22043415.0,2581434446.0,3297407323.0,1837674149.0,4806.0,0.0,420056313,37683200,1290469376,7274496
64890964.0,20356962.0,2660007329.0,3310348590.0,1787205904.0,5653.0,1.0,420164356,37552128,1200685056,0
64890964.0,20356962.0,2660007329.0,3310348590.0,1787205904.0,5653.0,1.0,420164356,37552128,1200685056,0
68500925.0,15267692.0,3288774863.0,3294526138.0,1468107757.0,4593.0,0.0,419914527,37748736,634060800,3080192
68500925.0,15267692.0,3288774863.0,3294526138.0,1468107757.0,4593.0,0.0,419914527,37748736,634060800,3080192
68723968.0,18582496.0,2970077255.0,3322685466.0,1639370500.0,5377.0,0.0,420067907,37748736,812056576,2949120
68723968.0,18582496.0,2970077255.0,3322685466.0,1639370500.0,5377.0,0.0,420067907,37748736,812056576,2949120
64599371.0,19899819.0,2778458893.0,3289256683.0,1694415403.0,4696.0,1.0,420076909,37683200,858193920,11796480
64599371.0,19899819.0,2778458893.0,3289256683.0,1694415403.0,4696.0,1.0,420076909,37683200,858193920,11796480
59125925.0,23141262.0,2363990921.0,3259476609.0,1859649283.0,4051.0,0.0,420044548,37748736,1147076608,0
59125925.0,23141262.0,2363990921.0,3259476609.0,1859649283.0,4051.0,0.0,420044548,37748736,1147076608,0
72747785.0,14902072.0,3226406506.0,3310828574.0,1513534911.0,4956.0,0.0,420039186,37748736,676003840,5570560
72747785.0,14902072.0,3226406506.0,3310828574.0,1513534911.0,4956.0,0.0,420039186,37748736,676003840,5570560
68089816.0,16634158.0,3081515934.0,3294378649.0,1565210438.0,5400.0,1.0,420081886,37748736,835059712,9895936
68089816.0,16634158.0,3081515934.0,3294378649.0,1565210438.0,5400.0,1.0,420081886,37748736,835059712,9895936
62600724.0,23781653.0,2463487425.0,3304691803.0,1869321603.0,5847.0,1.0,420106134,37748736,1159004160,3932160
