category,ntail-sphinx,bfs
runtime,23.50988221168518,31.013453722000122
llc_references,215530912.71276596,145214.25
llc_misses,136076552.07446808,63799.0
instructions,9218785467.393616,5045288082.25
cycles,15820790587.978724,1858713792.375
stall_cycles,10502499922.340425,183914096.125
intra_coh,47106.542553191495,0.0
inter_coh,3.4574468085106385,4.5
wall_cycles,2121560164.5744681,2374896126.625
llc_size,98520129.36170213,60612608.0
local_mem,9138545511.48936,78536704.0
remote_mem,7358856.170212766,1032192.0
