category,ntail-sphinx,canneal
runtime,24.845561027526855,28.955724000930786
llc_references,276557156.53061223,15343219.540229885
llc_misses,107251241.02040815,6110531.781609196
instructions,11596465459.795918,1255400980.402299
cycles,14842985304.591837,2152158649.367816
stall_cycles,8274943280.0,1461791158.7931035
intra_coh,30572.448979591834,0.0
inter_coh,5.1020408163265305,0.0
wall_cycles,2122110883.3673468,3337778131.436782
llc_size,147007947.75510204,114190830.34482759
local_mem,5360463621.22449,600151569.6551723
remote_mem,7570076.734693878,828616.091954023
