llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
16980967.0,12821602.0,2673636292.0,2316059284.0,1171947373.0,22431.0,0.0,859483072,41877504,1821900800,7143424
16980967.0,12821602.0,2673636292.0,2316059284.0,1171947373.0,22431.0,0.0,859483072,41877504,1821900800,7143424
37463016.0,9033693.0,2755502247.0,2308659375.0,1056759955.0,2462.0,0.0,419564493,41943040,753074176,3145728
37463016.0,9033693.0,2755502247.0,2308659375.0,1056759955.0,2462.0,0.0,419564493,41943040,753074176,3145728
59501982.0,13904281.0,2288336572.0,2651005724.0,1339539499.0,6187.0,0.0,420558310,41484288,991100928,15728640
59501982.0,13904281.0,2288336572.0,2651005724.0,1339539499.0,6187.0,0.0,420558310,41484288,991100928,15728640
56227224.0,24472525.0,2252474774.0,3265591196.0,1955805972.0,5892.0,0.0,419641549,41811968,1840775168,8781824
56227224.0,24472525.0,2252474774.0,3265591196.0,1955805972.0,5892.0,0.0,419641549,41811968,1840775168,8781824
71537906.0,18035157.0,2969841661.0,3287660372.0,1608812418.0,6115.0,0.0,420731563,41811968,1214906368,12386304
71537906.0,18035157.0,2969841661.0,3287660372.0,1608812418.0,6115.0,0.0,420731563,41811968,1214906368,12386304
73086709.0,15833185.0,3291213828.0,3288139445.0,1470336501.0,5658.0,0.0,419965448,41680896,956694528,0
73086709.0,15833185.0,3291213828.0,3288139445.0,1470336501.0,5658.0,0.0,419965448,41680896,956694528,0
69747309.0,17217373.0,3048954122.0,3186390955.0,1529963548.0,5949.0,0.0,419523069,41877504,1232273408,19005440
69747309.0,17217373.0,3048954122.0,3186390955.0,1529963548.0,5949.0,0.0,419523069,41877504,1232273408,19005440
72618131.0,18846040.0,2834667922.0,3201294010.0,1587051419.0,5902.0,0.0,420456036,41680896,1257439232,18677760
72618131.0,18846040.0,2834667922.0,3201294010.0,1587051419.0,5902.0,0.0,420456036,41680896,1257439232,18677760
65834299.0,17370653.0,2669273222.0,3036321268.0,1514051615.0,5472.0,3.0,420009548,41943040,1340735488,0
65834299.0,17370653.0,2669273222.0,3036321268.0,1514051615.0,5472.0,3.0,420009548,41943040,1340735488,0
52277207.0,15437627.0,2056451132.0,2477316547.0,1303717169.0,2818.0,0.0,419610121,39780352,1050411008,0
52277207.0,15437627.0,2056451132.0,2477316547.0,1303717169.0,2818.0,0.0,419610121,39780352,1050411008,0
49159820.0,15676494.0,1917018494.0,2385079963.0,1293900246.0,2232.0,0.0,419542613,36700160,1110900736,12582912
49159820.0,15676494.0,1917018494.0,2385079963.0,1293900246.0,2232.0,0.0,419542613,36700160,1110900736,12582912
61607482.0,17922940.0,2423188130.0,2910219056.0,1528171579.0,3928.0,0.0,419951993,36241408,1293680640,10092544
61607482.0,17922940.0,2423188130.0,2910219056.0,1528171579.0,3928.0,0.0,419951993,36241408,1293680640,10092544
57717651.0,25858173.0,2214600256.0,3196580177.0,1885037670.0,5140.0,0.0,420666688,34668544,2125987840,9306112
57717651.0,25858173.0,2214600256.0,3196580177.0,1885037670.0,5140.0,0.0,420666688,34668544,2125987840,9306112
57382316.0,23718767.0,2337412920.0,3224039348.0,1860447620.0,5610.0,0.0,419978951,34078720,1849556992,3473408
57382316.0,23718767.0,2337412920.0,3224039348.0,1860447620.0,5610.0,0.0,419978951,34078720,1849556992,3473408
58600329.0,21611931.0,2540478117.0,3103295180.0,1638425786.0,6954.0,1.0,419537636,32571392,1695350784,5636096
58600329.0,21611931.0,2540478117.0,3103295180.0,1638425786.0,6954.0,1.0,419537636,32571392,1695350784,5636096
48475989.0,11759625.0,2170964889.0,2273284987.0,1063166633.0,3105.0,1.0,420053816,31850496,881917952,2621440
48475989.0,11759625.0,2170964889.0,2273284987.0,1063166633.0,3105.0,1.0,420053816,31850496,881917952,2621440
47835994.0,14731110.0,2021212899.0,2429292432.0,1293495820.0,3415.0,0.0,420278439,30146560,1120010240,3932160
47835994.0,14731110.0,2021212899.0,2429292432.0,1293495820.0,3415.0,0.0,420278439,30146560,1120010240,3932160
48062511.0,14873190.0,2240003344.0,2488047341.0,1235597092.0,5102.0,0.0,419701086,29360128,970653696,11862016
48062511.0,14873190.0,2240003344.0,2488047341.0,1235597092.0,5102.0,0.0,419701086,29360128,970653696,11862016
33199514.0,9207225.0,1587696589.0,1635637275.0,767921618.0,2839.0,0.0,419623554,27066368,480444416,5177344
33199514.0,9207225.0,1587696589.0,1635637275.0,767921618.0,2839.0,0.0,419623554,27066368,480444416,5177344
27776478.0,13593753.0,1099513787.0,1604174588.0,973345207.0,1831.0,1.0,419971103,25493504,1008467968,14286848
27776478.0,13593753.0,1099513787.0,1604174588.0,973345207.0,1831.0,1.0,419971103,25493504,1008467968,14286848
38899956.0,22973425.0,1596352406.0,2518395988.0,1591096457.0,6177.0,1.0,419829804,23330816,1928462336,20643840
38899956.0,22973425.0,1596352406.0,2518395988.0,1591096457.0,6177.0,1.0,419829804,23330816,1928462336,20643840
47582317.0,30837742.0,1942540115.0,3296658968.0,2172247357.0,6823.0,0.0,420126643,23527424,2679504896,9109504
47582317.0,30837742.0,1942540115.0,3296658968.0,2172247357.0,6823.0,0.0,420126643,23527424,2679504896,9109504
53004095.0,25111346.0,2441881189.0,3288673428.0,1916919733.0,7199.0,0.0,419867245,25100288,1857486848,13959168
53004095.0,25111346.0,2441881189.0,3288673428.0,1916919733.0,7199.0,0.0,419867245,25100288,1857486848,13959168
54367155.0,25125637.0,2436754856.0,3311632301.0,1938321668.0,6023.0,1.0,420175280,25100288,1834352640,18219008
54367155.0,25125637.0,2436754856.0,3311632301.0,1938321668.0,6023.0,1.0,420175280,25100288,1834352640,18219008
48529943.0,29680697.0,2002451074.0,3298861829.0,2128924039.0,6780.0,4.0,420130298,25165824,2509242368,10813440
48529943.0,29680697.0,2002451074.0,3298861829.0,2128924039.0,6780.0,4.0,420130298,25165824,2509242368,10813440
51000609.0,28655251.0,2202742069.0,3304584074.0,2037594320.0,9261.0,0.0,420058653,24969216,2501443584,11927552
51000609.0,28655251.0,2202742069.0,3304584074.0,2037594320.0,9261.0,0.0,420058653,24969216,2501443584,11927552
45572945.0,31024217.0,1830564414.0,3300567157.0,2223128098.0,9216.0,0.0,420157689,25034752,2411593728,19398656
45572945.0,31024217.0,1830564414.0,3300567157.0,2223128098.0,9216.0,0.0,420157689,25034752,2411593728,19398656
42869673.0,29262371.0,1738256028.0,3249719626.0,2207245239.0,10113.0,1.0,419852433,25034752,2556428288,16580608
42869673.0,29262371.0,1738256028.0,3249719626.0,2207245239.0,10113.0,1.0,419852433,25034752,2556428288,16580608
45057686.0,30535786.0,1833488868.0,3296309134.0,2220079356.0,9754.0,0.0,420209490,25034752,2632450048,8978432
45057686.0,30535786.0,1833488868.0,3296309134.0,2220079356.0,9754.0,0.0,420209490,25034752,2632450048,8978432
49407962.0,28051366.0,2234092510.0,3289804114.0,2026070942.0,11598.0,1.0,419836101,25034752,2199715840,15663104
49407962.0,28051366.0,2234092510.0,3289804114.0,2026070942.0,11598.0,1.0,419836101,25034752,2199715840,15663104
54051786.0,23076946.0,2570235548.0,3315495931.0,1870069997.0,12866.0,1.0,420151536,25100288,1737752576,8650752
54051786.0,23076946.0,2570235548.0,3315495931.0,1870069997.0,12866.0,1.0,420151536,25100288,1737752576,8650752
51434415.0,24174300.0,2442734827.0,3289181995.0,1923018730.0,7592.0,1.0,419934949,25100288,1974599680,22151168
51434415.0,24174300.0,2442734827.0,3289181995.0,1923018730.0,7592.0,1.0,419934949,25100288,1974599680,22151168
48033327.0,29808943.0,2022089129.0,3295974905.0,2105141375.0,6675.0,0.0,420039326,26214400,2401173504,16646144
48033327.0,29808943.0,2022089129.0,3295974905.0,2105141375.0,6675.0,0.0,420039326,26214400,2401173504,16646144
53446937.0,26345737.0,2185250761.0,3302775695.0,2024589656.0,5588.0,0.0,420049777,27459584,2165964800,15335424
53446937.0,26345737.0,2185250761.0,3302775695.0,2024589656.0,5588.0,0.0,420049777,27459584,2165964800,15335424
53013873.0,25750697.0,2139101317.0,3244360539.0,1973690753.0,5686.0,1.0,419940977,30474240,1942290432,15204352
53013873.0,25750697.0,2139101317.0,3244360539.0,1973690753.0,5686.0,1.0,419940977,30474240,1942290432,15204352
64091425.0,19079244.0,2991582342.0,3306067743.0,1636931644.0,6368.0,0.0,420111677,31784960,1347289088,2097152
64091425.0,19079244.0,2991582342.0,3306067743.0,1636931644.0,6368.0,0.0,420111677,31784960,1347289088,2097152
68434679.0,15728095.0,3155252475.0,3298127257.0,1535778045.0,5865.0,0.0,419987687,33292288,1051262976,11206656
68434679.0,15728095.0,3155252475.0,3298127257.0,1535778045.0,5865.0,0.0,419987687,33292288,1051262976,11206656
62421295.0,20757785.0,2736915613.0,3297289192.0,1750795169.0,5391.0,0.0,420040845,32964608,1502806016,14024704
62421295.0,20757785.0,2736915613.0,3297289192.0,1750795169.0,5391.0,0.0,420040845,32964608,1502806016,14024704
53780880.0,28267084.0,2118610089.0,3304273584.0,2052097551.0,4651.0,1.0,419848745,31653888,2244935680,15532032
53780880.0,28267084.0,2118610089.0,3304273584.0,2052097551.0,4651.0,1.0,419848745,31653888,2244935680,15532032
60792868.0,20861834.0,2789401361.0,3307450651.0,1766953380.0,8093.0,0.0,420191974,30474240,1651179520,20119552
60792868.0,20861834.0,2789401361.0,3307450651.0,1766953380.0,8093.0,0.0,420191974,30474240,1651179520,20119552
52163476.0,27384492.0,2081598368.0,3298145108.0,2078513810.0,5355.0,0.0,420019054,29622272,2359951360,5505024
52163476.0,27384492.0,2081598368.0,3298145108.0,2078513810.0,5355.0,0.0,420019054,29622272,2359951360,5505024
50083675.0,24894748.0,2147496584.0,3237029465.0,1974697991.0,8203.0,0.0,419971384,29622272,1994981376,12582912
50083675.0,24894748.0,2147496584.0,3237029465.0,1974697991.0,8203.0,0.0,419971384,29622272,1994981376,12582912
52826811.0,22649804.0,2512310787.0,3288520824.0,1901994870.0,6117.0,3.0,420068929,29622272,1939734528,23855104
52826811.0,22649804.0,2512310787.0,3288520824.0,1901994870.0,6117.0,3.0,420068929,29622272,1939734528,23855104
47581128.0,28440694.0,2013158483.0,3294457347.0,2133132835.0,3127.0,0.0,420056707,29622272,2559967232,12582912
47581128.0,28440694.0,2013158483.0,3294457347.0,2133132835.0,3127.0,0.0,420056707,29622272,2559967232,12582912
48438711.0,30171915.0,1941875045.0,3290794017.0,2157059677.0,5204.0,0.0,420066318,29622272,2700804096,14286848
48438711.0,30171915.0,1941875045.0,3290794017.0,2157059677.0,5204.0,0.0,420066318,29622272,2700804096,14286848
52767577.0,28284438.0,2165293658.0,3308061457.0,2028885408.0,7262.0,0.0,419823957,29163520,2502819840,18808832
52767577.0,28284438.0,2165293658.0,3308061457.0,2028885408.0,7262.0,0.0,419823957,29163520,2502819840,18808832
58968104.0,23293835.0,2522743614.0,3303812934.0,1847009204.0,7733.0,1.0,420124192,29360128,1774845952,4915200
58968104.0,23293835.0,2522743614.0,3303812934.0,1847009204.0,7733.0,1.0,420124192,29360128,1774845952,4915200
62010469.0,20808688.0,2772841374.0,3316691354.0,1766845924.0,7252.0,0.0,420192978,28966912,1574567936,15400960
62010469.0,20808688.0,2772841374.0,3316691354.0,1766845924.0,7252.0,0.0,420192978,28966912,1574567936,15400960
58050016.0,23375968.0,2507420422.0,3294520986.0,1852536663.0,7383.0,1.0,420094339,32178176,1871839232,18153472
58050016.0,23375968.0,2507420422.0,3294520986.0,1852536663.0,7383.0,1.0,420094339,32178176,1871839232,18153472
55502250.0,26820232.0,2133011689.0,3299123809.0,2026091876.0,4959.0,0.0,420093961,33226752,2026569728,7798784
55502250.0,26820232.0,2133011689.0,3299123809.0,2026091876.0,4959.0,0.0,420093961,33226752,2026569728,7798784
57790680.0,25048500.0,2286742829.0,3301098766.0,1941065559.0,5208.0,1.0,419943712,34471936,1935474688,21037056
57790680.0,25048500.0,2286742829.0,3301098766.0,1941065559.0,5208.0,1.0,419943712,34471936,1935474688,21037056
71330576.0,18712056.0,3016717736.0,3315407898.0,1629685980.0,6177.0,0.0,420255180,37093376,1297678336,0
71330576.0,18712056.0,3016717736.0,3315407898.0,1629685980.0,6177.0,0.0,420255180,37093376,1297678336,0
77006317.0,10893710.0,3588695509.0,3304804812.0,1343294629.0,4092.0,1.0,419992755,38076416,553385984,3014656
77006317.0,10893710.0,3588695509.0,3304804812.0,1343294629.0,4092.0,1.0,419992755,38076416,553385984,3014656
64265514.0,20219200.0,2710253716.0,3302790461.0,1780281800.0,4722.0,0.0,420134529,38076416,1468596224,20840448
64265514.0,20219200.0,2710253716.0,3302790461.0,1780281800.0,4722.0,0.0,420134529,38076416,1468596224,20840448
60258453.0,24436507.0,2380060248.0,3287204245.0,1873630791.0,6327.0,0.0,420065346,38076416,1948516352,1966080
60258453.0,24436507.0,2380060248.0,3287204245.0,1873630791.0,6327.0,0.0,420065346,38076416,1948516352,1966080
57679235.0,20519648.0,2174443279.0,2983015421.0,1694239839.0,4098.0,0.0,419975578,37945344,1564999680,7536640
57679235.0,20519648.0,2174443279.0,2983015421.0,1694239839.0,4098.0,0.0,419975578,37945344,1564999680,7536640
64029227.0,21621675.0,2544735921.0,3263849660.0,1788919651.0,5172.0,0.0,420180510,37945344,1688403968,6356992
64029227.0,21621675.0,2544735921.0,3263849660.0,1788919651.0,5172.0,0.0,420180510,37945344,1688403968,6356992
66932234.0,19690214.0,2848864293.0,3290056631.0,1673929018.0,4543.0,0.0,420072100,37879808,1492975616,16187392
66932234.0,19690214.0,2848864293.0,3290056631.0,1673929018.0,4543.0,0.0,420072100,37879808,1492975616,16187392
63580454.0,22478712.0,2520086460.0,3289625871.0,1824913781.0,4201.0,0.0,420058411,38010880,1754071040,8454144
63580454.0,22478712.0,2520086460.0,3289625871.0,1824913781.0,4201.0,0.0,420058411,38010880,1754071040,8454144
68892012.0,17081981.0,3052205643.0,3303287110.0,1599781864.0,5157.0,1.0,420067902,37814272,1123942400,3211264
68892012.0,17081981.0,3052205643.0,3303287110.0,1599781864.0,5157.0,1.0,420067902,37814272,1123942400,3211264
63381793.0,19022230.0,2785653642.0,3297195848.0,1736475418.0,4224.0,0.0,420135849,37683200,1357053952,12845056
63381793.0,19022230.0,2785653642.0,3297195848.0,1736475418.0,4224.0,0.0,420135849,37683200,1357053952,12845056
56720838.0,22636605.0,2385589543.0,3190317770.0,1810265017.0,4848.0,0.0,420139743,38010880,1703411712,6356992
56720838.0,22636605.0,2385589543.0,3190317770.0,1810265017.0,4848.0,0.0,420139743,38010880,1703411712,6356992
62850152.0,20897628.0,2658906509.0,3229439251.0,1695064203.0,5185.0,1.0,420124593,36241408,1536360448,12713984
62850152.0,20897628.0,2658906509.0,3229439251.0,1695064203.0,5185.0,1.0,420124593,36241408,1536360448,12713984
61691995.0,14982661.0,2688928900.0,2967749434.0,1441095416.0,4461.0,0.0,419968136,36765696,917635072,0
61691995.0,14982661.0,2688928900.0,2967749434.0,1441095416.0,4461.0,0.0,419968136,36765696,917635072,0
63201453.0,15874959.0,2782930121.0,3114080341.0,1543236752.0,4863.0,0.0,420070567,35848192,1113128960,9371648
63201453.0,15874959.0,2782930121.0,3114080341.0,1543236752.0,4863.0,0.0,420070567,35848192,1113128960,9371648
64820254.0,16887739.0,3046782589.0,3302381602.0,1625301602.0,5831.0,0.0,420095746,34537472,1339162624,15532032
64820254.0,16887739.0,3046782589.0,3302381602.0,1625301602.0,5831.0,0.0,420095746,34537472,1339162624,15532032
47168626.0,12015565.0,2046369969.0,2178123191.0,1028289400.0,2481.0,0.0,419706917,33619968,774963200,4325376
47168626.0,12015565.0,2046369969.0,2178123191.0,1028289400.0,2481.0,0.0,419706917,33619968,774963200,4325376
43080961.0,17135292.0,1750969871.0,2326104096.0,1329049373.0,2506.0,0.0,420139517,31457280,1436286976,15335424
43080961.0,17135292.0,1750969871.0,2326104096.0,1329049373.0,2506.0,0.0,420139517,31457280,1436286976,15335424
45944338.0,18340689.0,1858008036.0,2495780450.0,1388230563.0,2101.0,0.0,420013923,30801920,1324351488,4128768
45944338.0,18340689.0,1858008036.0,2495780450.0,1388230563.0,2101.0,0.0,420013923,30801920,1324351488,4128768
55704383.0,17649137.0,2333030322.0,2820509586.0,1497403446.0,3974.0,0.0,420046732,33161216,1457913856,10551296
55704383.0,17649137.0,2333030322.0,2820509586.0,1497403446.0,3974.0,0.0,420046732,33161216,1457913856,10551296
60976912.0,22831564.0,2515770362.0,3291452841.0,1834886470.0,5973.0,0.0,420105567,34471936,1667956736,13172736
60976912.0,22831564.0,2515770362.0,3291452841.0,1834886470.0,5973.0,0.0,420105567,34471936,1667956736,13172736
62983077.0,19713715.0,2775373174.0,3295781851.0,1731252300.0,5929.0,3.0,419774880,34996224,1533476864,16449536
62983077.0,19713715.0,2775373174.0,3295781851.0,1731252300.0,5929.0,3.0,419774880,34996224,1533476864,16449536
55428643.0,23863411.0,2363541517.0,3310787572.0,1928906683.0,3984.0,0.0,420207396,35979264,1808793600,7208960
55428643.0,23863411.0,2363541517.0,3310787572.0,1928906683.0,3984.0,0.0,420207396,35979264,1808793600,7208960
52662907.0,24165436.0,2169156321.0,3241344047.0,1948400513.0,4049.0,0.0,420042994,34471936,1825177600,2818048
52662907.0,24165436.0,2169156321.0,3241344047.0,1948400513.0,4049.0,0.0,420042994,34471936,1825177600,2818048
66052677.0,17880961.0,2966616371.0,3301614750.0,1644996185.0,6644.0,1.0,420089026,33619968,1231618048,2621440
66052677.0,17880961.0,2966616371.0,3301614750.0,1644996185.0,6644.0,1.0,420089026,33619968,1231618048,2621440
61771626.0,16906800.0,2892440559.0,3137032365.0,1510764030.0,7067.0,1.0,420006685,30801920,1125646336,0
61771626.0,16906800.0,2892440559.0,3137032365.0,1510764030.0,7067.0,1.0,420006685,30801920,1125646336,0
49278608.0,17128275.0,1874284553.0,2491100888.0,1396023184.0,3634.0,0.0,419990620,30670848,1097793536,983040
49278608.0,17128275.0,1874284553.0,2491100888.0,1396023184.0,3634.0,0.0,419990620,30670848,1097793536,983040
55239398.0,13132856.0,2357422280.0,2590369985.0,1256795400.0,3653.0,1.0,420010259,30801920,711917568,4784128
55239398.0,13132856.0,2357422280.0,2590369985.0,1256795400.0,3653.0,1.0,420010259,30801920,711917568,4784128
61483535.0,16159244.0,2814524800.0,3009117405.0,1423076042.0,6574.0,0.0,420074840,32047104,1030619136,2686976
61483535.0,16159244.0,2814524800.0,3009117405.0,1423076042.0,6574.0,0.0,420074840,32047104,1030619136,2686976
56127414.0,9863246.0,2565353868.0,2471327398.0,1061565595.0,3002.0,1.0,420103663,34603008,540540928,3473408
56127414.0,9863246.0,2565353868.0,2471327398.0,1061565595.0,3002.0,1.0,420103663,34603008,540540928,3473408
53325993.0,11636893.0,2456653187.0,2482077759.0,1122453716.0,2609.0,1.0,419988324,35782656,691208192,7208960
53325993.0,11636893.0,2456653187.0,2482077759.0,1122453716.0,2609.0,1.0,419988324,35782656,691208192,7208960
53145781.0,10396474.0,2325725324.0,2340601585.0,1033025768.0,2198.0,0.0,419968464,37486592,523239424,5439488
53145781.0,10396474.0,2325725324.0,2340601585.0,1033025768.0,2198.0,0.0,419968464,37486592,523239424,5439488
49323926.0,8455706.0,2309486562.0,2208768367.0,917252489.0,1860.0,0.0,420106121,37421056,505479168,3014656
49323926.0,8455706.0,2309486562.0,2208768367.0,917252489.0,1860.0,0.0,420106121,37421056,505479168,3014656
38374535.0,10347410.0,1609475205.0,1785900566.0,869317351.0,949.0,0.0,419975325,37683200,692518912,589824
38374535.0,10347410.0,1609475205.0,1785900566.0,869317351.0,949.0,0.0,419975325,37683200,692518912,589824
44889644.0,8623043.0,2072304911.0,2072170563.0,923442333.0,1155.0,0.0,419946052,37748736,389742592,983040
44889644.0,8623043.0,2072304911.0,2072170563.0,923442333.0,1155.0,0.0,419946052,37748736,389742592,983040
39979018.0,4232037.0,1923764333.0,1694426582.0,647879804.0,561.0,1.0,419870739,37552128,77201408,0
39979018.0,4232037.0,1923764333.0,1694426582.0,647879804.0,561.0,1.0,419870739,37552128,77201408,0
23447663.0,2788286.0,1082024559.0,949121157.0,365326148.0,81.0,0.0,419891781,37486592,48037888,393216
23447663.0,2788286.0,1082024559.0,949121157.0,365326148.0,81.0,0.0,419891781,37486592,48037888,393216
35086625.0,5296203.0,1410334123.0,1369070068.0,569040210.0,404.0,0.0,419851761,37748736,187301888,1376256
35086625.0,5296203.0,1410334123.0,1369070068.0,569040210.0,404.0,0.0,419851761,37748736,187301888,1376256
41759861.0,5816568.0,1780333812.0,1692558307.0,686053528.0,727.0,1.0,419953440,37552128,214106112,2686976
41759861.0,5816568.0,1780333812.0,1692558307.0,686053528.0,727.0,1.0,419953440,37552128,214106112,2686976
35859432.0,4455563.0,1552174528.0,1418125211.0,552074870.0,569.0,0.0,419886271,37552128,137691136,4325376
35859432.0,4455563.0,1552174528.0,1418125211.0,552074870.0,569.0,0.0,419886271,37552128,137691136,4325376
39277203.0,5495083.0,1560175033.0,1513988382.0,631695127.0,538.0,0.0,419901699,37617664,197591040,0
39277203.0,5495083.0,1560175033.0,1513988382.0,631695127.0,538.0,0.0,419901699,37617664,197591040,0
33074917.0,3877201.0,1515870712.0,1338493494.0,502709123.0,338.0,0.0,419788178,36372480,107085824,65536
33074917.0,3877201.0,1515870712.0,1338493494.0,502709123.0,338.0,0.0,419788178,36372480,107085824,65536
30364869.0,4668496.0,1216101636.0,1177464286.0,486280180.0,148.0,0.0,420008206,37683200,170065920,393216
30364869.0,4668496.0,1216101636.0,1177464286.0,486280180.0,148.0,0.0,420008206,37683200,170065920,393216
43108157.0,6179025.0,1863240896.0,1735030162.0,693473838.0,1006.0,0.0,419867784,37617664,258867200,2424832
43108157.0,6179025.0,1863240896.0,1735030162.0,693473838.0,1006.0,0.0,419867784,37617664,258867200,2424832
50256300.0,12893026.0,2117775039.0,2385451888.0,1180401058.0,1870.0,1.0,419828516,37486592,911867904,22609920
50256300.0,12893026.0,2117775039.0,2385451888.0,1180401058.0,1870.0,1.0,419828516,37486592,911867904,22609920
39765290.0,14617041.0,1591504980.0,2172011767.0,1246019286.0,900.0,0.0,420010589,37158912,1221525504,0
39765290.0,14617041.0,1591504980.0,2172011767.0,1246019286.0,900.0,0.0,420010589,37158912,1221525504,0
46875002.0,16940385.0,1857279216.0,2494556203.0,1416320912.0,2142.0,0.0,419930224,36700160,1266745344,589824
