llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
94546.0,117662.0,533542566.0,236867262.0,30061254.0,0.0,0.0,833713978,65536,4784128,1900544
94546.0,117662.0,533542566.0,236867262.0,30061254.0,0.0,0.0,833713978,65536,4784128,1900544
92993.0,80382.0,539553286.0,237241972.0,29292561.0,9.0,0.0,419662244,0,2424832,2031616
92993.0,80382.0,539553286.0,237241972.0,29292561.0,9.0,0.0,419662244,0,2424832,2031616
116360.0,101704.0,533746662.0,236968300.0,30703377.0,24.0,0.0,419728288,0,3538944,1310720
116360.0,101704.0,533746662.0,236968300.0,30703377.0,24.0,0.0,419728288,0,3538944,1310720
157488.0,146937.0,525861597.0,236892211.0,32572336.0,60.0,0.0,419771506,65536,5308416,2949120
157488.0,146937.0,525861597.0,236892211.0,32572336.0,60.0,0.0,419771506,65536,5308416,2949120
133979.0,119913.0,530734005.0,237011477.0,31083283.0,37.0,0.0,419700491,131072,4587520,2818048
133979.0,119913.0,530734005.0,237011477.0,31083283.0,37.0,0.0,419700491,131072,4587520,2818048
142612.0,116335.0,530594561.0,237101135.0,31685645.0,31.0,0.0,419724431,65536,3604480,2228224
142612.0,116335.0,530594561.0,237101135.0,31685645.0,31.0,0.0,419724431,65536,3604480,2228224
135700.0,113427.0,531812999.0,237061077.0,30946556.0,26.0,0.0,419717543,0,3145728,2621440
135700.0,113427.0,531812999.0,237061077.0,30946556.0,26.0,0.0,419717543,0,3145728,2621440
132911.0,116632.0,531121795.0,236949239.0,31105442.0,24.0,0.0,419810545,65536,2686976,3014656
132911.0,116632.0,531121795.0,236949239.0,31105442.0,24.0,0.0,419810545,65536,2686976,3014656
129272.0,113268.0,532146934.0,237034795.0,30971469.0,24.0,0.0,419681675,0,2555904,2359296
129272.0,113268.0,532146934.0,237034795.0,30971469.0,24.0,0.0,419681675,0,2555904,2359296
108219.0,92646.0,535234137.0,237226863.0,30201258.0,15.0,0.0,419630890,0,3211264,2424832
108219.0,92646.0,535234137.0,237226863.0,30201258.0,15.0,0.0,419630890,0,3211264,2424832
71167.0,37368.0,689827455.0,303004589.0,34485064.0,2538.0,0.0,419682431,131072,1245184,983040
71167.0,37368.0,689827455.0,303004589.0,34485064.0,2538.0,0.0,419682431,131072,1245184,983040
61916.0,8096.0,651348384.0,285539546.0,32212970.0,5801.0,0.0,419562175,327680,262144,327680
61916.0,8096.0,651348384.0,285539546.0,32212970.0,5801.0,0.0,419562175,327680,262144,327680
67903.0,3822.0,703740350.0,307669239.0,34299886.0,7618.0,0.0,419712765,196608,196608,327680
67903.0,3822.0,703740350.0,307669239.0,34299886.0,7618.0,0.0,419712765,196608,196608,327680
71624.0,4766.0,687510211.0,303060927.0,34303445.0,11842.0,0.0,419558209,393216,196608,327680
71624.0,4766.0,687510211.0,303060927.0,34303445.0,11842.0,0.0,419558209,393216,196608,327680
85436.0,2890.0,771861422.0,338760897.0,38316996.0,11602.0,0.0,419755525,458752,589824,524288
85436.0,2890.0,771861422.0,338760897.0,38316996.0,11602.0,0.0,419755525,458752,589824,524288
73334.0,2275.0,792111061.0,350366648.0,39755977.0,12780.0,0.0,419653787,458752,131072,262144
73334.0,2275.0,792111061.0,350366648.0,39755977.0,12780.0,0.0,419653787,458752,131072,262144
69107.0,2064.0,812344837.0,357527061.0,40630252.0,12934.0,0.0,419645184,393216,131072,131072
69107.0,2064.0,812344837.0,357527061.0,40630252.0,12934.0,0.0,419645184,393216,131072,131072
59394.0,2329.0,823668861.0,362611325.0,41017667.0,13122.0,0.0,419609029,393216,262144,131072
59394.0,2329.0,823668861.0,362611325.0,41017667.0,13122.0,0.0,419609029,393216,262144,131072
86916.0,2973.0,909309060.0,400530918.0,45028078.0,16358.0,0.0,2249157162,196608,196608,458752
86916.0,2973.0,909309060.0,400530918.0,45028078.0,16358.0,0.0,2249157162,196608,196608,458752
89353.0,4192.0,1140800639.0,501156175.0,56129140.0,13804.0,0.0,419585285,458752,196608,65536
89353.0,4192.0,1140800639.0,501156175.0,56129140.0,13804.0,0.0,419585285,458752,196608,65536
56126.0,1076.0,859562593.0,369010801.0,40833886.0,12951.0,0.0,419596149,524288,65536,131072
56126.0,1076.0,859562593.0,369010801.0,40833886.0,12951.0,0.0,419596149,524288,65536,131072
49663.0,1403.0,911047952.0,393906936.0,43260956.0,14376.0,0.0,419805064,589824,65536,196608
