llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
2917604.0,2149746.0,339750696.0,149048402.0,21897857.0,0.0,0.0,820873705,2097152,413466624,9633792
2917604.0,2149746.0,339750696.0,149048402.0,21897857.0,0.0,0.0,820873705,2097152,413466624,9633792
3955066.0,3081093.0,128440786.0,93951097.0,27890250.0,0.0,0.0,419633424,1507328,576520192,1376256
3955066.0,3081093.0,128440786.0,93951097.0,27890250.0,0.0,0.0,419633424,1507328,576520192,1376256
3648473.0,3987599.0,281442055.0,132855218.0,19429752.0,0.0,0.0,419955627,1769472,650575872,5242880
3648473.0,3987599.0,281442055.0,132855218.0,19429752.0,0.0,0.0,419955627,1769472,650575872,5242880
9391109.0,9242438.0,650471349.0,236318575.0,8580621.0,0.0,0.0,419820569,1310720,844431360,4915200
9391109.0,9242438.0,650471349.0,236318575.0,8580621.0,0.0,0.0,419820569,1310720,844431360,4915200
9179070.0,9238787.0,669457284.0,236504895.0,6789646.0,0.0,0.0,419829830,2359296,802422784,5701632
9179070.0,9238787.0,669457284.0,236504895.0,6789646.0,0.0,0.0,419829830,2359296,802422784,5701632
10609126.0,10405674.0,667703767.0,236171814.0,6312006.0,0.0,0.0,419935026,2883584,894894080,11010048
10609126.0,10405674.0,667703767.0,236171814.0,6312006.0,0.0,0.0,419935026,2883584,894894080,11010048
22735470.0,15778137.0,595788854.0,236186600.0,9567866.0,0.0,0.0,419808246,3014656,1488519168,0
22735470.0,15778137.0,595788854.0,236186600.0,9567866.0,0.0,0.0,419808246,3014656,1488519168,0
23489468.0,16938638.0,667193622.0,235847611.0,32331091.0,0.0,0.0,419832220,2883584,1750663168,5767168
23489468.0,16938638.0,667193622.0,235847611.0,32331091.0,0.0,0.0,419832220,2883584,1750663168,5767168
14008243.0,12686630.0,597587814.0,235993311.0,41748722.0,0.0,0.0,419796617,2359296,1225719808,0
14008243.0,12686630.0,597587814.0,235993311.0,41748722.0,0.0,0.0,419796617,2359296,1225719808,0
12620662.0,11330948.0,540178142.0,236522749.0,48993861.0,0.0,0.0,419818524,2686976,1113325568,4194304
12620662.0,11330948.0,540178142.0,236522749.0,48993861.0,0.0,0.0,419818524,2686976,1113325568,4194304
12564979.0,11336397.0,547562481.0,236498480.0,47557448.0,0.0,0.0,419807968,1900544,1080360960,2162688
12564979.0,11336397.0,547562481.0,236498480.0,47557448.0,0.0,0.0,419807968,1900544,1080360960,2162688
11513052.0,10925836.0,504732251.0,233801797.0,56308967.0,0.0,0.0,419807584,1703936,1137967104,0
11513052.0,10925836.0,504732251.0,233801797.0,56308967.0,0.0,0.0,419807584,1703936,1137967104,0
9156283.0,8832046.0,416550968.0,236405675.0,73297349.0,0.0,0.0,419729665,2097152,866516992,0
9156283.0,8832046.0,416550968.0,236405675.0,73297349.0,0.0,0.0,419729665,2097152,866516992,0
9490016.0,8823045.0,411132521.0,236385899.0,73703369.0,0.0,0.0,419880190,2228224,872153088,7340032
9490016.0,8823045.0,411132521.0,236385899.0,73703369.0,0.0,0.0,419880190,2228224,872153088,7340032
9452493.0,8838733.0,419153588.0,236402091.0,73647054.0,0.0,0.0,419797406,1769472,841285632,0
9452493.0,8838733.0,419153588.0,236402091.0,73647054.0,0.0,0.0,419797406,1769472,841285632,0
9356649.0,8684024.0,429245384.0,236453073.0,70197149.0,0.0,0.0,419809362,2949120,800260096,8126464
9356649.0,8684024.0,429245384.0,236453073.0,70197149.0,0.0,0.0,419809362,2949120,800260096,8126464
10565361.0,10206155.0,435750830.0,235572214.0,68041581.0,0.0,0.0,419921574,3342336,1008664576,5898240
10565361.0,10206155.0,435750830.0,235572214.0,68041581.0,0.0,0.0,419921574,3342336,1008664576,5898240
9947169.0,8793196.0,402353381.0,236315328.0,74138322.0,0.0,0.0,419722462,3604480,809762816,0
9947169.0,8793196.0,402353381.0,236315328.0,74138322.0,0.0,0.0,419722462,3604480,809762816,0
9709566.0,8646391.0,410542435.0,236519975.0,74585473.0,0.0,0.0,419790602,3211264,770179072,1114112
9709566.0,8646391.0,410542435.0,236519975.0,74585473.0,0.0,0.0,419790602,3211264,770179072,1114112
9604680.0,8927401.0,417791652.0,236449138.0,73551510.0,0.0,0.0,419827121,2162688,815005696,0
9604680.0,8927401.0,417791652.0,236449138.0,73551510.0,0.0,0.0,419827121,2162688,815005696,0
11540724.0,10760798.0,426701918.0,235938248.0,70269520.0,0.0,0.0,419811161,2818048,994574336,14811136
11540724.0,10760798.0,426701918.0,235938248.0,70269520.0,0.0,0.0,419811161,2818048,994574336,14811136
14575636.0,12336287.0,509327282.0,235303431.0,47883753.0,0.0,0.0,419875254,655360,1248591872,0
14575636.0,12336287.0,509327282.0,235303431.0,47883753.0,0.0,0.0,419875254,655360,1248591872,0
336843.0,423392.0,704614663.0,236882983.0,964610.0,0.0,0.0,419802902,458752,37027840,2228224
336843.0,423392.0,704614663.0,236882983.0,964610.0,0.0,0.0,419802902,458752,37027840,2228224
338191.0,410116.0,703625428.0,236835782.0,1136884.0,0.0,0.0,419836401,131072,39649280,2228224
338191.0,410116.0,703625428.0,236835782.0,1136884.0,0.0,0.0,419836401,131072,39649280,2228224
344172.0,400977.0,700140356.0,236751864.0,1874633.0,0.0,0.0,419827639,196608,44564480,2031616
344172.0,400977.0,700140356.0,236751864.0,1874633.0,0.0,0.0,419827639,196608,44564480,2031616
344662.0,401788.0,699733300.0,236690424.0,1969416.0,0.0,0.0,419773241,131072,44498944,2752512
344662.0,401788.0,699733300.0,236690424.0,1969416.0,0.0,0.0,419773241,131072,44498944,2752512
314251.0,362618.0,646923923.0,222405852.0,2029830.0,0.0,0.0,419968739,720896,44171264,2686976
314251.0,362618.0,646923923.0,222405852.0,2029830.0,0.0,0.0,419968739,720896,44171264,2686976
319703.0,381797.0,660024763.0,226541648.0,3771209.0,0.0,0.0,419759256,65536,42139648,1638400
319703.0,381797.0,660024763.0,226541648.0,3771209.0,0.0,0.0,419759256,65536,42139648,1638400
320983.0,366060.0,625452895.0,217071026.0,3960246.0,0.0,0.0,419795530,393216,52756480,2752512
320983.0,366060.0,625452895.0,217071026.0,3960246.0,0.0,0.0,419795530,393216,52756480,2752512
323784.0,376465.0,656271977.0,226115153.0,4500211.0,0.0,0.0,419810202,131072,40632320,2097152
323784.0,376465.0,656271977.0,226115153.0,4500211.0,0.0,0.0,419810202,131072,40632320,2097152
2768801.0,3174019.0,290163417.0,163980480.0,43354469.0,0.0,0.0,419766633,1441792,327417856,6684672
2768801.0,3174019.0,290163417.0,163980480.0,43354469.0,0.0,0.0,419766633,1441792,327417856,6684672
8571508.0,7870557.0,193827217.0,155148173.0,56056496.0,0.0,0.0,419851783,1966080,838598656,6946816
8571508.0,7870557.0,193827217.0,155148173.0,56056496.0,0.0,0.0,419851783,1966080,838598656,6946816
8685490.0,8123360.0,517327697.0,219305589.0,30705355.0,0.0,0.0,419808781,2293760,752615424,0
8685490.0,8123360.0,517327697.0,219305589.0,30705355.0,0.0,0.0,419808781,2293760,752615424,0
8232698.0,8252465.0,592062843.0,236495109.0,25864852.0,0.0,0.0,419764513,2162688,714473472,262144
8232698.0,8252465.0,592062843.0,236495109.0,25864852.0,0.0,0.0,419764513,2162688,714473472,262144
8021711.0,8085253.0,614474319.0,236593850.0,21343112.0,0.0,0.0,419853357,3211264,708968448,262144
8021711.0,8085253.0,614474319.0,236593850.0,21343112.0,0.0,0.0,419853357,3211264,708968448,262144
10416000.0,9939166.0,575349300.0,236382052.0,27595844.0,0.0,0.0,419770652,2883584,809369600,8126464
10416000.0,9939166.0,575349300.0,236382052.0,27595844.0,0.0,0.0,419770652,2883584,809369600,8126464
15908706.0,14080771.0,473430899.0,236117405.0,46465043.0,0.0,0.0,419700770,2883584,1174798336,0
15908706.0,14080771.0,473430899.0,236117405.0,46465043.0,0.0,0.0,419700770,2883584,1174798336,0
20780684.0,15330161.0,553550547.0,236254235.0,46557449.0,0.0,0.0,419862052,3604480,1395851264,11993088
20780684.0,15330161.0,553550547.0,236254235.0,46557449.0,0.0,0.0,419862052,3604480,1395851264,11993088
13102470.0,12402714.0,558257578.0,235718033.0,51038242.0,0.0,0.0,419932912,2686976,1241841664,0
13102470.0,12402714.0,558257578.0,235718033.0,51038242.0,0.0,0.0,419932912,2686976,1241841664,0
11196989.0,10300310.0,506661851.0,236501652.0,56589383.0,0.0,0.0,419839245,2555904,957874176,5111808
11196989.0,10300310.0,506661851.0,236501652.0,56589383.0,0.0,0.0,419839245,2555904,957874176,5111808
11103164.0,10504736.0,487292861.0,236462806.0,61308624.0,0.0,0.0,419782167,1310720,1014562816,0
11103164.0,10504736.0,487292861.0,236462806.0,61308624.0,0.0,0.0,419782167,1310720,1014562816,0
10985872.0,10390809.0,488543260.0,236418715.0,62189011.0,0.0,0.0,419700635,1966080,997851136,5439488
10985872.0,10390809.0,488543260.0,236418715.0,62189011.0,0.0,0.0,419700635,1966080,997851136,5439488
10042171.0,9933134.0,448133443.0,235589671.0,64009495.0,0.0,0.0,419933146,1769472,1066467328,524288
10042171.0,9933134.0,448133443.0,235589671.0,64009495.0,0.0,0.0,419933146,1769472,1066467328,524288
9537172.0,8612819.0,420245684.0,236488765.0,73860955.0,0.0,0.0,419775783,2818048,812056576,3145728
9537172.0,8612819.0,420245684.0,236488765.0,73860955.0,0.0,0.0,419775783,2818048,812056576,3145728
8654566.0,7798794.0,402329656.0,221066324.0,63024504.0,0.0,0.0,419868540,2752512,773193728,0
8654566.0,7798794.0,402329656.0,221066324.0,63024504.0,0.0,0.0,419868540,2752512,773193728,0
9301601.0,8309681.0,417771789.0,232450135.0,64451814.0,0.0,0.0,419870151,3538944,730791936,6356992
9301601.0,8309681.0,417771789.0,232450135.0,64451814.0,0.0,0.0,419870151,3538944,730791936,6356992
9612039.0,8467919.0,413460473.0,227111592.0,59160466.0,0.0,0.0,419828289,3473408,921763840,6488064
9612039.0,8467919.0,413460473.0,227111592.0,59160466.0,0.0,0.0,419828289,3473408,921763840,6488064
9393777.0,8982000.0,390757980.0,230869715.0,75959537.0,0.0,0.0,419889708,2359296,861863936,0
9393777.0,8982000.0,390757980.0,230869715.0,75959537.0,0.0,0.0,419889708,2359296,861863936,0
9494405.0,9070219.0,393514850.0,236001369.0,79006918.0,0.0,0.0,419761065,2162688,883752960,4456448
9494405.0,9070219.0,393514850.0,236001369.0,79006918.0,0.0,0.0,419761065,2162688,883752960,4456448
9606582.0,9051136.0,388259644.0,236101850.0,78929116.0,0.0,0.0,419800599,2424832,851378176,0
9606582.0,9051136.0,388259644.0,236101850.0,78929116.0,0.0,0.0,419800599,2424832,851378176,0
9429665.0,8882699.0,392019083.0,236024525.0,77503196.0,0.0,0.0,419823360,1769472,841678848,5177344
9429665.0,8882699.0,392019083.0,236024525.0,77503196.0,0.0,0.0,419823360,1769472,841678848,5177344
12793518.0,11481632.0,433672423.0,235845423.0,69411449.0,0.0,0.0,419818155,2293760,1079115776,6684672
12793518.0,11481632.0,433672423.0,235845423.0,69411449.0,0.0,0.0,419818155,2293760,1079115776,6684672
15599705.0,13933902.0,413024526.0,224223785.0,65037829.0,0.0,0.0,419819747,2490368,1473904640,2097152
15599705.0,13933902.0,413024526.0,224223785.0,65037829.0,0.0,0.0,419819747,2490368,1473904640,2097152
