llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
16248544.0,10910219.0,2503544655.0,2259820474.0,1172942650.0,40549.0,0.0,840173476,38928384,1909784576,0
16248544.0,10910219.0,2503544655.0,2259820474.0,1172942650.0,40549.0,0.0,840173476,38928384,1909784576,0
32001041.0,8969240.0,2794115092.0,2309687342.0,1071083733.0,10712.0,0.0,420554775,40239104,800653312,1966080
32001041.0,8969240.0,2794115092.0,2309687342.0,1071083733.0,10712.0,0.0,420554775,40239104,800653312,1966080
57133625.0,13786004.0,2248561886.0,2638693209.0,1361750124.0,4004.0,0.0,419507686,40960000,953810944,4849664
57133625.0,13786004.0,2248561886.0,2638693209.0,1361750124.0,4004.0,0.0,419507686,40960000,953810944,4849664
56218689.0,22481393.0,2287622190.0,3277414062.0,1924118962.0,2950.0,0.0,420610568,41025536,1755185152,14417920
56218689.0,22481393.0,2287622190.0,3277414062.0,1924118962.0,2950.0,0.0,420610568,41025536,1755185152,14417920
68345358.0,17691110.0,2912958506.0,3295197906.0,1645739478.0,5659.0,0.0,419847659,41156608,1161428992,0
68345358.0,17691110.0,2912958506.0,3295197906.0,1645739478.0,5659.0,0.0,419847659,41156608,1161428992,0
72158304.0,14642109.0,3355886592.0,3279799613.0,1427792830.0,4757.0,1.0,419921509,40632320,873070592,0
72158304.0,14642109.0,3355886592.0,3279799613.0,1427792830.0,4757.0,1.0,419921509,40632320,873070592,0
67130314.0,17710060.0,2958301638.0,3198141736.0,1526474194.0,5092.0,0.0,420388024,41156608,1131413504,5111808
67130314.0,17710060.0,2958301638.0,3198141736.0,1526474194.0,5092.0,0.0,420388024,41156608,1131413504,5111808
70480241.0,18494177.0,2751725827.0,3214087331.0,1619198026.0,5755.0,0.0,419179138,39321600,1273102336,0
70480241.0,18494177.0,2751725827.0,3214087331.0,1619198026.0,5755.0,0.0,419179138,39321600,1273102336,0
67249524.0,17336389.0,2650292079.0,3053148666.0,1552088910.0,3764.0,3.0,420410550,41353216,1474494464,19660800
67249524.0,17336389.0,2650292079.0,3053148666.0,1552088910.0,3764.0,3.0,420410550,41353216,1474494464,19660800
58883776.0,20318669.0,2186941503.0,2798547256.0,1540222533.0,2765.0,4.0,420111461,40501248,1531183104,0
58883776.0,20318669.0,2186941503.0,2798547256.0,1540222533.0,2765.0,4.0,420111461,40501248,1531183104,0
54481942.0,13512136.0,2031461618.0,2316069708.0,1173439126.0,2806.0,0.0,420110103,39190528,900268032,17170432
54481942.0,13512136.0,2031461618.0,2316069708.0,1173439126.0,2806.0,0.0,420110103,39190528,900268032,17170432
64758933.0,17032269.0,2516685237.0,2907377967.0,1479046678.0,3715.0,1.0,419876114,41222144,1229062144,16842752
64758933.0,17032269.0,2516685237.0,2907377967.0,1479046678.0,3715.0,1.0,419876114,41222144,1229062144,16842752
69384172.0,20401240.0,2741320874.0,3229666073.0,1650635082.0,5212.0,0.0,419654466,41353216,1474428928,4456448
69384172.0,20401240.0,2741320874.0,3229666073.0,1650635082.0,5212.0,0.0,419654466,41353216,1474428928,4456448
70814379.0,17928711.0,2921779730.0,3298175042.0,1659642655.0,5243.0,0.0,420026012,39190528,1452277760,0
70814379.0,17928711.0,2921779730.0,3298175042.0,1659642655.0,5243.0,0.0,420026012,39190528,1452277760,0
59907030.0,13563424.0,2656795450.0,2712277731.0,1209550037.0,2721.0,0.0,420054223,40239104,895025152,0
59907030.0,13563424.0,2656795450.0,2712277731.0,1209550037.0,2721.0,0.0,420054223,40239104,895025152,0
45441523.0,5270641.0,1963788521.0,1813333924.0,727592399.0,583.0,0.0,420058274,39452672,259719168,0
45441523.0,5270641.0,1963788521.0,1813333924.0,727592399.0,583.0,0.0,420058274,39452672,259719168,0
49147333.0,6652307.0,2207054146.0,2024772044.0,814367666.0,913.0,0.0,420310919,37421056,252772352,2818048
49147333.0,6652307.0,2207054146.0,2024772044.0,814367666.0,913.0,0.0,420310919,37421056,252772352,2818048
41007745.0,5184716.0,1906906851.0,1654358112.0,617124181.0,469.0,0.0,419395018,39124992,173211648,0
41007745.0,5184716.0,1906906851.0,1654358112.0,617124181.0,469.0,0.0,419395018,39124992,173211648,0
31683959.0,3446336.0,1449405335.0,1266902266.0,469436780.0,104.0,0.0,419414247,39190528,86966272,589824
31683959.0,3446336.0,1449405335.0,1266902266.0,469436780.0,104.0,0.0,419414247,39190528,86966272,589824
39391674.0,5980572.0,1664962460.0,1606133032.0,674845417.0,297.0,0.0,420300839,38731776,265486336,2424832
39391674.0,5980572.0,1664962460.0,1606133032.0,674845417.0,297.0,0.0,420300839,38731776,265486336,2424832
56524039.0,8938234.0,2664797604.0,2522936491.0,1072369566.0,1831.0,0.0,420274890,40697856,517537792,8978432
56524039.0,8938234.0,2664797604.0,2522936491.0,1072369566.0,1831.0,0.0,420274890,40697856,517537792,8978432
66397608.0,11069281.0,3030019688.0,2817159425.0,1159667989.0,2302.0,1.0,419443787,40239104,605421568,0
66397608.0,11069281.0,3030019688.0,2817159425.0,1159667989.0,2302.0,1.0,419443787,40239104,605421568,0
44147218.0,8380919.0,1731825351.0,1805209829.0,835518094.0,1040.0,0.0,420333270,37421056,482672640,1245184
44147218.0,8380919.0,1731825351.0,1805209829.0,835518094.0,1040.0,0.0,420333270,37421056,482672640,1245184
50604656.0,11478444.0,2022059366.0,2271882751.0,1102431305.0,2013.0,0.0,419680534,41287680,705167360,8781824
50604656.0,11478444.0,2022059366.0,2271882751.0,1102431305.0,2013.0,0.0,419680534,41287680,705167360,8781824
63639926.0,18023162.0,2723544275.0,3093553185.0,1538141199.0,4603.0,0.0,420254765,41418752,1228472320,18284544
63639926.0,18023162.0,2723544275.0,3093553185.0,1538141199.0,4603.0,0.0,420254765,41418752,1228472320,18284544
62875113.0,20319286.0,2742900295.0,3306906044.0,1741559779.0,3831.0,0.0,419403145,39780352,1476001792,0
62875113.0,20319286.0,2742900295.0,3306906044.0,1741559779.0,3831.0,0.0,419403145,39780352,1476001792,0
71137200.0,15579085.0,3127684095.0,3299749223.0,1538078775.0,5527.0,1.0,419747727,41746432,933560320,4063232
71137200.0,15579085.0,3127684095.0,3299749223.0,1538078775.0,5527.0,1.0,419747727,41746432,933560320,4063232
72061130.0,12654805.0,3346529846.0,3190965571.0,1361154194.0,3954.0,0.0,420111405,41680896,765657088,10158080
72061130.0,12654805.0,3346529846.0,3190965571.0,1361154194.0,3954.0,0.0,420111405,41680896,765657088,10158080
62042107.0,16134804.0,2696844978.0,3029583449.0,1498513698.0,2886.0,1.0,420479871,41549824,1116078080,0
62042107.0,16134804.0,2696844978.0,3029583449.0,1498513698.0,2886.0,1.0,420479871,41549824,1116078080,0
68267914.0,16808759.0,3010872444.0,3233402827.0,1522545767.0,4367.0,1.0,419872127,41680896,1029570560,7208960
68267914.0,16808759.0,3010872444.0,3233402827.0,1522545767.0,4367.0,1.0,419872127,41680896,1029570560,7208960
66537171.0,17527723.0,2810061760.0,3254426940.0,1653439193.0,4948.0,0.0,419549666,41680896,1227161600,7536640
66537171.0,17527723.0,2810061760.0,3254426940.0,1653439193.0,4948.0,0.0,419549666,41680896,1227161600,7536640
72845489.0,14561581.0,3275989619.0,3303653101.0,1464312141.0,3913.0,0.0,419995226,41549824,834207744,2883584
72845489.0,14561581.0,3275989619.0,3303653101.0,1464312141.0,3913.0,0.0,419995226,41549824,834207744,2883584
68792892.0,16523799.0,3041535469.0,3227526008.0,1521879451.0,3869.0,1.0,420309505,41549824,1108672512,2162688
68792892.0,16523799.0,3041535469.0,3227526008.0,1521879451.0,3869.0,1.0,420309505,41549824,1108672512,2162688
64011213.0,12112783.0,2930555258.0,2850640862.0,1210171147.0,3489.0,0.0,420086659,41418752,722796544,3473408
64011213.0,12112783.0,2930555258.0,2850640862.0,1210171147.0,3489.0,0.0,420086659,41418752,722796544,3473408
61986650.0,8772385.0,2743370623.0,2587313633.0,1065545767.0,2365.0,0.0,420031515,41615360,411303936,983040
61986650.0,8772385.0,2743370623.0,2587313633.0,1065545767.0,2365.0,0.0,420031515,41615360,411303936,983040
54853221.0,8288368.0,2539254065.0,2365115758.0,961667900.0,1458.0,0.0,418979841,39190528,336265216,2949120
