category,ntail-sphinx,bfs
runtime,29.383795022964478,50.43250918388367
llc_references,251800162.06349206,5589362.047413793
llc_misses,53851922.5,3860443.987068966
instructions,10994853743.333332,4112933477.4568963
cycles,11462298388.174603,1734622178.7931035
stall_cycles,5299987446.746032,308771587.737069
intra_coh,10669.20634920635,32874.39655172414
inter_coh,1.1507936507936507,4.827586206896552
wall_cycles,2116465808.7698412,2106697641.400862
llc_size,190720162.53968254,38645053.79310345
local_mem,2128367420.952381,377460524.137931
remote_mem,6387159.365079365,2822002.7586206896
