category,ntail-sphinx,canneal
runtime,29.673977613449097,81.32371306419373
llc_references,256548898.9919355,10709436.691729324
llc_misses,54908526.048387095,6470445.576441103
instructions,11090680441.209677,572159942.9197994
cycles,11592604941.41129,1609695461.6290727
stall_cycles,5379625826.57258,1281647659.6867168
intra_coh,12564.879032258064,30762.619047619046
inter_coh,1.6129032258064515,0.05012531328320802
wall_cycles,2117749820.564516,2103518205.5012531
llc_size,184988572.90322578,55801686.616541356
local_mem,1923164490.3225806,550906456.5413533
remote_mem,5044686.451612903,7164612.330827069
