category,ntail-sphinx,facesim
runtime,29.769856929779053,46.614691495895386
llc_references,250128101.4453125,23126268.981481485
llc_misses,54215047.421875,15952501.597222222
instructions,10900281955.46875,3371878930.9027777
cycles,11345192438.164062,1444290078.6342595
stall_cycles,5222782938.984375,299364104.7685185
intra_coh,13220.390625,144668.91203703705
inter_coh,1.4453125,0.37037037037037035
wall_cycles,2116285394.1015625,2108511413.587963
llc_size,185418240.0,42489173.33333333
local_mem,2622241280.0,1462358471.1111112
remote_mem,15232000.0,9701451.85185185
