category,ntail-sphinx,swaptions
runtime,32.87462854385376,59.85985207557678
llc_references,260846089.43661973,4113998.4132841327
llc_misses,49878076.302816905,156680.62730627306
instructions,11321068289.894367,25696063124.31734
cycles,12267580616.514084,11266006154.797049
stall_cycles,5890994443.239436,1284141219.6125462
intra_coh,9237.535211267606,2141053.6162361624
inter_coh,4.894366197183099,0.23985239852398527
wall_cycles,2116417949.3661973,2196542305.369004
llc_size,204652313.23943663,5870429.520295203
local_mem,1637980015.774648,8390300.811808119
remote_mem,5951314.929577465,5848664.797047971
