llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
17845576.0,12146177.0,2485425450.0,2287235916.0,1195686786.0,30018.0,0.0,849574460,40239104,1209729024,9830400
17845576.0,12146177.0,2485425450.0,2287235916.0,1195686786.0,30018.0,0.0,849574460,40239104,1209729024,9830400
34394709.0,8167031.0,2910981797.0,2349790199.0,1049809579.0,5364.0,1.0,420104622,40894464,718012416,1638400
34394709.0,8167031.0,2910981797.0,2349790199.0,1049809579.0,5364.0,1.0,420104622,40894464,718012416,1638400
56874821.0,14198562.0,2246484147.0,2665347430.0,1377450501.0,2752.0,0.0,420098696,40894464,1021313024,14548992
56874821.0,14198562.0,2246484147.0,2665347430.0,1377450501.0,2752.0,0.0,420098696,40894464,1021313024,14548992
56220030.0,23093081.0,2273417886.0,3291822185.0,1943665330.0,3490.0,0.0,419739867,41549824,1925971968,2818048
56220030.0,23093081.0,2273417886.0,3291822185.0,1943665330.0,3490.0,0.0,419739867,41549824,1925971968,2818048
70288599.0,17912991.0,3013702325.0,3278367959.0,1585004054.0,5457.0,0.0,420168976,40763392,1476067328,0
70288599.0,17912991.0,3013702325.0,3278367959.0,1585004054.0,5457.0,0.0,420168976,40763392,1476067328,0
70834568.0,15103538.0,3324401566.0,3292982772.0,1452195006.0,4574.0,0.0,419447462,40632320,1027276800,9961472
70834568.0,15103538.0,3324401566.0,3292982772.0,1452195006.0,4574.0,0.0,419447462,40632320,1027276800,9961472
65706809.0,17102885.0,2978122686.0,3175810030.0,1501220471.0,3703.0,1.0,419918429,40566784,1195114496,0
65706809.0,17102885.0,2978122686.0,3175810030.0,1501220471.0,3703.0,1.0,419918429,40566784,1195114496,0
70274463.0,17009386.0,2862732005.0,3171208089.0,1557262938.0,5820.0,0.0,420454429,40239104,1219166208,7798784
70274463.0,17009386.0,2862732005.0,3171208089.0,1557262938.0,5820.0,0.0,420454429,40239104,1219166208,7798784
63465914.0,14849749.0,2686098552.0,2929222987.0,1410409773.0,3133.0,3.0,419968966,40697856,1170866176,1376256
63465914.0,14849749.0,2686098552.0,2929222987.0,1410409773.0,3133.0,3.0,419968966,40697856,1170866176,1376256
50958788.0,15675142.0,1929637429.0,2451859641.0,1355061542.0,2532.0,0.0,419923021,40435712,1291649024,0
50958788.0,15675142.0,1929637429.0,2451859641.0,1355061542.0,2532.0,0.0,419923021,40435712,1291649024,0
53230970.0,13626270.0,2067771708.0,2390328394.0,1201070979.0,2691.0,0.0,420087064,40370176,926482432,0
53230970.0,13626270.0,2067771708.0,2390328394.0,1201070979.0,2691.0,0.0,420087064,40370176,926482432,0
63032430.0,16171340.0,2586873798.0,2910846926.0,1425092309.0,4007.0,0.0,419925932,40828928,1163329536,7864320
63032430.0,16171340.0,2586873798.0,2910846926.0,1425092309.0,4007.0,0.0,419925932,40828928,1163329536,7864320
62474301.0,21670363.0,2453164361.0,3203683663.0,1782961266.0,5444.0,1.0,419933461,41091072,1619066880,10878976
62474301.0,21670363.0,2453164361.0,3203683663.0,1782961266.0,5444.0,1.0,419933461,41091072,1619066880,10878976
66874945.0,17667634.0,2867913670.0,3241261116.0,1592496828.0,5310.0,0.0,420070840,40435712,1162674176,0
66874945.0,17667634.0,2867913670.0,3241261116.0,1592496828.0,5310.0,0.0,420070840,40435712,1162674176,0
62832941.0,13510351.0,2866534911.0,2880654854.0,1270112881.0,3825.0,0.0,419601378,39780352,847577088,2818048
62832941.0,13510351.0,2866534911.0,2880654854.0,1270112881.0,3825.0,0.0,419601378,39780352,847577088,2818048
50930697.0,7126934.0,2172937451.0,2078780469.0,839483294.0,1147.0,0.0,419944706,39583744,283443200,0
50930697.0,7126934.0,2172937451.0,2078780469.0,839483294.0,1147.0,0.0,419944706,39583744,283443200,0
51325237.0,5899162.0,2380467569.0,2065171437.0,751779018.0,647.0,1.0,419679478,39124992,180092928,720896
51325237.0,5899162.0,2380467569.0,2065171437.0,751779018.0,647.0,1.0,419679478,39124992,180092928,720896
38828700.0,4543056.0,1777006323.0,1514411754.0,537069803.0,505.0,0.0,419583262,38273024,124780544,131072
38828700.0,4543056.0,1777006323.0,1514411754.0,537069803.0,505.0,0.0,419583262,38273024,124780544,131072
32846933.0,3633223.0,1554809601.0,1315931894.0,462709227.0,86.0,0.0,420068726,39190528,71761920,983040
32846933.0,3633223.0,1554809601.0,1315931894.0,462709227.0,86.0,0.0,420068726,39190528,71761920,983040
41405818.0,5256767.0,1797256345.0,1632420058.0,635318395.0,543.0,0.0,421351812,38600704,181403648,917504
41405818.0,5256767.0,1797256345.0,1632420058.0,635318395.0,543.0,0.0,421351812,38600704,181403648,917504
57420480.0,7855767.0,2795891947.0,2489637228.0,965049472.0,1292.0,0.0,419270258,39714816,344653824,6684672
57420480.0,7855767.0,2795891947.0,2489637228.0,965049472.0,1292.0,0.0,419270258,39714816,344653824,6684672
63965481.0,10677497.0,2965894657.0,2760141025.0,1150589281.0,2737.0,0.0,420870855,38928384,689897472,0
63965481.0,10677497.0,2965894657.0,2760141025.0,1150589281.0,2737.0,0.0,420870855,38928384,689897472,0
44170654.0,7260309.0,1738742159.0,1757843846.0,785060886.0,619.0,0.0,418822852,39321600,441057280,3538944
44170654.0,7260309.0,1738742159.0,1757843846.0,785060886.0,619.0,0.0,418822852,39321600,441057280,3538944
53176718.0,12245693.0,2111744871.0,2318112642.0,1102697879.0,2022.0,0.0,419629770,39780352,916127744,8192000
53176718.0,12245693.0,2111744871.0,2318112642.0,1102697879.0,2022.0,0.0,419629770,39780352,916127744,8192000
62510581.0,19166387.0,2602521729.0,3118370097.0,1612504287.0,4308.0,0.0,419298308,40173568,1465909248,2949120
62510581.0,19166387.0,2602521729.0,3118370097.0,1612504287.0,4308.0,0.0,419298308,40173568,1465909248,2949120
68727618.0,17565198.0,3115593376.0,3307415007.0,1580245534.0,5644.0,1.0,420097431,39845888,1214775296,5505024
68727618.0,17565198.0,3115593376.0,3307415007.0,1580245534.0,5644.0,1.0,420097431,39845888,1214775296,5505024
72009955.0,16457372.0,3130851373.0,3296059584.0,1526278922.0,5166.0,0.0,420048790,39452672,1181876224,1179648
72009955.0,16457372.0,3130851373.0,3296059584.0,1526278922.0,5166.0,0.0,420048790,39452672,1181876224,1179648
70964907.0,13191221.0,3207276907.0,3195316238.0,1406211677.0,3697.0,1.0,419666597,39845888,842596352,9240576
70964907.0,13191221.0,3207276907.0,3195316238.0,1406211677.0,3697.0,1.0,419666597,39845888,842596352,9240576
60899259.0,17184457.0,2637243006.0,2975746514.0,1455332895.0,3564.0,0.0,419928810,39387136,1201078272,0
60899259.0,17184457.0,2637243006.0,2975746514.0,1455332895.0,3564.0,0.0,419928810,39387136,1201078272,0
60892894.0,19971981.0,2381568172.0,3068215874.0,1687431136.0,4266.0,0.0,420124908,39649280,1579483136,15138816
60892894.0,19971981.0,2381568172.0,3068215874.0,1687431136.0,4266.0,0.0,420124908,39649280,1579483136,15138816
67366129.0,21483582.0,2616076856.0,3281770015.0,1777038737.0,4262.0,0.0,420008134,39518208,1549991936,4718592
67366129.0,21483582.0,2616076856.0,3281770015.0,1777038737.0,4262.0,0.0,420008134,39518208,1549991936,4718592
68826201.0,17257634.0,3082933793.0,3289404845.0,1565764498.0,5935.0,1.0,420213507,35454976,1190133760,0
68826201.0,17257634.0,3082933793.0,3289404845.0,1565764498.0,5935.0,1.0,420213507,35454976,1190133760,0
67317603.0,18676554.0,3031278810.0,3298063222.0,1594049384.0,5939.0,0.0,419917218,35454976,1389297664,7667712
67317603.0,18676554.0,3031278810.0,3298063222.0,1594049384.0,5939.0,0.0,419917218,35454976,1389297664,7667712
64582184.0,14655187.0,2776037925.0,2919054961.0,1368061940.0,4862.0,0.0,419895203,35258368,987430912,1048576
64582184.0,14655187.0,2776037925.0,2919054961.0,1368061940.0,4862.0,0.0,419895203,35258368,987430912,1048576
62520333.0,14561668.0,2856839845.0,2942863065.0,1365427626.0,4338.0,1.0,419978965,35586048,1111293952,4587520
62520333.0,14561668.0,2856839845.0,2942863065.0,1365427626.0,4338.0,1.0,419978965,35586048,1111293952,4587520
56368023.0,9500378.0,2433645996.0,2334886885.0,981827320.0,2972.0,0.0,419735540,35586048,552075264,4390912
56368023.0,9500378.0,2433645996.0,2334886885.0,981827320.0,2972.0,0.0,419735540,35586048,552075264,4390912
47328308.0,8879835.0,2104089125.0,2094960519.0,912751558.0,2174.0,1.0,419967639,35258368,490078208,0
47328308.0,8879835.0,2104089125.0,2094960519.0,912751558.0,2174.0,1.0,419967639,35258368,490078208,0
48962391.0,6070294.0,2445869261.0,2158549479.0,839339433.0,1477.0,1.0,419908146,35586048,216465408,458752
48962391.0,6070294.0,2445869261.0,2158549479.0,839339433.0,1477.0,1.0,419908146,35586048,216465408,458752
36182364.0,5605707.0,1720615413.0,1547605252.0,601424669.0,487.0,0.0,420611849,35520512,194641920,3211264
36182364.0,5605707.0,1720615413.0,1547605252.0,601424669.0,487.0,0.0,420611849,35520512,194641920,3211264
40836962.0,11091732.0,1514089469.0,1844658868.0,961866619.0,1547.0,0.0,419385603,35586048,835780608,10813440
40836962.0,11091732.0,1514089469.0,1844658868.0,961866619.0,1547.0,0.0,419385603,35586048,835780608,10813440
