llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
15874450.0,9105183.0,2631779572.0,2243507667.0,1129640068.0,29281.0,0.0,856349283,38666240,1835204608,0
15874450.0,9105183.0,2631779572.0,2243507667.0,1129640068.0,29281.0,0.0,856349283,38666240,1835204608,0
32933888.0,8734869.0,2697224652.0,2272517286.0,1049863600.0,9387.0,0.0,419805253,39780352,351535104,1114112
32933888.0,8734869.0,2697224652.0,2272517286.0,1049863600.0,9387.0,0.0,419805253,39780352,351535104,1114112
54632720.0,14588990.0,2193489677.0,2680584728.0,1405603354.0,2516.0,0.0,419811980,39780352,433586176,3276800
54632720.0,14588990.0,2193489677.0,2680584728.0,1405603354.0,2516.0,0.0,419811980,39780352,433586176,3276800
53807419.0,22370965.0,2160903864.0,3260690803.0,1983291102.0,2850.0,0.0,420842338,40173568,968359936,5308416
53807419.0,22370965.0,2160903864.0,3260690803.0,1983291102.0,2850.0,0.0,420842338,40173568,968359936,5308416
68610757.0,19553824.0,2829066709.0,3288362136.0,1664019497.0,4779.0,0.0,419440196,40566784,690225152,0
68610757.0,19553824.0,2829066709.0,3288362136.0,1664019497.0,4779.0,0.0,419440196,40566784,690225152,0
68290177.0,17021145.0,3110525655.0,3230101462.0,1485361301.0,4949.0,0.0,419788341,30867456,608567296,0
68290177.0,17021145.0,3110525655.0,3230101462.0,1485361301.0,4949.0,0.0,419788341,30867456,608567296,0
68261028.0,16317874.0,3081846268.0,3218495589.0,1517058602.0,4338.0,1.0,419965661,39387136,635961344,4128768
68261028.0,16317874.0,3081846268.0,3218495589.0,1517058602.0,4338.0,1.0,419965661,39387136,635961344,4128768
68201793.0,18966337.0,2705276811.0,3216478319.0,1643987384.0,5067.0,0.0,420013885,40239104,762183680,0
68201793.0,18966337.0,2705276811.0,3216478319.0,1643987384.0,5067.0,0.0,420013885,40239104,762183680,0
66250380.0,18507158.0,2684318113.0,3101449629.0,1574689420.0,3651.0,0.0,420676298,40632320,691404800,196608
66250380.0,18507158.0,2684318113.0,3101449629.0,1574689420.0,3651.0,0.0,420676298,40632320,691404800,196608
52511216.0,15342736.0,2064202387.0,2559481390.0,1377290057.0,1914.0,0.0,420324807,40566784,673841152,786432
52511216.0,15342736.0,2064202387.0,2559481390.0,1377290057.0,1914.0,0.0,420324807,40566784,673841152,786432
48151140.0,14494560.0,1776309786.0,2268404008.0,1199817309.0,1504.0,0.0,419412840,40435712,562626560,0
48151140.0,14494560.0,1776309786.0,2268404008.0,1199817309.0,1504.0,0.0,419412840,40435712,562626560,0
63247541.0,14832211.0,2661624524.0,2895890260.0,1390631016.0,3531.0,0.0,419995562,40435712,522256384,10878976
63247541.0,14832211.0,2661624524.0,2895890260.0,1390631016.0,3531.0,0.0,419995562,40435712,522256384,10878976
63337106.0,20771292.0,2534389965.0,3209910852.0,1738641310.0,5090.0,0.0,420042336,35782656,899088384,0
63337106.0,20771292.0,2534389965.0,3209910852.0,1738641310.0,5090.0,0.0,420042336,35782656,899088384,0
58529615.0,21176763.0,2444232293.0,3229653207.0,1789782842.0,4488.0,0.0,419495923,37158912,978976768,4849664
58529615.0,21176763.0,2444232293.0,3229653207.0,1789782842.0,4488.0,0.0,419495923,37158912,978976768,4849664
69573640.0,14597052.0,3280676806.0,3262238682.0,1446932431.0,3991.0,0.0,419854584,39452672,533725184,0
69573640.0,14597052.0,3280676806.0,3262238682.0,1446932431.0,3991.0,0.0,419854584,39452672,533725184,0
40779343.0,6128479.0,1842274761.0,1766609597.0,728881956.0,467.0,0.0,420115078,38600704,180682752,0
40779343.0,6128479.0,1842274761.0,1766609597.0,728881956.0,467.0,0.0,420115078,38600704,180682752,0
48694081.0,8152467.0,2186152787.0,2061879404.0,828077882.0,1030.0,0.0,419677818,39321600,201326592,0
