llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
7894979.0,2537481.0,780556019.0,516857552.0,150307897.0,10678.0,13.0,876467957,5046272,12058624,851968
7894979.0,2537481.0,780556019.0,516857552.0,150307897.0,10678.0,13.0,876467957,5046272,12058624,851968
7853744.0,2384098.0,819430005.0,533816042.0,153642872.0,9347.0,13.0,419496483,5111808,3866624,393216
7853744.0,2384098.0,819430005.0,533816042.0,153642872.0,9347.0,13.0,419496483,5111808,3866624,393216
6703941.0,2059940.0,815885491.0,527600069.0,152057207.0,7519.0,62.0,419862436,7798784,4653056,196608
6703941.0,2059940.0,815885491.0,527600069.0,152057207.0,7519.0,62.0,419862436,7798784,4653056,196608
6585124.0,2112025.0,692490459.0,459159426.0,138826914.0,9260.0,63.0,419930756,10420224,5439488,196608
6585124.0,2112025.0,692490459.0,459159426.0,138826914.0,9260.0,63.0,419930756,10420224,5439488,196608
7002957.0,2150078.0,781032226.0,511896370.0,152803702.0,6993.0,35.0,419912176,13303808,5832704,131072
7002957.0,2150078.0,781032226.0,511896370.0,152803702.0,6993.0,35.0,419912176,13303808,5832704,131072
6894077.0,2270594.0,692130194.0,467201005.0,141620764.0,9278.0,34.0,419751313,15859712,6553600,262144
6894077.0,2270594.0,692130194.0,467201005.0,141620764.0,9278.0,34.0,419751313,15859712,6553600,262144
6667563.0,2172676.0,684160584.0,460680305.0,139915924.0,10894.0,38.0,419904185,17039360,4325376,262144
6667563.0,2172676.0,684160584.0,460680305.0,139915924.0,10894.0,38.0,419904185,17039360,4325376,262144
6734682.0,2175262.0,674417220.0,454908654.0,139427529.0,9423.0,18.0,419963886,17629184,3801088,131072
6734682.0,2175262.0,674417220.0,454908654.0,139427529.0,9423.0,18.0,419963886,17629184,3801088,131072
7316583.0,2284563.0,828739165.0,543045782.0,160112581.0,9451.0,28.0,419774313,18022400,3604480,262144
7316583.0,2284563.0,828739165.0,543045782.0,160112581.0,9451.0,28.0,419774313,18022400,3604480,262144
6345018.0,2030637.0,728428519.0,472572507.0,136948596.0,6786.0,22.0,419904835,16777216,4128768,196608
6345018.0,2030637.0,728428519.0,472572507.0,136948596.0,6786.0,22.0,419904835,16777216,4128768,196608
7402078.0,2268945.0,808566019.0,534318913.0,157910100.0,8731.0,27.0,419882687,16646144,5505024,458752
7402078.0,2268945.0,808566019.0,534318913.0,157910100.0,8731.0,27.0,419882687,16646144,5505024,458752
6951536.0,2267519.0,690173483.0,464301997.0,139611864.0,11096.0,51.0,419861281,17498112,5242880,0
6951536.0,2267519.0,690173483.0,464301997.0,139611864.0,11096.0,51.0,419861281,17498112,5242880,0
6445514.0,2013823.0,775263272.0,504995186.0,149068606.0,9288.0,24.0,420025052,17760256,4849664,131072
6445514.0,2013823.0,775263272.0,504995186.0,149068606.0,9288.0,24.0,420025052,17760256,4849664,131072
7832266.0,2329885.0,827715777.0,549672750.0,164050524.0,10360.0,14.0,420029891,13565952,6356992,655360
7832266.0,2329885.0,827715777.0,549672750.0,164050524.0,10360.0,14.0,420029891,13565952,6356992,655360
7527344.0,2418865.0,849139155.0,551956134.0,156651428.0,10497.0,18.0,419822424,6553600,6553600,65536
7527344.0,2418865.0,849139155.0,551956134.0,156651428.0,10497.0,18.0,419822424,6553600,6553600,65536
7221566.0,2282018.0,857268580.0,549826164.0,154385100.0,9990.0,20.0,419835976,7143424,7012352,524288
7221566.0,2282018.0,857268580.0,549826164.0,154385100.0,9990.0,20.0,419835976,7143424,7012352,524288
6925132.0,2106528.0,807981889.0,524221056.0,149354089.0,7023.0,20.0,419993574,7405568,5046272,524288
6925132.0,2106528.0,807981889.0,524221056.0,149354089.0,7023.0,20.0,419993574,7405568,5046272,524288
6831074.0,2302524.0,757019229.0,495571237.0,141817100.0,9005.0,20.0,419936838,8060928,5177344,458752
6831074.0,2302524.0,757019229.0,495571237.0,141817100.0,9005.0,20.0,419936838,8060928,5177344,458752
6457792.0,2024833.0,735594788.0,471920123.0,134655513.0,8636.0,22.0,419713253,8192000,4456448,524288
6457792.0,2024833.0,735594788.0,471920123.0,134655513.0,8636.0,22.0,419713253,8192000,4456448,524288
7164168.0,2203321.0,878282938.0,561054868.0,158724341.0,7369.0,27.0,419829921,9175040,5439488,393216
7164168.0,2203321.0,878282938.0,561054868.0,158724341.0,7369.0,27.0,419829921,9175040,5439488,393216
6984098.0,2267065.0,803464969.0,518532078.0,149101652.0,9166.0,22.0,419849885,9895936,5701632,262144
6984098.0,2267065.0,803464969.0,518532078.0,149101652.0,9166.0,22.0,419849885,9895936,5701632,262144
6507509.0,2224562.0,759947976.0,492804589.0,141488641.0,8434.0,32.0,419906795,9502720,4390912,458752
6507509.0,2224562.0,759947976.0,492804589.0,141488641.0,8434.0,32.0,419906795,9502720,4390912,458752
6875890.0,2289484.0,747478532.0,495100401.0,141677260.0,8142.0,21.0,419994519,10747904,6553600,196608
6875890.0,2289484.0,747478532.0,495100401.0,141677260.0,8142.0,21.0,419994519,10747904,6553600,196608
7023111.0,2151591.0,781303272.0,508715351.0,146099018.0,7607.0,11.0,419804310,11206656,5701632,393216
7023111.0,2151591.0,781303272.0,508715351.0,146099018.0,7607.0,11.0,419804310,11206656,5701632,393216
7681052.0,2405911.0,833316927.0,542473240.0,155255143.0,9117.0,23.0,420009118,11599872,7864320,262144
7681052.0,2405911.0,833316927.0,542473240.0,155255143.0,9117.0,23.0,420009118,11599872,7864320,262144
7115583.0,2427689.0,911866657.0,586892357.0,164382975.0,8251.0,20.0,419927208,11927552,5636096,65536
7115583.0,2427689.0,911866657.0,586892357.0,164382975.0,8251.0,20.0,419927208,11927552,5636096,65536
6598952.0,2146992.0,825857381.0,529916519.0,150431467.0,7899.0,19.0,419846543,11927552,4980736,458752
6598952.0,2146992.0,825857381.0,529916519.0,150431467.0,7899.0,19.0,419846543,11927552,4980736,458752
7530979.0,2305439.0,828439597.0,536023398.0,153981626.0,7783.0,14.0,419976477,12976128,5832704,131072
7530979.0,2305439.0,828439597.0,536023398.0,153981626.0,7783.0,14.0,419976477,12976128,5832704,131072
7485928.0,2291544.0,729148471.0,479875627.0,137723104.0,8304.0,25.0,419891640,13565952,5111808,65536
7485928.0,2291544.0,729148471.0,479875627.0,137723104.0,8304.0,25.0,419891640,13565952,5111808,65536
6492538.0,1958876.0,749495895.0,482965080.0,141231872.0,7136.0,20.0,419764834,14942208,6225920,393216
6492538.0,1958876.0,749495895.0,482965080.0,141231872.0,7136.0,20.0,419764834,14942208,6225920,393216
7285983.0,2138196.0,831164025.0,533989202.0,152945740.0,12826.0,15.0,419742659,14483456,5767168,196608
7285983.0,2138196.0,831164025.0,533989202.0,152945740.0,12826.0,15.0,419742659,14483456,5767168,196608
7679899.0,2295798.0,825634686.0,532581747.0,152617580.0,8364.0,16.0,419808237,15859712,5505024,589824
7679899.0,2295798.0,825634686.0,532581747.0,152617580.0,8364.0,16.0,419808237,15859712,5505024,589824
7084531.0,2120099.0,775508859.0,499401711.0,142371086.0,9179.0,16.0,420192400,15007744,5308416,393216
7084531.0,2120099.0,775508859.0,499401711.0,142371086.0,9179.0,16.0,420192400,15007744,5308416,393216
6501805.0,2092952.0,739271849.0,478105777.0,137205755.0,9111.0,15.0,419748635,15269888,5177344,196608
6501805.0,2092952.0,739271849.0,478105777.0,137205755.0,9111.0,15.0,419748635,15269888,5177344,196608
6806640.0,2094406.0,754497735.0,492485513.0,141045661.0,8810.0,20.0,419849005,15663104,5570560,327680
6806640.0,2094406.0,754497735.0,492485513.0,141045661.0,8810.0,20.0,419849005,15663104,5570560,327680
6647972.0,2207774.0,815939293.0,526851406.0,149534034.0,8452.0,17.0,420014322,15794176,5767168,524288
6647972.0,2207774.0,815939293.0,526851406.0,149534034.0,8452.0,17.0,420014322,15794176,5767168,524288
7852911.0,2365930.0,856413743.0,554863878.0,158444332.0,8653.0,29.0,419924659,16515072,4128768,327680
7852911.0,2365930.0,856413743.0,554863878.0,158444332.0,8653.0,29.0,419924659,16515072,4128768,327680
6701265.0,2245927.0,776556907.0,505146229.0,145069631.0,9151.0,23.0,420026586,16449536,3735552,131072
6701265.0,2245927.0,776556907.0,505146229.0,145069631.0,9151.0,23.0,420026586,16449536,3735552,131072
7367105.0,2256625.0,803450634.0,520816182.0,147785352.0,8001.0,27.0,419820772,18153472,4521984,458752
7367105.0,2256625.0,803450634.0,520816182.0,147785352.0,8001.0,27.0,419820772,18153472,4521984,458752
6818674.0,2141496.0,718085513.0,469036405.0,134252805.0,6857.0,15.0,419873678,18284544,4194304,262144
6818674.0,2141496.0,718085513.0,469036405.0,134252805.0,6857.0,15.0,419873678,18284544,4194304,262144
7714532.0,2410824.0,857268905.0,554857466.0,158734309.0,9699.0,18.0,419756757,18677760,5242880,393216
7714532.0,2410824.0,857268905.0,554857466.0,158734309.0,9699.0,18.0,419756757,18677760,5242880,393216
7296768.0,2267923.0,813801839.0,525597070.0,152097218.0,9526.0,34.0,419939893,18415616,4063232,196608
7296768.0,2267923.0,813801839.0,525597070.0,152097218.0,9526.0,34.0,419939893,18415616,4063232,196608
6495294.0,1984270.0,711729699.0,468413376.0,135315759.0,7793.0,22.0,420104347,19267584,5111808,196608
6495294.0,1984270.0,711729699.0,468413376.0,135315759.0,7793.0,22.0,420104347,19267584,5111808,196608
7213126.0,2333901.0,731722600.0,492872974.0,148336346.0,8026.0,24.0,419841226,19398656,6356992,196608
7213126.0,2333901.0,731722600.0,492872974.0,148336346.0,8026.0,24.0,419841226,19398656,6356992,196608
7295525.0,2314561.0,865453600.0,558240255.0,160542965.0,8468.0,18.0,419956684,20054016,5046272,458752
7295525.0,2314561.0,865453600.0,558240255.0,160542965.0,8468.0,18.0,419956684,20054016,5046272,458752
7242400.0,2284600.0,783137054.0,510374762.0,148180227.0,8422.0,13.0,419933227,19988480,5701632,458752
7242400.0,2284600.0,783137054.0,510374762.0,148180227.0,8422.0,13.0,419933227,19988480,5701632,458752
6049914.0,1974744.0,681183081.0,446318576.0,130169016.0,8571.0,20.0,419863631,19595264,3932160,65536
6049914.0,1974744.0,681183081.0,446318576.0,130169016.0,8571.0,20.0,419863631,19595264,3932160,65536
6793475.0,2202306.0,749040707.0,487936123.0,140466781.0,9572.0,30.0,419770806,18284544,6684672,262144
6793475.0,2202306.0,749040707.0,487936123.0,140466781.0,9572.0,30.0,419770806,18284544,6684672,262144
6601693.0,2078548.0,705514854.0,463008303.0,134633470.0,7982.0,24.0,419973810,18415616,3473408,524288
6601693.0,2078548.0,705514854.0,463008303.0,134633470.0,7982.0,24.0,419973810,18415616,3473408,524288
8053414.0,2465379.0,873774065.0,571036211.0,164827115.0,9875.0,27.0,419783803,18546688,5373952,65536
8053414.0,2465379.0,873774065.0,571036211.0,164827115.0,9875.0,27.0,419783803,18546688,5373952,65536
7447529.0,2190735.0,926381500.0,585252573.0,170517835.0,8324.0,28.0,419827373,19333120,6488064,196608
7447529.0,2190735.0,926381500.0,585252573.0,170517835.0,8324.0,28.0,419827373,19333120,6488064,196608
7068117.0,2374932.0,784043324.0,512296082.0,149718059.0,8301.0,24.0,419798328,19136512,3473408,196608
