category,ntail-img-dnn,cfd
runtime,76.15048694610596,116.51994109153748
llc_references,161953877.6955307,48345869.38294011
llc_misses,9357030.083798882,7388807.658802178
instructions,4476223793.114525,16704764902.767694
cycles,2227976516.075419,8583542808.711433
stall_cycles,357944059.7625698,1315713434.9455535
intra_coh,275174.69273743016,507058.275862069
inter_coh,84.90223463687151,0.13611615245009073
wall_cycles,2105105786.2988827,2143235573.802178
llc_size,93284454.97206704,72833570.38112523
local_mem,20539494.97206704,329619913.17604357
remote_mem,181230.83798882682,6327019.092558984
