llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
18640976.0,6404094.0,6249017316.0,3300723451.0,604065377.0,209081.0,0.0,796533530,15597568,542900224,2162688
18640976.0,6404094.0,6249017316.0,3300723451.0,604065377.0,209081.0,0.0,796533530,15597568,542900224,2162688
18153742.0,6564291.0,6235098523.0,3280266855.0,602214531.0,197331.0,0.0,419939268,16318464,372834304,1769472
18153742.0,6564291.0,6235098523.0,3280266855.0,602214531.0,197331.0,0.0,419939268,16318464,372834304,1769472
258587.0,201273.0,145656156.0,76757940.0,14629347.0,7900.0,0.0,4863324827,12713984,5832704,1507328
258587.0,201273.0,145656156.0,76757940.0,14629347.0,7900.0,0.0,4863324827,12713984,5832704,1507328
18425849.0,6412646.0,6261128933.0,3534679909.0,801508985.0,192762.0,0.0,420091413,18612224,361758720,0
18425849.0,6412646.0,6261128933.0,3534679909.0,801508985.0,192762.0,0.0,420091413,18612224,361758720,0
20593630.0,6805642.0,6667069892.0,3871152194.0,910116100.0,217299.0,0.0,420016908,18939904,376700928,2949120
20593630.0,6805642.0,6667069892.0,3871152194.0,910116100.0,217299.0,0.0,420016908,18939904,376700928,2949120
22355339.0,6915721.0,7501852369.0,4027381236.0,789541001.0,237597.0,0.0,420020025,19005440,359399424,8257536
22355339.0,6915721.0,7501852369.0,4027381236.0,789541001.0,237597.0,0.0,420020025,19005440,359399424,8257536
22236038.0,6735788.0,7395768738.0,3992650067.0,792771526.0,238110.0,0.0,419923983,19136512,357629952,65536
22236038.0,6735788.0,7395768738.0,3992650067.0,792771526.0,238110.0,0.0,419923983,19136512,357629952,65536
21703399.0,6518786.0,7409361109.0,4001556554.0,798375219.0,227511.0,0.0,419999335,18219008,348061696,2359296
21703399.0,6518786.0,7409361109.0,4001556554.0,798375219.0,227511.0,0.0,419999335,18219008,348061696,2359296
20966855.0,6206002.0,7214242172.0,3927679958.0,801333674.0,231426.0,0.0,420075608,18939904,338100224,4259840
20966855.0,6206002.0,7214242172.0,3927679958.0,801333674.0,231426.0,0.0,420075608,18939904,338100224,4259840
22167232.0,6582351.0,7448356840.0,4017605064.0,811947622.0,233625.0,0.0,420062039,18546688,336527360,6750208
22167232.0,6582351.0,7448356840.0,4017605064.0,811947622.0,233625.0,0.0,420062039,18546688,336527360,6750208
21504393.0,6377174.0,7403381082.0,3992466616.0,795083822.0,243510.0,0.0,420041622,18743296,332595200,0
21504393.0,6377174.0,7403381082.0,3992466616.0,795083822.0,243510.0,0.0,420041622,18743296,332595200,0
21718592.0,6183214.0,7299628290.0,3943075737.0,788599727.0,223206.0,0.0,419967884,18415616,330235904,2293760
21718592.0,6183214.0,7299628290.0,3943075737.0,788599727.0,223206.0,0.0,419967884,18415616,330235904,2293760
21706741.0,6313066.0,7418532824.0,3994411164.0,792535863.0,230533.0,0.0,420015897,18219008,331087872,3014656
21706741.0,6313066.0,7418532824.0,3994411164.0,792535863.0,230533.0,0.0,420015897,18219008,331087872,3014656
21825775.0,6090260.0,7393869241.0,3977310742.0,776923046.0,241687.0,0.0,419948081,18808832,315817984,2883584
21825775.0,6090260.0,7393869241.0,3977310742.0,776923046.0,241687.0,0.0,419948081,18808832,315817984,2883584
21298536.0,5737058.0,7154937239.0,3867102116.0,768806823.0,222563.0,0.0,420012803,18087936,278003712,3997696
21298536.0,5737058.0,7154937239.0,3867102116.0,768806823.0,222563.0,0.0,420012803,18087936,278003712,3997696
21511909.0,5898487.0,7199876051.0,3939380968.0,815813430.0,230002.0,0.0,419973890,17891328,289406976,2818048
21511909.0,5898487.0,7199876051.0,3939380968.0,815813430.0,230002.0,0.0,419973890,17891328,289406976,2818048
20824776.0,5745777.0,7041289648.0,3919495877.0,856828771.0,220407.0,0.0,420058534,17760256,281083904,3604480
20824776.0,5745777.0,7041289648.0,3919495877.0,856828771.0,220407.0,0.0,420058534,17760256,281083904,3604480
18223414.0,5132373.0,6063962996.0,3261651876.0,636846148.0,187587.0,0.0,419907026,17694720,247922688,3735552
18223414.0,5132373.0,6063962996.0,3261651876.0,636846148.0,187587.0,0.0,419907026,17694720,247922688,3735552
16827380.0,4937684.0,5635295599.0,3086300270.0,639331859.0,175282.0,0.0,419840939,17498112,234946560,4194304
16827380.0,4937684.0,5635295599.0,3086300270.0,639331859.0,175282.0,0.0,419840939,17498112,234946560,4194304
16931871.0,4899243.0,5462857494.0,2993171652.0,628550074.0,183098.0,0.0,420043568,17563648,225837056,4653056
16931871.0,4899243.0,5462857494.0,2993171652.0,628550074.0,183098.0,0.0,420043568,17563648,225837056,4653056
15347179.0,4538701.0,5161929043.0,2833337253.0,595514653.0,159573.0,0.0,419867826,17432576,215482368,4587520
15347179.0,4538701.0,5161929043.0,2833337253.0,595514653.0,159573.0,0.0,419867826,17432576,215482368,4587520
15114046.0,4442846.0,4986307386.0,2707391814.0,551804887.0,162512.0,0.0,419959792,17301504,206438400,4390912
15114046.0,4442846.0,4986307386.0,2707391814.0,551804887.0,162512.0,0.0,419959792,17301504,206438400,4390912
14317334.0,4260419.0,4716073185.0,2555734878.0,516816361.0,150777.0,0.0,419910435,17301504,198705152,6291456
14317334.0,4260419.0,4716073185.0,2555734878.0,516816361.0,150777.0,0.0,419910435,17301504,198705152,6291456
13790992.0,4278937.0,4421567642.0,2407534594.0,497133633.0,130440.0,0.0,419924262,17367040,187826176,5767168
13790992.0,4278937.0,4421567642.0,2407534594.0,497133633.0,130440.0,0.0,419924262,17367040,187826176,5767168
13022503.0,3848329.0,4167968989.0,2267212052.0,456949530.0,136327.0,0.0,420011898,17170432,185663488,5373952
13022503.0,3848329.0,4167968989.0,2267212052.0,456949530.0,136327.0,0.0,420011898,17170432,185663488,5373952
11726100.0,3390093.0,3893213245.0,2130636815.0,425887531.0,119318.0,0.0,420086821,17170432,163840000,5898240
11726100.0,3390093.0,3893213245.0,2130636815.0,425887531.0,119318.0,0.0,420086821,17170432,163840000,5898240
11308148.0,3414511.0,3717714871.0,1994355265.0,382572530.0,121137.0,0.0,420097076,17170432,161218560,4915200
11308148.0,3414511.0,3717714871.0,1994355265.0,382572530.0,121137.0,0.0,420097076,17170432,161218560,4915200
10542630.0,3248850.0,3537500063.0,1888182753.0,353597221.0,110012.0,0.0,420166628,17170432,147652608,4587520
