llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
34885557.0,2697356.0,959947650.0,487757715.0,76845266.0,57434.0,6.0,852474455,12779520,305922048,7471104
34885557.0,2697356.0,959947650.0,487757715.0,76845266.0,57434.0,6.0,852474455,12779520,305922048,7471104
33526922.0,2735574.0,940585500.0,471990986.0,73874009.0,59691.0,10.0,419533709,16908288,169082880,0
33526922.0,2735574.0,940585500.0,471990986.0,73874009.0,59691.0,10.0,419533709,16908288,169082880,0
32514888.0,1862542.0,898537158.0,431757519.0,54081075.0,25427.0,67.0,419866895,17563648,655360,327680
32514888.0,1862542.0,898537158.0,431757519.0,54081075.0,25427.0,67.0,419866895,17563648,655360,327680
36607976.0,2137915.0,1017444155.0,502305186.0,68804464.0,34228.0,48.0,420135492,17563648,0,0
36607976.0,2137915.0,1017444155.0,502305186.0,68804464.0,34228.0,48.0,420135492,17563648,0,0
34167067.0,1956991.0,944577933.0,480228213.0,78643491.0,24544.0,38.0,420088039,17563648,0,0
34167067.0,1956991.0,944577933.0,480228213.0,78643491.0,24544.0,38.0,420088039,17563648,0,0
32606465.0,1887839.0,898739694.0,453198846.0,72446480.0,46762.0,29.0,419860406,17563648,0,0
32606465.0,1887839.0,898739694.0,453198846.0,72446480.0,46762.0,29.0,419860406,17563648,0,0
31072192.0,1735492.0,833747287.0,425995152.0,70661150.0,26217.0,19.0,419828430,17563648,0,0
31072192.0,1735492.0,833747287.0,425995152.0,70661150.0,26217.0,19.0,419828430,17563648,0,0
29608106.0,1670265.0,826304923.0,424376711.0,70096682.0,61693.0,18.0,419957125,17563648,0,0
29608106.0,1670265.0,826304923.0,424376711.0,70096682.0,61693.0,18.0,419957125,17563648,0,0
32189151.0,1870770.0,886774570.0,450689570.0,73095178.0,57032.0,23.0,419991922,17563648,0,0
32189151.0,1870770.0,886774570.0,450689570.0,73095178.0,57032.0,23.0,419991922,17563648,0,0
32140772.0,1896369.0,883222640.0,452126538.0,75660458.0,50572.0,35.0,419972294,17563648,0,0
32140772.0,1896369.0,883222640.0,452126538.0,75660458.0,50572.0,35.0,419972294,17563648,0,0
30713702.0,1756154.0,847111851.0,433879433.0,73374850.0,40895.0,28.0,420005670,17563648,65536,65536
30713702.0,1756154.0,847111851.0,433879433.0,73374850.0,40895.0,28.0,420005670,17563648,65536,65536
28982774.0,1632649.0,798324215.0,408657674.0,71628060.0,31821.0,23.0,419832826,17629184,0,65536
28982774.0,1632649.0,798324215.0,408657674.0,71628060.0,31821.0,23.0,419832826,17629184,0,65536
31164807.0,1764357.0,849271022.0,437972346.0,75256791.0,75296.0,15.0,419909980,17629184,0,65536
31164807.0,1764357.0,849271022.0,437972346.0,75256791.0,75296.0,15.0,419909980,17629184,0,65536
32447464.0,2034517.0,905876574.0,466922297.0,81177917.0,137191.0,39.0,419938232,16973824,87359488,1835008
32447464.0,2034517.0,905876574.0,466922297.0,81177917.0,137191.0,39.0,419938232,16973824,87359488,1835008
28074403.0,1979600.0,794175157.0,405795842.0,67797685.0,70818.0,16.0,419909273,17104896,174718976,3145728
28074403.0,1979600.0,794175157.0,405795842.0,67797685.0,70818.0,16.0,419909273,17104896,174718976,3145728
32140615.0,2412584.0,886051646.0,442726211.0,68379834.0,45463.0,17.0,419798239,13893632,139460608,7536640
32140615.0,2412584.0,886051646.0,442726211.0,68379834.0,45463.0,17.0,419798239,13893632,139460608,7536640
30826922.0,2135457.0,869100994.0,430420725.0,62985485.0,56333.0,10.0,419761006,15138816,74317824,524288
30826922.0,2135457.0,869100994.0,430420725.0,62985485.0,56333.0,10.0,419761006,15138816,74317824,524288
30877150.0,2166988.0,863642163.0,427406750.0,64270715.0,62081.0,20.0,419963915,15532032,81723392,5177344
30877150.0,2166988.0,863642163.0,427406750.0,64270715.0,62081.0,20.0,419963915,15532032,81723392,5177344
31751353.0,2238797.0,889599053.0,443006376.0,63170003.0,50878.0,11.0,419825158,16711680,53936128,4521984
31751353.0,2238797.0,889599053.0,443006376.0,63170003.0,50878.0,11.0,419825158,16711680,53936128,4521984
34760807.0,2193928.0,969352475.0,479796710.0,68162668.0,26404.0,12.0,419900652,15859712,47448064,2162688
