category,ntail-img-dnn,streamcluster
runtime,75.79663348197937,148.5203619003296
llc_references,162013530.53370786,156116463.0925666
llc_misses,9529995.252808988,118059419.17952314
instructions,4477226726.207865,6941276106.788219
cycles,2237189001.292135,9145501509.964937
stall_cycles,365796077.83707863,5731410812.748948
intra_coh,282578.52528089884,8309846.935483871
inter_coh,79.91573033707864,0.4067321178120617
wall_cycles,2105979461.7696629,2136731194.6213183
llc_size,92638633.70786516,133814309.34081346
local_mem,68747448.08988763,7639611486.788219
remote_mem,1894284.9438202246,16001630.070126226
