llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
46535893.0,2495614.0,3882396709.0,3218720119.0,1199611199.0,13359778.0,0.0,683287631,30277632,569114624,2293760
46535893.0,2495614.0,3882396709.0,3218720119.0,1199611199.0,13359778.0,0.0,683287631,30277632,569114624,2293760
26812355.0,1772992.0,2137990316.0,1860409457.0,727777169.0,7518387.0,4.0,419638394,35061760,234487808,0
26812355.0,1772992.0,2137990316.0,1860409457.0,727777169.0,7518387.0,4.0,419638394,35061760,234487808,0
1422454.0,380754.0,45394402.0,143723364.0,83327342.0,5226.0,34.0,420054775,32047104,32964608,0
1422454.0,380754.0,45394402.0,143723364.0,83327342.0,5226.0,34.0,420054775,32047104,32964608,0
1391916.0,331905.0,44671832.0,146040588.0,85575957.0,8484.0,28.0,419930077,36044800,23986176,262144
1391916.0,331905.0,44671832.0,146040588.0,85575957.0,8484.0,28.0,419930077,36044800,23986176,262144
1349391.0,298527.0,43192400.0,145097289.0,85261345.0,7668.0,11.0,419876751,37027840,23855104,0
1349391.0,298527.0,43192400.0,145097289.0,85261345.0,7668.0,11.0,419876751,37027840,23855104,0
1375252.0,299735.0,43920287.0,145182481.0,84657819.0,7008.0,24.0,419777817,35651584,27197440,327680
1375252.0,299735.0,43920287.0,145182481.0,84657819.0,7008.0,24.0,419777817,35651584,27197440,327680
1402730.0,315403.0,44285090.0,147804020.0,86626139.0,8843.0,17.0,419934525,36110336,25034752,0
1402730.0,315403.0,44285090.0,147804020.0,86626139.0,8843.0,17.0,419934525,36110336,25034752,0
1305923.0,307055.0,43918196.0,146966425.0,85251417.0,7484.0,7.0,419893754,37879808,29949952,0
1305923.0,307055.0,43918196.0,146966425.0,85251417.0,7484.0,7.0,419893754,37879808,29949952,0
1375655.0,324078.0,44663957.0,149370142.0,88881875.0,6574.0,10.0,419905710,38273024,23199744,196608
1375655.0,324078.0,44663957.0,149370142.0,88881875.0,6574.0,10.0,419905710,38273024,23199744,196608
1303238.0,293674.0,42446577.0,147594251.0,87762811.0,5751.0,10.0,419667766,38338560,20447232,0
1303238.0,293674.0,42446577.0,147594251.0,87762811.0,5751.0,10.0,419667766,38338560,20447232,0
1014651.0,195236.0,30655356.0,108930498.0,65092038.0,7432.0,9.0,420035838,38666240,17301504,0
1014651.0,195236.0,30655356.0,108930498.0,65092038.0,7432.0,9.0,420035838,38666240,17301504,0
854188.0,172444.0,27041678.0,89906110.0,52729980.0,6606.0,37.0,419980654,39124992,12517376,0
854188.0,172444.0,27041678.0,89906110.0,52729980.0,6606.0,37.0,419980654,39124992,12517376,0
850483.0,166396.0,26761072.0,89026985.0,52614467.0,7656.0,15.0,419862772,39321600,14155776,131072
850483.0,166396.0,26761072.0,89026985.0,52614467.0,7656.0,15.0,419862772,39321600,14155776,131072
912771.0,207869.0,28187670.0,95285250.0,56440160.0,6103.0,14.0,419949106,26017792,22872064,131072
912771.0,207869.0,28187670.0,95285250.0,56440160.0,6103.0,14.0,419949106,26017792,22872064,131072
869898.0,254165.0,28199625.0,91275473.0,53088386.0,5755.0,17.0,419646560,21299200,23396352,0
869898.0,254165.0,28199625.0,91275473.0,53088386.0,5755.0,17.0,419646560,21299200,23396352,0
861645.0,256228.0,27057859.0,90851567.0,52960725.0,6091.0,27.0,419892442,19988480,22216704,0
861645.0,256228.0,27057859.0,90851567.0,52960725.0,6091.0,27.0,419892442,19988480,22216704,0
911830.0,271269.0,28156422.0,92883229.0,54586771.0,5203.0,23.0,419905657,18939904,19398656,0
911830.0,271269.0,28156422.0,92883229.0,54586771.0,5203.0,23.0,419905657,18939904,19398656,0
863675.0,258765.0,27329539.0,90206741.0,53159293.0,5002.0,20.0,419620691,22937600,21364736,786432
863675.0,258765.0,27329539.0,90206741.0,53159293.0,5002.0,20.0,419620691,22937600,21364736,786432
891851.0,269923.0,27582886.0,92016794.0,54164914.0,5255.0,28.0,419968824,22675456,23199744,0
891851.0,269923.0,27582886.0,92016794.0,54164914.0,5255.0,28.0,419968824,22675456,23199744,0
828891.0,248934.0,25617406.0,86707848.0,52088017.0,5261.0,27.0,419833152,20512768,22609920,65536
828891.0,248934.0,25617406.0,86707848.0,52088017.0,5261.0,27.0,419833152,20512768,22609920,65536
866280.0,258138.0,26919990.0,90267774.0,53700389.0,5058.0,14.0,419919844,21823488,24641536,65536
866280.0,258138.0,26919990.0,90267774.0,53700389.0,5058.0,14.0,419919844,21823488,24641536,65536
926844.0,273992.0,29542018.0,98779670.0,59226553.0,5841.0,20.0,419859062,20185088,25034752,393216
926844.0,273992.0,29542018.0,98779670.0,59226553.0,5841.0,20.0,419859062,20185088,25034752,393216
1035245.0,300309.0,31239614.0,107963088.0,65109626.0,6694.0,23.0,419889090,23592960,21954560,0
1035245.0,300309.0,31239614.0,107963088.0,65109626.0,6694.0,23.0,419889090,23592960,21954560,0
807574.0,245289.0,26154235.0,89599484.0,53472827.0,5738.0,14.0,419908225,25427968,20578304,0
807574.0,245289.0,26154235.0,89599484.0,53472827.0,5738.0,14.0,419908225,25427968,20578304,0
718192.0,205471.0,22062459.0,79459890.0,48408787.0,4312.0,22.0,419783945,21102592,18546688,458752
718192.0,205471.0,22062459.0,79459890.0,48408787.0,4312.0,22.0,419783945,21102592,18546688,458752
938927.0,284335.0,29985076.0,102350488.0,61887808.0,7075.0,13.0,419853054,20774912,20512768,0
