category,ntail-masstree,canneal
runtime,32.11026358604431,72.45526647567749
llc_references,7209907.68115942,61701219.28571428
llc_misses,1345149.384057971,35496552.6239067
instructions,351649058.87681156,1870790791.6326532
cycles,678918829.1304349,7332206652.507288
stall_cycles,368662614.2753624,6126179476.865889
intra_coh,788521.5942028986,170770.7580174927
inter_coh,76.41304347826087,0.014577259475218658
wall_cycles,2115254015.3623188,2173989230.8746357
llc_size,152050643.47826087,147455044.66472304
local_mem,145333203.47826087,2856627304.489796
remote_mem,1474560.0,2022444.7813411078
