llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
18741205.0,9306794.0,3680785768.0,3069455128.0,1300209282.0,837014.0,4.0,825584515,30081024,1261371392,46727168
18741205.0,9306794.0,3680785768.0,3069455128.0,1300209282.0,837014.0,4.0,825584515,30081024,1261371392,46727168
22692395.0,6775653.0,2314051507.0,1893761474.0,841463706.0,6760951.0,1.0,419701212,31981568,951975936,21561344
22692395.0,6775653.0,2314051507.0,1893761474.0,841463706.0,6760951.0,1.0,419701212,31981568,951975936,21561344
15729351.0,1235162.0,1191020582.0,1295384728.0,672808571.0,8034865.0,4.0,420156541,40763392,188284928,8323072
15729351.0,1235162.0,1191020582.0,1295384728.0,672808571.0,8034865.0,4.0,420156541,40763392,188284928,8323072
17242123.0,1597838.0,1334952151.0,1592273797.0,882699737.0,8925979.0,4.0,420123151,41222144,205651968,11665408
17242123.0,1597838.0,1334952151.0,1592273797.0,882699737.0,8925979.0,4.0,420123151,41222144,205651968,11665408
47272587.0,23704803.0,2108331659.0,1800773670.0,852853184.0,3392547.0,8.0,419965314,41484288,1532624896,27787264
47272587.0,23704803.0,2108331659.0,1800773670.0,852853184.0,3392547.0,8.0,419965314,41484288,1532624896,27787264
8315733.0,4629604.0,910483294.0,659483514.0,236578611.0,790885.0,4.0,419946122,41418752,522518528,2359296
8315733.0,4629604.0,910483294.0,659483514.0,236578611.0,790885.0,4.0,419946122,41418752,522518528,2359296
9093943.0,4416268.0,1007438536.0,721977701.0,256281441.0,728555.0,11.0,419975794,41418752,601030656,11927552
9093943.0,4416268.0,1007438536.0,721977701.0,256281441.0,728555.0,11.0,419975794,41418752,601030656,11927552
7992359.0,6137962.0,835814006.0,549945495.0,170372518.0,73501.0,8.0,419830544,41353216,597819392,1900544
7992359.0,6137962.0,835814006.0,549945495.0,170372518.0,73501.0,8.0,419830544,41353216,597819392,1900544
5166409.0,3324862.0,325162064.0,210731550.0,69781102.0,19996.0,16.0,419840002,41156608,267583488,0
5166409.0,3324862.0,325162064.0,210731550.0,69781102.0,19996.0,16.0,419840002,41156608,267583488,0
6145554.0,3335640.0,234845533.0,166159242.0,71005537.0,4226.0,23.0,419872236,41222144,206569472,2162688
6145554.0,3335640.0,234845533.0,166159242.0,71005537.0,4226.0,23.0,419872236,41222144,206569472,2162688
5419783.0,3293311.0,184428736.0,141539906.0,63614627.0,5690.0,17.0,419921592,41353216,227868672,5242880
