llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
22916710.0,6771090.0,511816053.0,417284615.0,148968913.0,0.0,0.0,853956329,1179648,53411840,0
22916710.0,6771090.0,511816053.0,417284615.0,148968913.0,0.0,0.0,853956329,1179648,53411840,0
671318.0,512015.0,533593823.0,369250793.0,144660764.0,0.0,0.0,5261330240,131072,32112640,196608
671318.0,512015.0,533593823.0,369250793.0,144660764.0,0.0,0.0,5261330240,131072,32112640,196608
5517526.0,4789850.0,3437250000.0,1647428669.0,415576482.0,2602.0,0.0,419621566,17367040,570949632,1310720
5517526.0,4789850.0,3437250000.0,1647428669.0,415576482.0,2602.0,0.0,419621566,17367040,570949632,1310720
8083532.0,6333497.0,4643556998.0,2332605939.0,620757412.0,40821.0,0.0,420021147,20578304,615448576,11206656
8083532.0,6333497.0,4643556998.0,2332605939.0,620757412.0,40821.0,0.0,420021147,20578304,615448576,11206656
92915443.0,46278258.0,6405587376.0,2182580551.0,307247335.0,1734811.0,0.0,419745067,20250624,4029087744,17563648
92915443.0,46278258.0,6405587376.0,2182580551.0,307247335.0,1734811.0,0.0,419745067,20250624,4029087744,17563648
44869512.0,22662246.0,6637616391.0,2688546184.0,480327394.0,694327.0,0.0,419909469,12517376,1929445376,0
44869512.0,22662246.0,6637616391.0,2688546184.0,480327394.0,694327.0,0.0,419909469,12517376,1929445376,0
5355895.0,5337980.0,4470300174.0,2187805320.0,530331360.0,8826.0,1.0,419831811,4521984,461897728,65536
5355895.0,5337980.0,4470300174.0,2187805320.0,530331360.0,8826.0,1.0,419831811,4521984,461897728,65536
12028271.0,8627539.0,4943662180.0,2388756373.0,600064114.0,167802.0,3.0,420062566,12713984,966459392,28180480
12028271.0,8627539.0,4943662180.0,2388756373.0,600064114.0,167802.0,3.0,420062566,12713984,966459392,28180480
82921024.0,50442377.0,5619534717.0,2258191871.0,515084972.0,1356905.0,1.0,419851586,12058624,4255580160,3604480
82921024.0,50442377.0,5619534717.0,2258191871.0,515084972.0,1356905.0,1.0,419851586,12058624,4255580160,3604480
47457320.0,29496952.0,5779701618.0,2641013355.0,666531477.0,698701.0,0.0,419776287,9699328,2522742784,0
47457320.0,29496952.0,5779701618.0,2641013355.0,666531477.0,698701.0,0.0,419776287,9699328,2522742784,0
5367565.0,5071178.0,4061135844.0,2038547724.0,527741756.0,10038.0,0.0,419850228,4521984,431620096,1376256
5367565.0,5071178.0,4061135844.0,2038547724.0,527741756.0,10038.0,0.0,419850228,4521984,431620096,1376256
4503214.0,4249384.0,4425528427.0,2136493211.0,508267066.0,5982.0,1.0,419892928,5963776,402587648,0
4503214.0,4249384.0,4425528427.0,2136493211.0,508267066.0,5982.0,1.0,419892928,5963776,402587648,0
55361520.0,35776783.0,4805643044.0,1982014339.0,445025067.0,824155.0,3.0,420187999,6488064,3122003968,26673152
55361520.0,35776783.0,4805643044.0,1982014339.0,445025067.0,824155.0,3.0,420187999,6488064,3122003968,26673152
88238244.0,56952114.0,5745887335.0,1987143154.0,336282307.0,1415786.0,0.0,420038171,6488064,4940955648,3145728
88238244.0,56952114.0,5745887335.0,1987143154.0,336282307.0,1415786.0,0.0,420038171,6488064,4940955648,3145728
7648097.0,7128627.0,4231148935.0,1940402636.0,407509690.0,63830.0,0.0,419864998,1376256,522584064,0
7648097.0,7128627.0,4231148935.0,1940402636.0,407509690.0,63830.0,0.0,419864998,1376256,522584064,0
5270162.0,4634180.0,4102924058.0,2002984169.0,495152091.0,10924.0,0.0,419728771,5636096,432144384,524288
5270162.0,4634180.0,4102924058.0,2002984169.0,495152091.0,10924.0,0.0,419728771,5636096,432144384,524288
3258999.0,3239028.0,3092796635.0,1472382411.0,331598343.0,5431.0,0.0,420258328,3276800,301006848,720896
3258999.0,3239028.0,3092796635.0,1472382411.0,331598343.0,5431.0,0.0,420258328,3276800,301006848,720896
37449328.0,27266347.0,3830689737.0,1517468258.0,294896288.0,613335.0,0.0,420059206,6356992,2233991168,18743296
37449328.0,27266347.0,3830689737.0,1517468258.0,294896288.0,613335.0,0.0,420059206,6356992,2233991168,18743296
69021060.0,50110008.0,4722720619.0,1498964286.0,159416020.0,1233222.0,0.0,419899766,5898240,4075945984,13041664
69021060.0,50110008.0,4722720619.0,1498964286.0,159416020.0,1233222.0,0.0,419899766,5898240,4075945984,13041664
36863552.0,28039400.0,4443849654.0,1697377777.0,257988116.0,537138.0,0.0,419929476,3670016,2192965632,0
36863552.0,28039400.0,4443849654.0,1697377777.0,257988116.0,537138.0,0.0,419929476,3670016,2192965632,0
3183789.0,2973926.0,2239204418.0,1068113090.0,236029342.0,6814.0,0.0,419901936,2621440,242286592,41484288
3183789.0,2973926.0,2239204418.0,1068113090.0,236029342.0,6814.0,0.0,419901936,2621440,242286592,41484288
3691055.0,3355834.0,3443894137.0,1619801131.0,357526120.0,8696.0,0.0,420122431,3538944,334168064,0
3691055.0,3355834.0,3443894137.0,1619801131.0,357526120.0,8696.0,0.0,420122431,3538944,334168064,0
1256483.0,1472848.0,1090037914.0,520923347.0,114970555.0,2977.0,0.0,420067284,4259840,150077440,655360
1256483.0,1472848.0,1090037914.0,520923347.0,114970555.0,2977.0,0.0,420067284,4259840,150077440,655360
2375876.0,2267146.0,2522690856.0,1186361220.0,259565947.0,4990.0,0.0,419738116,3145728,205324288,262144
2375876.0,2267146.0,2522690856.0,1186361220.0,259565947.0,4990.0,0.0,419738116,3145728,205324288,262144
10351344.0,8824248.0,1770147952.0,830345342.0,195860083.0,36079.0,1.0,419991915,4259840,702939136,11862016
10351344.0,8824248.0,1770147952.0,830345342.0,195860083.0,36079.0,1.0,419991915,4259840,702939136,11862016
25614945.0,19803334.0,1739515849.0,632601290.0,108566970.0,69066.0,0.0,420002261,4259840,1632174080,0
25614945.0,19803334.0,1739515849.0,632601290.0,108566970.0,69066.0,0.0,420002261,4259840,1632174080,0
16081723.0,12254270.0,1105329514.0,374640767.0,51369626.0,20543.0,0.0,419817433,3735552,1013841920,0
16081723.0,12254270.0,1105329514.0,374640767.0,51369626.0,20543.0,0.0,419817433,3735552,1013841920,0
11134665.0,7852305.0,741529327.0,224743292.0,16272078.0,0.0,0.0,419785184,4128768,679149568,0
11134665.0,7852305.0,741529327.0,224743292.0,16272078.0,0.0,0.0,419785184,4128768,679149568,0
11018605.0,7603755.0,738268319.0,225683846.0,17389359.0,0.0,0.0,420096812,4194304,668860416,0
11018605.0,7603755.0,738268319.0,225683846.0,17389359.0,0.0,0.0,420096812,4194304,668860416,0
11172986.0,7663133.0,731772735.0,224952846.0,17106930.0,0.0,0.0,419883490,4063232,669646848,1245184
11172986.0,7663133.0,731772735.0,224952846.0,17106930.0,0.0,0.0,419883490,4063232,669646848,1245184
11167608.0,7707889.0,732234133.0,222952801.0,16619873.0,0.0,0.0,419851718,4128768,674758656,0
11167608.0,7707889.0,732234133.0,222952801.0,16619873.0,0.0,0.0,419851718,4128768,674758656,0
11055650.0,7638089.0,719017762.0,222947886.0,17322829.0,0.0,0.0,419840964,3211264,663355392,393216
11055650.0,7638089.0,719017762.0,222947886.0,17322829.0,0.0,0.0,419840964,3211264,663355392,393216
10997431.0,7758590.0,733024055.0,222948189.0,16907601.0,0.0,0.0,420000432,2359296,673972224,0
10997431.0,7758590.0,733024055.0,222948189.0,16907601.0,0.0,0.0,420000432,2359296,673972224,0
11160699.0,7647749.0,734593332.0,225137688.0,17735710.0,0.0,0.0,419851480,4128768,671809536,327680
11160699.0,7647749.0,734593332.0,225137688.0,17735710.0,0.0,0.0,419851480,4128768,671809536,327680
11153460.0,7687800.0,729798102.0,224616245.0,17975116.0,0.0,0.0,419937315,3670016,671612928,524288
11153460.0,7687800.0,729798102.0,224616245.0,17975116.0,0.0,0.0,419937315,3670016,671612928,524288
2960490.0,2132155.0,520190386.0,234861298.0,48633833.0,0.0,0.0,419776643,1245184,162004992,0
2960490.0,2132155.0,520190386.0,234861298.0,48633833.0,0.0,0.0,419776643,1245184,162004992,0
528797.0,522982.0,504384787.0,236392158.0,49202172.0,0.0,0.0,419940417,589824,45088768,0
528797.0,522982.0,504384787.0,236392158.0,49202172.0,0.0,0.0,419940417,589824,45088768,0
522719.0,519500.0,512610980.0,236348859.0,47986485.0,0.0,0.0,419965021,1638400,45613056,0
522719.0,519500.0,512610980.0,236348859.0,47986485.0,0.0,0.0,419965021,1638400,45613056,0
519336.0,521361.0,507920868.0,236391725.0,48673490.0,0.0,0.0,419843177,589824,44630016,0
519336.0,521361.0,507920868.0,236391725.0,48673490.0,0.0,0.0,419843177,589824,44630016,0
517349.0,495022.0,517632763.0,236404351.0,48310493.0,0.0,0.0,419900409,2228224,42270720,458752
517349.0,495022.0,517632763.0,236404351.0,48310493.0,0.0,0.0,419900409,2228224,42270720,458752
514193.0,514499.0,512227557.0,236574547.0,47309702.0,0.0,0.0,419909130,917504,48496640,0
514193.0,514499.0,512227557.0,236574547.0,47309702.0,0.0,0.0,419909130,917504,48496640,0
517986.0,518647.0,513150932.0,236319755.0,48194051.0,0.0,0.0,419848362,1441792,43646976,131072
517986.0,518647.0,513150932.0,236319755.0,48194051.0,0.0,0.0,419848362,1441792,43646976,131072
535419.0,484135.0,517840653.0,236582520.0,46145988.0,0.0,2.0,419720292,1441792,41615360,0
535419.0,484135.0,517840653.0,236582520.0,46145988.0,0.0,2.0,419720292,1441792,41615360,0
1741776.0,1650996.0,379751427.0,217093225.0,63261268.0,0.0,0.0,420020736,3014656,129499136,1048576
