category,ntail-sphinx,ferret
runtime,32.00365686416626,75.38213992118835
llc_references,262494272.0740741,107519253.96067417
llc_misses,57433700.074074075,41725909.901685394
instructions,11394825305.925924,21112048050.91292
cycles,13017391769.185184,14408556171.320225
stall_cycles,6587354896.629629,4215059136.573034
intra_coh,11333.185185185184,98613.42696629214
inter_coh,4.888888888888888,0.18258426966292135
wall_cycles,2116737712.6666667,2175639215.505618
llc_size,187551895.7037037,142635606.29213485
local_mem,1200520002.3703704,1008038486.2921348
remote_mem,4563247.407407408,10989245.84269663
