llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
16163686.0,8782704.0,3480369236.0,2392963765.0,1009414724.0,40210.0,0.0,880110776,19136512,1925840896,0
16163686.0,8782704.0,3480369236.0,2392963765.0,1009414724.0,40210.0,0.0,880110776,19136512,1925840896,0
50295465.0,25283525.0,2164624023.0,3222425976.0,2039374323.0,6639.0,0.0,419930770,41811968,913375232,5308416
50295465.0,25283525.0,2164624023.0,3222425976.0,2039374323.0,6639.0,0.0,419930770,41811968,913375232,5308416
56804456.0,22223116.0,2257307524.0,3239107730.0,1921029368.0,3431.0,0.0,419913173,41877504,560988160,0
56804456.0,22223116.0,2257307524.0,3239107730.0,1921029368.0,3431.0,0.0,419913173,41877504,560988160,0
64043837.0,20361594.0,2668020516.0,3478926142.0,1935210831.0,4895.0,0.0,420246385,41877504,420937728,0
64043837.0,20361594.0,2668020516.0,3478926142.0,1935210831.0,4895.0,0.0,420246385,41877504,420937728,0
72542033.0,21719253.0,3176645158.0,4017333204.0,2194483720.0,4455.0,0.0,419935088,41877504,472645632,2097152
72542033.0,21719253.0,3176645158.0,4017333204.0,2194483720.0,4455.0,0.0,419935088,41877504,472645632,2097152
78747055.0,19712865.0,3521398344.0,3997915195.0,2053850370.0,3778.0,0.0,420165789,41877504,482279424,1835008
78747055.0,19712865.0,3521398344.0,3997915195.0,2053850370.0,3778.0,0.0,420165789,41877504,482279424,1835008
84240171.0,19360708.0,3653101621.0,4079482385.0,2019210222.0,5092.0,0.0,420047012,41615360,340590592,2293760
84240171.0,19360708.0,3653101621.0,4079482385.0,2019210222.0,5092.0,0.0,420047012,41615360,340590592,2293760
80857749.0,20679462.0,3185916216.0,3987218365.0,2163907494.0,5132.0,0.0,419956039,41746432,426639360,1900544
80857749.0,20679462.0,3185916216.0,3987218365.0,2163907494.0,5132.0,0.0,419956039,41746432,426639360,1900544
64865930.0,29400121.0,2313181893.0,4069716997.0,2693460256.0,2846.0,1.0,420139238,41811968,875298816,5308416
64865930.0,29400121.0,2313181893.0,4069716997.0,2693460256.0,2846.0,1.0,420139238,41811968,875298816,5308416
78369610.0,24468370.0,2973467796.0,3997968060.0,2295853193.0,4880.0,0.0,420064449,41877504,514916352,1310720
78369610.0,24468370.0,2973467796.0,3997968060.0,2295853193.0,4880.0,0.0,420064449,41877504,514916352,1310720
75057426.0,24885867.0,2871861394.0,4032857825.0,2369782697.0,4691.0,0.0,420050836,41877504,497090560,0
75057426.0,24885867.0,2871861394.0,4032857825.0,2369782697.0,4691.0,0.0,420050836,41877504,497090560,0
76954668.0,23601140.0,3107551618.0,4006378284.0,2225154331.0,4172.0,0.0,420060534,41811968,481820672,1245184
76954668.0,23601140.0,3107551618.0,4006378284.0,2225154331.0,4172.0,0.0,420060534,41811968,481820672,1245184
76988335.0,18164416.0,3180273005.0,3781100229.0,1979562455.0,3721.0,0.0,419968661,41811968,335937536,1900544
76988335.0,18164416.0,3180273005.0,3781100229.0,1979562455.0,3721.0,0.0,419968661,41811968,335937536,1900544
63864355.0,13047360.0,2736179863.0,3112027857.0,1560693931.0,2730.0,0.0,420049339,31129600,254672896,3276800
63864355.0,13047360.0,2736179863.0,3112027857.0,1560693931.0,2730.0,0.0,420049339,31129600,254672896,3276800
67506842.0,11145701.0,3217265484.0,3195464518.0,1437820645.0,3221.0,3.0,419774296,22872064,235864064,0
67506842.0,11145701.0,3217265484.0,3195464518.0,1437820645.0,3221.0,3.0,419774296,22872064,235864064,0
57068668.0,8640872.0,2548229285.0,2549384996.0,1137137653.0,1348.0,4.0,419874322,26345472,142671872,1572864
57068668.0,8640872.0,2548229285.0,2549384996.0,1137137653.0,1348.0,4.0,419874322,26345472,142671872,1572864
56059853.0,10815178.0,2472216988.0,2706770916.0,1312705687.0,4152.0,6.0,419846784,27459584,286195712,1310720
56059853.0,10815178.0,2472216988.0,2706770916.0,1312705687.0,4152.0,6.0,419846784,27459584,286195712,1310720
66558731.0,15720217.0,3097501397.0,3515405335.0,1818621644.0,3191.0,1.0,419853406,25559040,429391872,983040
66558731.0,15720217.0,3097501397.0,3515405335.0,1818621644.0,3191.0,1.0,419853406,25559040,429391872,983040
44590835.0,9965184.0,1802289730.0,2158963402.0,1132202276.0,1799.0,3.0,419958861,26017792,235274240,1310720
44590835.0,9965184.0,1802289730.0,2158963402.0,1132202276.0,1799.0,3.0,419958861,26017792,235274240,1310720
53032286.0,12949764.0,2129296896.0,2623484417.0,1413985221.0,2671.0,3.0,420055909,25690112,392888320,3473408
53032286.0,12949764.0,2129296896.0,2623484417.0,1413985221.0,2671.0,3.0,420055909,25690112,392888320,3473408
58532457.0,21717233.0,2501923367.0,3624003820.0,2180739808.0,5408.0,1.0,420000563,33030144,690356224,2031616
58532457.0,21717233.0,2501923367.0,3624003820.0,2180739808.0,5408.0,1.0,420000563,33030144,690356224,2031616
71453163.0,22053564.0,3084326625.0,4099869674.0,2360862508.0,5915.0,1.0,419768381,31981568,575209472,1572864
71453163.0,22053564.0,3084326625.0,4099869674.0,2360862508.0,5915.0,1.0,419768381,31981568,575209472,1572864
70906818.0,20563447.0,3262084954.0,4064850293.0,2227116282.0,5698.0,0.0,420096271,36634624,612106240,655360
70906818.0,20563447.0,3262084954.0,4064850293.0,2227116282.0,5698.0,0.0,420096271,36634624,612106240,655360
72131106.0,15717961.0,3190233314.0,3692752248.0,1881850872.0,4673.0,3.0,420001750,37879808,381812736,2359296
72131106.0,15717961.0,3190233314.0,3692752248.0,1881850872.0,4673.0,3.0,420001750,37879808,381812736,2359296
68309558.0,19057934.0,3089031513.0,3855179771.0,2116107545.0,5074.0,0.0,419950839,36831232,510328832,0
68309558.0,19057934.0,3089031513.0,3855179771.0,2116107545.0,5074.0,0.0,419950839,36831232,510328832,0
61181970.0,19167676.0,2626071401.0,3536198771.0,1999482301.0,3544.0,3.0,419980792,37552128,539820032,2686976
61181970.0,19167676.0,2626071401.0,3536198771.0,1999482301.0,3544.0,3.0,419980792,37552128,539820032,2686976
66752503.0,20912930.0,2677205285.0,3766037566.0,2225548501.0,5235.0,1.0,420007366,35782656,553123840,2031616
66752503.0,20912930.0,2677205285.0,3766037566.0,2225548501.0,5235.0,1.0,420007366,35782656,553123840,2031616
71259246.0,17282903.0,3286655223.0,3895147716.0,2084290378.0,4720.0,3.0,420026724,36569088,470286336,655360
71259246.0,17282903.0,3286655223.0,3895147716.0,2084290378.0,4720.0,3.0,420026724,36569088,470286336,655360
61240086.0,18728739.0,2717828477.0,3522279964.0,1983065705.0,3586.0,1.0,419680297,35454976,468975616,0
61240086.0,18728739.0,2717828477.0,3522279964.0,1983065705.0,3586.0,1.0,419680297,35454976,468975616,0
71059637.0,13117381.0,3219104077.0,3529377272.0,1708804234.0,4371.0,1.0,420209537,34144256,329646080,3538944
71059637.0,13117381.0,3219104077.0,3529377272.0,1708804234.0,4371.0,1.0,420209537,34144256,329646080,3538944
53476800.0,10277700.0,2591734869.0,2673919621.0,1211785124.0,1784.0,1.0,419906949,34668544,221708288,0
53476800.0,10277700.0,2591734869.0,2673919621.0,1211785124.0,1784.0,1.0,419906949,34668544,221708288,0
48039862.0,10009138.0,2076504181.0,2382652518.0,1219703812.0,1654.0,0.0,419977012,32112640,214695936,851968
48039862.0,10009138.0,2076504181.0,2382652518.0,1219703812.0,1654.0,0.0,419977012,32112640,214695936,851968
45593160.0,8902925.0,2106320179.0,2341148991.0,1155189085.0,1276.0,0.0,419903288,31260672,158466048,327680
45593160.0,8902925.0,2106320179.0,2341148991.0,1155189085.0,1276.0,0.0,419903288,31260672,158466048,327680
45970225.0,6111592.0,2187849839.0,2185611453.0,978643153.0,1571.0,1.0,419909280,31522816,148373504,458752
45970225.0,6111592.0,2187849839.0,2185611453.0,978643153.0,1571.0,1.0,419909280,31522816,148373504,458752
34315793.0,6719329.0,1683916242.0,1778655412.0,850666098.0,366.0,3.0,419851197,37552128,178388992,720896
34315793.0,6719329.0,1683916242.0,1778655412.0,850666098.0,366.0,3.0,419851197,37552128,178388992,720896
41488777.0,8589888.0,1612356369.0,1916845650.0,989502615.0,709.0,1.0,419903376,36175872,160759808,1441792
41488777.0,8589888.0,1612356369.0,1916845650.0,989502615.0,709.0,1.0,419903376,36175872,160759808,1441792
58236724.0,16340777.0,2347581984.0,3103026437.0,1738821107.0,2842.0,3.0,419997536,40173568,371261440,2031616
58236724.0,16340777.0,2347581984.0,3103026437.0,1738821107.0,2842.0,3.0,419997536,40173568,371261440,2031616
60199762.0,26152734.0,2394436195.0,3853661861.0,2439358609.0,3766.0,0.0,419904018,38600704,655294464,3211264
60199762.0,26152734.0,2394436195.0,3853661861.0,2439358609.0,3766.0,0.0,419904018,38600704,655294464,3211264
67026885.0,22639865.0,2855933412.0,3897358190.0,2261381188.0,4110.0,1.0,420193814,38600704,562298880,0
67026885.0,22639865.0,2855933412.0,3897358190.0,2261381188.0,4110.0,1.0,420193814,38600704,562298880,0
67587773.0,11490222.0,3153992629.0,3278557467.0,1508842081.0,3171.0,6.0,419677139,38469632,258146304,0
67587773.0,11490222.0,3153992629.0,3278557467.0,1508842081.0,3171.0,6.0,419677139,38469632,258146304,0
50683376.0,5839495.0,2541688769.0,2384805342.0,973486151.0,640.0,0.0,419987148,36831232,86966272,524288
50683376.0,5839495.0,2541688769.0,2384805342.0,973486151.0,640.0,0.0,419987148,36831232,86966272,524288
37643772.0,4403784.0,1676409339.0,1623121527.0,674398626.0,171.0,3.0,419835185,32571392,48103424,196608
37643772.0,4403784.0,1676409339.0,1623121527.0,674398626.0,171.0,3.0,419835185,32571392,48103424,196608
43474210.0,5746420.0,1803473310.0,1821770042.0,803836877.0,742.0,1.0,419887324,40239104,111804416,786432
43474210.0,5746420.0,1803473310.0,1821770042.0,803836877.0,742.0,1.0,419887324,40239104,111804416,786432
66457730.0,11984875.0,2983707939.0,3131527916.0,1471629654.0,1723.0,1.0,419985248,41287680,166723584,786432
66457730.0,11984875.0,2983707939.0,3131527916.0,1471629654.0,1723.0,1.0,419985248,41287680,166723584,786432
58580830.0,14351068.0,2361860091.0,2912136243.0,1540777624.0,1847.0,0.0,419952540,40828928,242548736,393216
58580830.0,14351068.0,2361860091.0,2912136243.0,1540777624.0,1847.0,0.0,419952540,40828928,242548736,393216
66595110.0,15084472.0,2922997970.0,3428662029.0,1766023985.0,3174.0,1.0,419916115,41091072,251658240,589824
66595110.0,15084472.0,2922997970.0,3428662029.0,1766023985.0,3174.0,1.0,419916115,41091072,251658240,589824
61610924.0,10477664.0,2619327698.0,2837686207.0,1339805373.0,2009.0,1.0,420009755,39845888,166920192,524288
61610924.0,10477664.0,2619327698.0,2837686207.0,1339805373.0,2009.0,1.0,420009755,39845888,166920192,524288
59923881.0,13302412.0,2394408852.0,2870063991.0,1486771682.0,2190.0,3.0,420064612,41353216,216334336,720896
59923881.0,13302412.0,2394408852.0,2870063991.0,1486771682.0,2190.0,3.0,420064612,41353216,216334336,720896
57940719.0,13353761.0,2327311615.0,2928094100.0,1583142183.0,2435.0,1.0,419856799,40370176,146145280,1376256
57940719.0,13353761.0,2327311615.0,2928094100.0,1583142183.0,2435.0,1.0,419856799,40370176,146145280,1376256
54826474.0,8553241.0,2298448775.0,2382324120.0,1105840605.0,1792.0,1.0,419753009,40042496,116588544,0
54826474.0,8553241.0,2298448775.0,2382324120.0,1105840605.0,1792.0,1.0,419753009,40042496,116588544,0
49003270.0,5651687.0,2153352602.0,2063889328.0,852369249.0,449.0,0.0,419887120,38666240,46137344,65536
49003270.0,5651687.0,2153352602.0,2063889328.0,852369249.0,449.0,0.0,419887120,38666240,46137344,65536
49638057.0,4767550.0,2358757756.0,2064274618.0,780270565.0,270.0,0.0,419961907,36175872,53084160,65536
49638057.0,4767550.0,2358757756.0,2064274618.0,780270565.0,270.0,0.0,419961907,36175872,53084160,65536
51198127.0,6156506.0,2222006009.0,2128037609.0,901417248.0,579.0,3.0,419844793,37617664,105054208,458752
51198127.0,6156506.0,2222006009.0,2128037609.0,901417248.0,579.0,3.0,419844793,37617664,105054208,458752
45388592.0,12694015.0,1669230417.0,2320591734.0,1337501999.0,1064.0,0.0,419908422,38404096,195952640,1966080
45388592.0,12694015.0,1669230417.0,2320591734.0,1337501999.0,1064.0,0.0,419908422,38404096,195952640,1966080
53146863.0,10224751.0,2257356727.0,2509729826.0,1244852650.0,1427.0,0.0,419911632,39583744,146997248,0
53146863.0,10224751.0,2257356727.0,2509729826.0,1244852650.0,1427.0,0.0,419911632,39583744,146997248,0
51267162.0,8435790.0,2171744467.0,2315361044.0,1095727581.0,1101.0,1.0,419912010,39976960,96600064,917504
51267162.0,8435790.0,2171744467.0,2315361044.0,1095727581.0,1101.0,1.0,419912010,39976960,96600064,917504
43653119.0,8872483.0,1907879368.0,2096620300.0,1016725163.0,581.0,0.0,419930445,40566784,109510656,196608
43653119.0,8872483.0,1907879368.0,2096620300.0,1016725163.0,581.0,0.0,419930445,40566784,109510656,196608
63211688.0,6931686.0,2871717853.0,2695332455.0,1112580370.0,1272.0,0.0,419926302,39780352,103219200,1441792
63211688.0,6931686.0,2871717853.0,2695332455.0,1112580370.0,1272.0,0.0,419926302,39780352,103219200,1441792
60801151.0,8832422.0,2872783405.0,2846647706.0,1251772597.0,1171.0,0.0,420021153,40632320,111738880,0
60801151.0,8832422.0,2872783405.0,2846647706.0,1251772597.0,1171.0,0.0,420021153,40632320,111738880,0
52019133.0,5906549.0,2395938522.0,2254435844.0,918297810.0,778.0,4.0,419908551,39714816,71303168,131072
52019133.0,5906549.0,2395938522.0,2254435844.0,918297810.0,778.0,4.0,419908551,39714816,71303168,131072
33560279.0,3767531.0,1402928311.0,1331464754.0,544034989.0,221.0,3.0,419902035,38666240,67567616,851968
33560279.0,3767531.0,1402928311.0,1331464754.0,544034989.0,221.0,3.0,419902035,38666240,67567616,851968
43620103.0,8265860.0,1723561378.0,1942580647.0,962885156.0,589.0,1.0,419858103,38797312,103415808,196608
43620103.0,8265860.0,1723561378.0,1942580647.0,962885156.0,589.0,1.0,419858103,38797312,103415808,196608
33528278.0,8176424.0,1271384240.0,1580356129.0,835671664.0,216.0,0.0,419849843,37748736,68157440,0
33528278.0,8176424.0,1271384240.0,1580356129.0,835671664.0,216.0,0.0,419849843,37748736,68157440,0
49650583.0,8824837.0,2161462637.0,2246313095.0,1026653476.0,1233.0,0.0,419962030,39387136,131072000,851968
49650583.0,8824837.0,2161462637.0,2246313095.0,1026653476.0,1233.0,0.0,419962030,39387136,131072000,851968
55555332.0,12055738.0,2314709555.0,2724083702.0,1396678503.0,1559.0,0.0,419966808,38993920,174260224,1310720
55555332.0,12055738.0,2314709555.0,2724083702.0,1396678503.0,1559.0,0.0,419966808,38993920,174260224,1310720
55089507.0,9271698.0,2493458712.0,2658381346.0,1247245682.0,1271.0,1.0,419952085,40828928,147324928,262144
55089507.0,9271698.0,2493458712.0,2658381346.0,1247245682.0,1271.0,1.0,419952085,40828928,147324928,262144
64037681.0,15708901.0,2560709481.0,3154690909.0,1672076467.0,2797.0,1.0,420049175,41484288,238878720,4456448
64037681.0,15708901.0,2560709481.0,3154690909.0,1672076467.0,2797.0,1.0,420049175,41484288,238878720,4456448
70467620.0,18891776.0,2975399596.0,3723796498.0,2045818379.0,3661.0,3.0,420093288,41222144,382795776,0
70467620.0,18891776.0,2975399596.0,3723796498.0,2045818379.0,3661.0,3.0,420093288,41222144,382795776,0
66898097.0,21034730.0,2706379804.0,3762947150.0,2186011625.0,3644.0,1.0,420062511,41156608,409796608,0
66898097.0,21034730.0,2706379804.0,3762947150.0,2186011625.0,3644.0,1.0,420062511,41156608,409796608,0
73484589.0,14964699.0,3047972177.0,3488639419.0,1735239543.0,3293.0,1.0,420086610,40239104,227606528,1638400
73484589.0,14964699.0,3047972177.0,3488639419.0,1735239543.0,3293.0,1.0,420086610,40239104,227606528,1638400
70570315.0,13500808.0,3015830686.0,3324423194.0,1636528709.0,3285.0,1.0,419946780,37945344,240254976,0
70570315.0,13500808.0,3015830686.0,3324423194.0,1636528709.0,3285.0,1.0,419946780,37945344,240254976,0
61505060.0,8832213.0,2526668952.0,2670149660.0,1230789692.0,1086.0,0.0,419977446,37617664,104071168,655360
61505060.0,8832213.0,2526668952.0,2670149660.0,1230789692.0,1086.0,0.0,419977446,37617664,104071168,655360
63459564.0,7204334.0,2829253275.0,2632673141.0,1072452440.0,1101.0,1.0,419908685,39714816,116654080,1638400
63459564.0,7204334.0,2829253275.0,2632673141.0,1072452440.0,1101.0,1.0,419908685,39714816,116654080,1638400
46170806.0,4282354.0,2293183409.0,2018685660.0,761879443.0,176.0,3.0,419874462,34406400,42401792,0
46170806.0,4282354.0,2293183409.0,2018685660.0,761879443.0,176.0,3.0,419874462,34406400,42401792,0
35540736.0,3607414.0,1751165469.0,1509586371.0,555980676.0,106.0,1.0,419864776,35717120,69468160,0
35540736.0,3607414.0,1751165469.0,1509586371.0,555980676.0,106.0,1.0,419864776,35717120,69468160,0
25798089.0,3222589.0,1129442459.0,1084271334.0,449465582.0,31.0,0.0,419759187,35782656,32833536,327680
25798089.0,3222589.0,1129442459.0,1084271334.0,449465582.0,31.0,0.0,419759187,35782656,32833536,327680
37272164.0,5923555.0,1471243097.0,1562696814.0,725407046.0,294.0,1.0,420082884,38273024,94437376,65536
37272164.0,5923555.0,1471243097.0,1562696814.0,725407046.0,294.0,1.0,420082884,38273024,94437376,65536
48264024.0,6199873.0,2195118649.0,2056292018.0,836505234.0,633.0,0.0,419811123,39845888,86441984,655360
48264024.0,6199873.0,2195118649.0,2056292018.0,836505234.0,633.0,0.0,419811123,39845888,86441984,655360
33686013.0,6537204.0,1388933323.0,1548774846.0,747046388.0,649.0,0.0,419900517,40108032,59572224,0
33686013.0,6537204.0,1388933323.0,1548774846.0,747046388.0,649.0,0.0,419900517,40108032,59572224,0
40942777.0,9020893.0,1607383218.0,1944938339.0,1006102998.0,728.0,1.0,419958579,40566784,102760448,262144
40942777.0,9020893.0,1607383218.0,1944938339.0,1006102998.0,728.0,1.0,419958579,40566784,102760448,262144
48361341.0,7652335.0,2197652889.0,2184580389.0,949662810.0,779.0,0.0,419917173,40501248,96796672,1114112
