category,ntail-xapian,facesim
runtime,53.080156564712524,118.47326183319092
llc_references,35379972.96296296,128427317.59292036
llc_misses,11303280.329218106,33097073.743362833
instructions,3958759365.123457,19490936778.292038
cycles,2612052949.1563787,8056114686.902656
stall_cycles,781700184.8765433,1526378881.7522123
intra_coh,44937.92181069959,2130816.7345132744
inter_coh,89.65020576131687,1.0176991150442478
wall_cycles,2107753108.9711933,2144929094.0265486
llc_size,154040614.97942385,133430716.03539823
local_mem,49207287.57201646,2081195433.9115045
remote_mem,2135988.148148148,10663809.132743364
