llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
45945955.0,2604846.0,3792967576.0,3203029402.0,1230919531.0,13795236.0,0.0,819951324,27066368,702349312,3538944
45945955.0,2604846.0,3792967576.0,3203029402.0,1230919531.0,13795236.0,0.0,819951324,27066368,702349312,3538944
22244239.0,1533056.0,1797776518.0,1642517295.0,654612326.0,6811538.0,10.0,419849864,30277632,241565696,0
22244239.0,1533056.0,1797776518.0,1642517295.0,654612326.0,6811538.0,10.0,419849864,30277632,241565696,0
1346052.0,311583.0,43158264.0,141358140.0,82296042.0,7519.0,41.0,419714135,34275328,26148864,65536
1346052.0,311583.0,43158264.0,141358140.0,82296042.0,7519.0,41.0,419714135,34275328,26148864,65536
1369732.0,299358.0,42492504.0,142163386.0,83597245.0,9130.0,13.0,419814677,37158912,21168128,65536
1369732.0,299358.0,42492504.0,142163386.0,83597245.0,9130.0,13.0,419814677,37158912,21168128,65536
1344975.0,301115.0,43738703.0,144012628.0,83864808.0,9203.0,7.0,419820167,37552128,22216704,0
1344975.0,301115.0,43738703.0,144012628.0,83864808.0,9203.0,7.0,419820167,37552128,22216704,0
1392166.0,299077.0,43857448.0,145718433.0,85689199.0,8773.0,8.0,419873664,37486592,23789568,65536
1392166.0,299077.0,43857448.0,145718433.0,85689199.0,8773.0,8.0,419873664,37486592,23789568,65536
1355331.0,297208.0,44099082.0,142339587.0,82808363.0,7088.0,6.0,419899431,37683200,29949952,65536
1355331.0,297208.0,44099082.0,142339587.0,82808363.0,7088.0,6.0,419899431,37683200,29949952,65536
1333745.0,313037.0,43430496.0,148104741.0,87941571.0,8265.0,6.0,419950766,37093376,27394048,0
1333745.0,313037.0,43430496.0,148104741.0,87941571.0,8265.0,6.0,419950766,37093376,27394048,0
1357443.0,312777.0,45274215.0,153952593.0,91194193.0,9531.0,17.0,419928339,37421056,26411008,0
1357443.0,312777.0,45274215.0,153952593.0,91194193.0,9531.0,17.0,419928339,37421056,26411008,0
1336947.0,305598.0,44572239.0,150208092.0,88871093.0,8999.0,8.0,419854923,37158912,25165824,131072
1336947.0,305598.0,44572239.0,150208092.0,88871093.0,8999.0,8.0,419854923,37158912,25165824,131072
1340319.0,326954.0,44165570.0,149405241.0,88843729.0,8847.0,14.0,419982234,34996224,26935296,0
1340319.0,326954.0,44165570.0,149405241.0,88843729.0,8847.0,14.0,419982234,34996224,26935296,0
1393652.0,408718.0,44679844.0,156148748.0,95235261.0,7765.0,1.0,419877759,20185088,59703296,131072
1393652.0,408718.0,44679844.0,156148748.0,95235261.0,7765.0,1.0,419877759,20185088,59703296,131072
1481090.0,502432.0,49100032.0,166720014.0,99843493.0,6629.0,4.0,419902924,23724032,40894464,65536
1481090.0,502432.0,49100032.0,166720014.0,99843493.0,6629.0,4.0,419902924,23724032,40894464,65536
1479113.0,479051.0,47810093.0,165989251.0,100650738.0,8676.0,11.0,419994855,13238272,41287680,131072
1479113.0,479051.0,47810093.0,165989251.0,100650738.0,8676.0,11.0,419994855,13238272,41287680,131072
909458.0,330481.0,28670200.0,100248987.0,59285458.0,5408.0,10.0,419707589,11862016,37224448,196608
909458.0,330481.0,28670200.0,100248987.0,59285458.0,5408.0,10.0,419707589,11862016,37224448,196608
911806.0,339197.0,28776284.0,97401526.0,57397622.0,5903.0,11.0,419924214,16121856,46465024,0
911806.0,339197.0,28776284.0,97401526.0,57397622.0,5903.0,11.0,419924214,16121856,46465024,0
781119.0,257127.0,24085293.0,81429736.0,48918171.0,5437.0,12.0,419880143,20381696,23396352,196608
781119.0,257127.0,24085293.0,81429736.0,48918171.0,5437.0,12.0,419880143,20381696,23396352,196608
867861.0,262559.0,26913498.0,90632564.0,52687365.0,5903.0,12.0,420033349,21692416,24772608,0
867861.0,262559.0,26913498.0,90632564.0,52687365.0,5903.0,12.0,420033349,21692416,24772608,0
896956.0,295240.0,28800752.0,92608225.0,53647402.0,5455.0,9.0,419597472,18415616,59113472,1245184
896956.0,295240.0,28800752.0,92608225.0,53647402.0,5455.0,9.0,419597472,18415616,59113472,1245184
956116.0,323067.0,30695597.0,100575840.0,59064234.0,7790.0,18.0,419714887,20512768,63438848,0
956116.0,323067.0,30695597.0,100575840.0,59064234.0,7790.0,18.0,419714887,20512768,63438848,0
840176.0,284884.0,25738052.0,88033774.0,52811634.0,6572.0,12.0,420029778,18874368,70713344,655360
840176.0,284884.0,25738052.0,88033774.0,52811634.0,6572.0,12.0,420029778,18874368,70713344,655360
796751.0,274031.0,25106926.0,88686740.0,53604469.0,5955.0,10.0,419767180,18808832,85393408,0
796751.0,274031.0,25106926.0,88686740.0,53604469.0,5955.0,10.0,419767180,18808832,85393408,0
844355.0,270619.0,26637537.0,90082320.0,53592079.0,6407.0,7.0,419600925,22544384,60489728,0
844355.0,270619.0,26637537.0,90082320.0,53592079.0,6407.0,7.0,419600925,22544384,60489728,0
901552.0,277408.0,29726610.0,94358629.0,54685780.0,6154.0,9.0,419697486,23199744,31653888,327680
901552.0,277408.0,29726610.0,94358629.0,54685780.0,6154.0,9.0,419697486,23199744,31653888,327680
1043546.0,295863.0,32363441.0,105840273.0,61798407.0,7062.0,24.0,419754216,22544384,23527424,589824
1043546.0,295863.0,32363441.0,105840273.0,61798407.0,7062.0,24.0,419754216,22544384,23527424,589824
763603.0,216348.0,24113809.0,81876471.0,47749148.0,5010.0,18.0,419872474,22872064,27328512,0
763603.0,216348.0,24113809.0,81876471.0,47749148.0,5010.0,18.0,419872474,22872064,27328512,0
912085.0,261349.0,28236694.0,94793986.0,55432932.0,5539.0,19.0,419612375,23527424,36569088,262144
912085.0,261349.0,28236694.0,94793986.0,55432932.0,5539.0,19.0,419612375,23527424,36569088,262144
760293.0,221948.0,25345034.0,81427153.0,47542368.0,5424.0,25.0,419745368,24051712,18087936,0
760293.0,221948.0,25345034.0,81427153.0,47542368.0,5424.0,25.0,419745368,24051712,18087936,0
842226.0,228960.0,25983639.0,87207226.0,51639429.0,5644.0,21.0,419690137,24379392,19857408,65536
842226.0,228960.0,25983639.0,87207226.0,51639429.0,5644.0,21.0,419690137,24379392,19857408,65536
914992.0,264889.0,29682181.0,98747248.0,57775338.0,5949.0,25.0,419786088,24379392,25952256,0
914992.0,264889.0,29682181.0,98747248.0,57775338.0,5949.0,25.0,419786088,24379392,25952256,0
1141023.0,314156.0,35013466.0,120687371.0,72049122.0,8776.0,20.0,419813212,24641536,39976960,524288
1141023.0,314156.0,35013466.0,120687371.0,72049122.0,8776.0,20.0,419813212,24641536,39976960,524288
880952.0,250194.0,27991590.0,93194131.0,54286598.0,5954.0,13.0,419784806,25100288,38010880,0
880952.0,250194.0,27991590.0,93194131.0,54286598.0,5954.0,13.0,419784806,25100288,38010880,0
952685.0,265033.0,30824319.0,102233828.0,60918957.0,6297.0,22.0,419698622,26017792,32112640,0
952685.0,265033.0,30824319.0,102233828.0,60918957.0,6297.0,22.0,419698622,26017792,32112640,0
1084473.0,288059.0,32895035.0,114758048.0,68545747.0,7434.0,12.0,419856346,26279936,25886720,0
1084473.0,288059.0,32895035.0,114758048.0,68545747.0,7434.0,12.0,419856346,26279936,25886720,0
834333.0,224454.0,25889398.0,88360781.0,52342828.0,5718.0,14.0,419904540,26738688,20119552,0
834333.0,224454.0,25889398.0,88360781.0,52342828.0,5718.0,14.0,419904540,26738688,20119552,0
880772.0,247397.0,27877601.0,95340466.0,57387568.0,5543.0,15.0,419735205,27328512,23199744,196608
880772.0,247397.0,27877601.0,95340466.0,57387568.0,5543.0,15.0,419735205,27328512,23199744,196608
964306.0,263966.0,30180607.0,102446946.0,61865062.0,6134.0,5.0,419815233,26738688,20578304,0
964306.0,263966.0,30180607.0,102446946.0,61865062.0,6134.0,5.0,419815233,26738688,20578304,0
905024.0,246247.0,28451402.0,97783950.0,58919802.0,5894.0,7.0,419622504,26673152,24576000,65536
905024.0,246247.0,28451402.0,97783950.0,58919802.0,5894.0,7.0,419622504,26673152,24576000,65536
847378.0,225085.0,26229548.0,89932036.0,53675521.0,5228.0,9.0,419702943,26804224,31588352,393216
847378.0,225085.0,26229548.0,89932036.0,53675521.0,5228.0,9.0,419702943,26804224,31588352,393216
951652.0,264607.0,29454603.0,102295362.0,61748423.0,6001.0,18.0,419787123,27262976,44695552,0
951652.0,264607.0,29454603.0,102295362.0,61748423.0,6001.0,18.0,419787123,27262976,44695552,0
947888.0,257680.0,29169153.0,101346962.0,61140849.0,5972.0,19.0,419692938,27787264,29163520,0
947888.0,257680.0,29169153.0,101346962.0,61140849.0,5972.0,19.0,419692938,27787264,29163520,0
797919.0,220031.0,25808257.0,86841096.0,52153975.0,5737.0,22.0,419655363,28377088,20709376,393216
797919.0,220031.0,25808257.0,86841096.0,52153975.0,5737.0,22.0,419655363,28377088,20709376,393216
886865.0,247231.0,28184843.0,99251693.0,59895806.0,5631.0,16.0,419835660,28639232,26279936,0
886865.0,247231.0,28184843.0,99251693.0,59895806.0,5631.0,16.0,419835660,28639232,26279936,0
932379.0,248497.0,28295141.0,99008142.0,59380410.0,6121.0,14.0,419841912,29097984,16187392,0
932379.0,248497.0,28295141.0,99008142.0,59380410.0,6121.0,14.0,419841912,29097984,16187392,0
875258.0,236228.0,27356896.0,96700025.0,57990091.0,6429.0,8.0,419870507,29491200,21495808,131072
875258.0,236228.0,27356896.0,96700025.0,57990091.0,6429.0,8.0,419870507,29491200,21495808,131072
964996.0,244533.0,29366332.0,102283812.0,61405464.0,6455.0,17.0,419835815,30932992,17498112,0
964996.0,244533.0,29366332.0,102283812.0,61405464.0,6455.0,17.0,419835815,30932992,17498112,0
946553.0,228700.0,29391168.0,101119203.0,61063209.0,6043.0,11.0,419792289,33357824,14876672,0
946553.0,228700.0,29391168.0,101119203.0,61063209.0,6043.0,11.0,419792289,33357824,14876672,0
818144.0,196860.0,25259300.0,86900772.0,51933706.0,5171.0,12.0,419801351,34340864,9961472,0
818144.0,196860.0,25259300.0,86900772.0,51933706.0,5171.0,12.0,419801351,34340864,9961472,0
1051885.0,246397.0,30453666.0,105623971.0,64085861.0,6260.0,5.0,419606246,35454976,18219008,0
