category,ntail-moses,canneal
runtime,75.86481785774231,126.85935187339783
llc_references,26606785.62849162,7146930.33457249
llc_misses,16256903.882681563,5567793.234200743
instructions,1049705648.3240223,450003765.98513013
cycles,836407364.3575419,1156066240.7992566
stall_cycles,382223982.02513963,871701730.2973979
intra_coh,542141.7597765364,0.0
inter_coh,90.5586592178771,0.018587360594795536
wall_cycles,2104600327.877095,4830572651.524163
llc_size,189611391.28491622,10307911.375464683
local_mem,1523285466.8156424,288041683.2713754
remote_mem,17425619.66480447,620033.9033457249
