category,ntail-moses,facesim
runtime,75.87099170684814,165.08611226081848
llc_references,26666683.473389354,5016518.75
llc_misses,16151998.053221289,4603546.875
instructions,1052246408.5714285,1516077224.375
cycles,830139489.0756303,1121913377.5
stall_cycles,375681712.10084033,369490631.875
intra_coh,561407.1708683473,0.0
inter_coh,82.40896358543417,0.0
wall_cycles,2104184537.2969186,2277082381.25
llc_size,189415561.6806723,8478720.0
local_mem,1318667846.27451,498647040.0
remote_mem,13842414.789915968,3727360.0
