llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
18280158.0,10171400.0,2750299916.0,2327256279.0,1180640312.0,24564.0,0.0,893292560,38731776,1908408320,0
18280158.0,10171400.0,2750299916.0,2327256279.0,1180640312.0,24564.0,0.0,893292560,38731776,1908408320,0
35555824.0,9059667.0,2684822180.0,2314381128.0,1088233093.0,3042.0,0.0,420043680,39976960,514588672,7798784
35555824.0,9059667.0,2684822180.0,2314381128.0,1088233093.0,3042.0,0.0,420043680,39976960,514588672,7798784
57875821.0,15192302.0,2234079977.0,2703825719.0,1416663906.0,2985.0,0.0,419915958,40304640,777650176,0
57875821.0,15192302.0,2234079977.0,2703825719.0,1416663906.0,2985.0,0.0,419915958,40304640,777650176,0
57431622.0,22816141.0,2281752930.0,3279896386.0,1960086232.0,3416.0,0.0,419770827,40370176,1303642112,5373952
57431622.0,22816141.0,2281752930.0,3279896386.0,1960086232.0,3416.0,0.0,419770827,40370176,1303642112,5373952
72304960.0,18534890.0,2978190085.0,3275688419.0,1584375626.0,5411.0,0.0,419958742,40632320,898957312,1900544
72304960.0,18534890.0,2978190085.0,3275688419.0,1584375626.0,5411.0,0.0,419958742,40632320,898957312,1900544
70332804.0,17566652.0,3199049505.0,3291107431.0,1506148817.0,5530.0,0.0,419674258,40304640,830537728,0
70332804.0,17566652.0,3199049505.0,3291107431.0,1506148817.0,5530.0,0.0,419674258,40304640,830537728,0
69895398.0,18574489.0,3035135564.0,3226695468.0,1555867156.0,4939.0,0.0,419974237,40042496,939982848,0
69895398.0,18574489.0,3035135564.0,3226695468.0,1555867156.0,4939.0,0.0,419974237,40042496,939982848,0
71058100.0,18789447.0,2793417341.0,3195718292.0,1587741745.0,4720.0,0.0,419765052,39649280,976748544,2228224
71058100.0,18789447.0,2793417341.0,3195718292.0,1587741745.0,4720.0,0.0,419765052,39649280,976748544,2228224
70027357.0,16850787.0,2749038767.0,3040675461.0,1491055827.0,4562.0,0.0,420045822,40173568,959315968,0
70027357.0,16850787.0,2749038767.0,3040675461.0,1491055827.0,4562.0,0.0,420045822,40173568,959315968,0
53633328.0,18255417.0,1920626633.0,2514355733.0,1425773897.0,1774.0,0.0,419560481,39714816,958464000,0
53633328.0,18255417.0,1920626633.0,2514355733.0,1425773897.0,1774.0,0.0,419560481,39714816,958464000,0
55892938.0,14394120.0,2121187820.0,2410769296.0,1229762490.0,2415.0,0.0,420086103,38862848,597622784,8323072
55892938.0,14394120.0,2121187820.0,2410769296.0,1229762490.0,2415.0,0.0,420086103,38862848,597622784,8323072
61266647.0,17917096.0,2461242893.0,2912677706.0,1499654220.0,4076.0,0.0,420002289,39124992,804782080,3735552
61266647.0,17917096.0,2461242893.0,2912677706.0,1499654220.0,4076.0,0.0,420002289,39124992,804782080,3735552
65974898.0,21990549.0,2596560747.0,3321603106.0,1807608784.0,4694.0,0.0,419948802,36896768,1164050432,0
65974898.0,21990549.0,2596560747.0,3321603106.0,1807608784.0,4694.0,0.0,419948802,36896768,1164050432,0
64207530.0,20331073.0,2713876456.0,3245638601.0,1689100281.0,6037.0,0.0,420134169,35520512,1072824320,0
64207530.0,20331073.0,2713876456.0,3245638601.0,1689100281.0,6037.0,0.0,420134169,35520512,1072824320,0
57457952.0,17605729.0,2587248755.0,2965267391.0,1478124220.0,4329.0,0.0,419456709,35389440,853016576,0
57457952.0,17605729.0,2587248755.0,2965267391.0,1478124220.0,4329.0,0.0,419456709,35389440,853016576,0
49593428.0,7111108.0,2187548602.0,2083578150.0,871109113.0,1246.0,0.0,420732151,35127296,256573440,7536640
49593428.0,7111108.0,2187548602.0,2083578150.0,871109113.0,1246.0,0.0,420732151,35127296,256573440,7536640
48556043.0,8495938.0,2135043982.0,2094997930.0,897865777.0,1634.0,0.0,418467077,35520512,289013760,0
48556043.0,8495938.0,2135043982.0,2094997930.0,897865777.0,1634.0,0.0,418467077,35520512,289013760,0
49158809.0,6038672.0,2215091873.0,1954387926.0,717444876.0,850.0,0.0,420220906,34734080,181141504,393216
49158809.0,6038672.0,2215091873.0,1954387926.0,717444876.0,850.0,0.0,420220906,34734080,181141504,393216
38226272.0,3908824.0,1751727711.0,1483108335.0,519099420.0,150.0,0.0,419763925,33292288,64356352,1179648
38226272.0,3908824.0,1751727711.0,1483108335.0,519099420.0,150.0,0.0,419763925,33292288,64356352,1179648
40067913.0,5961751.0,1750301041.0,1639934816.0,668181631.0,876.0,0.0,419278062,33488896,181207040,589824
40067913.0,5961751.0,1750301041.0,1639934816.0,668181631.0,876.0,0.0,419278062,33488896,181207040,589824
57279789.0,9632983.0,2681121376.0,2555303839.0,1082298761.0,2308.0,3.0,419900180,33423360,439156736,9699328
57279789.0,9632983.0,2681121376.0,2555303839.0,1082298761.0,2308.0,3.0,419900180,33423360,439156736,9699328
61430201.0,13671170.0,2898349913.0,2861968021.0,1300188819.0,3842.0,1.0,420123319,33488896,607911936,0
61430201.0,13671170.0,2898349913.0,2861968021.0,1300188819.0,3842.0,1.0,420123319,33488896,607911936,0
40911917.0,9000308.0,1594280557.0,1781687842.0,885449433.0,1159.0,1.0,420416773,33357824,358023168,4194304
40911917.0,9000308.0,1594280557.0,1781687842.0,885449433.0,1159.0,1.0,420416773,33357824,358023168,4194304
47742290.0,16678891.0,1867209699.0,2401610144.0,1325200252.0,3113.0,0.0,419833407,31260672,824639488,9764864
47742290.0,16678891.0,1867209699.0,2401610144.0,1325200252.0,3113.0,0.0,419833407,31260672,824639488,9764864
55650062.0,22176358.0,2361935374.0,3129493897.0,1751752868.0,6493.0,0.0,419661130,31391744,1258225664,0
55650062.0,22176358.0,2361935374.0,3129493897.0,1751752868.0,6493.0,0.0,419661130,31391744,1258225664,0
56163310.0,23126386.0,2340119101.0,3272252847.0,1938420784.0,5968.0,0.0,420257768,31391744,1370816512,0
56163310.0,23126386.0,2340119101.0,3272252847.0,1938420784.0,5968.0,0.0,420257768,31391744,1370816512,0
61258547.0,20079328.0,2804854463.0,3279414229.0,1684227064.0,6663.0,1.0,420589869,31457280,1183645696,10027008
61258547.0,20079328.0,2804854463.0,3279414229.0,1684227064.0,6663.0,1.0,420589869,31457280,1183645696,10027008
64738137.0,20287308.0,2719564564.0,3292221019.0,1737805366.0,8142.0,1.0,419069385,31457280,1165361152,0
64738137.0,20287308.0,2719564564.0,3292221019.0,1737805366.0,8142.0,1.0,419069385,31457280,1165361152,0
61219110.0,19168349.0,2800008400.0,3290087986.0,1719829698.0,5016.0,1.0,420170303,29491200,1197015040,10682368
61219110.0,19168349.0,2800008400.0,3290087986.0,1719829698.0,5016.0,1.0,420170303,29491200,1197015040,10682368
58810174.0,22118250.0,2654173464.0,3298578719.0,1801777468.0,8597.0,0.0,419371358,29229056,1359806464,0
58810174.0,22118250.0,2654173464.0,3298578719.0,1801777468.0,8597.0,0.0,419371358,29229056,1359806464,0
53527776.0,26601930.0,2093407201.0,3287939989.0,2067034194.0,6809.0,0.0,419851019,29229056,1584529408,1572864
53527776.0,26601930.0,2093407201.0,3287939989.0,2067034194.0,6809.0,0.0,419851019,29229056,1584529408,1572864
57991161.0,23645901.0,2398479694.0,3305296267.0,1906693653.0,6587.0,0.0,419856744,29360128,1328414720,0
57991161.0,23645901.0,2398479694.0,3305296267.0,1906693653.0,6587.0,0.0,419856744,29360128,1328414720,0
59532959.0,21991584.0,2599691725.0,3307355516.0,1807338677.0,7389.0,0.0,419929597,29097984,1266679808,2097152
59532959.0,21991584.0,2599691725.0,3307355516.0,1807338677.0,7389.0,0.0,419929597,29097984,1266679808,2097152
59424477.0,20662277.0,2768865409.0,3245281111.0,1688591523.0,7136.0,0.0,419758862,29360128,1153433600,0
59424477.0,20662277.0,2768865409.0,3245281111.0,1688591523.0,7136.0,0.0,419758862,29360128,1153433600,0
56851531.0,22964554.0,2411344508.0,3217804819.0,1829420202.0,7352.0,0.0,419961913,29294592,1302986752,65536
56851531.0,22964554.0,2411344508.0,3217804819.0,1829420202.0,7352.0,0.0,419961913,29294592,1302986752,65536
62429473.0,19137146.0,2916901889.0,3305324929.0,1691509528.0,8445.0,0.0,419885466,29360128,1136459776,589824
62429473.0,19137146.0,2916901889.0,3305324929.0,1691509528.0,8445.0,0.0,419885466,29360128,1136459776,589824
58098160.0,17474090.0,2631257312.0,3045837904.0,1554931675.0,6463.0,0.0,419866930,29229056,949420032,4325376
58098160.0,17474090.0,2631257312.0,3045837904.0,1554931675.0,6463.0,0.0,419866930,29229056,949420032,4325376
50510964.0,17056108.0,2186380441.0,2688536391.0,1437294943.0,4493.0,0.0,419851756,29294592,909312000,0
50510964.0,17056108.0,2186380441.0,2688536391.0,1437294943.0,4493.0,0.0,419851756,29294592,909312000,0
50100327.0,10699714.0,2334634936.0,2415634221.0,1114213868.0,2958.0,0.0,419882937,31326208,478150656,0
50100327.0,10699714.0,2334634936.0,2415634221.0,1114213868.0,2958.0,0.0,419882937,31326208,478150656,0
48121670.0,12465495.0,2271260064.0,2465260848.0,1174934032.0,3315.0,0.0,419900943,31391744,602144768,5636096
48121670.0,12465495.0,2271260064.0,2465260848.0,1174934032.0,3315.0,0.0,419900943,31391744,602144768,5636096
51588257.0,23123800.0,2072943001.0,2978273515.0,1755208120.0,3704.0,3.0,419876233,31457280,1379663872,2752512
51588257.0,23123800.0,2072943001.0,2978273515.0,1755208120.0,3704.0,3.0,419876233,31457280,1379663872,2752512
50753502.0,28389044.0,1927127144.0,3226027811.0,2052703507.0,4355.0,0.0,419918093,31391744,1725104128,3342336
50753502.0,28389044.0,1927127144.0,3226027811.0,2052703507.0,4355.0,0.0,419918093,31391744,1725104128,3342336
59861207.0,23018172.0,2568233621.0,3306065452.0,1856955288.0,6899.0,0.0,419937173,31457280,1458896896,0
59861207.0,23018172.0,2568233621.0,3306065452.0,1856955288.0,6899.0,0.0,419937173,31457280,1458896896,0
60486993.0,15393098.0,2674521490.0,2932893383.0,1423460512.0,5581.0,0.0,419993211,33423360,807731200,0
60486993.0,15393098.0,2674521490.0,2932893383.0,1423460512.0,5581.0,0.0,419993211,33423360,807731200,0
59768176.0,9986026.0,2846566286.0,2695407453.0,1116996070.0,2810.0,0.0,419866416,33423360,362283008,589824
59768176.0,9986026.0,2846566286.0,2695407453.0,1116996070.0,2810.0,0.0,419866416,33423360,362283008,589824
44340973.0,8550682.0,1811835326.0,1924423321.0,896985980.0,1396.0,3.0,419766713,33488896,297271296,917504
44340973.0,8550682.0,1811835326.0,1924423321.0,896985980.0,1396.0,3.0,419766713,33488896,297271296,917504
54680364.0,12539623.0,2347493723.0,2500624724.0,1191895099.0,3428.0,1.0,419775916,33488896,603848704,0
54680364.0,12539623.0,2347493723.0,2500624724.0,1191895099.0,3428.0,1.0,419775916,33488896,603848704,0
62862622.0,17221574.0,2643700036.0,3012329807.0,1512700861.0,5866.0,0.0,419863087,33488896,924647424,983040
62862622.0,17221574.0,2643700036.0,3012329807.0,1512700861.0,5866.0,0.0,419863087,33488896,924647424,983040
60758937.0,20559087.0,2590648259.0,3212844659.0,1721412818.0,5796.0,1.0,420086464,34799616,1158479872,0
60758937.0,20559087.0,2590648259.0,3212844659.0,1721412818.0,5796.0,1.0,420086464,34799616,1158479872,0
67332154.0,17713504.0,2939083156.0,3288819203.0,1648902691.0,5933.0,1.0,419950699,35323904,1011220480,2424832
67332154.0,17713504.0,2939083156.0,3288819203.0,1648902691.0,5933.0,1.0,419950699,35323904,1011220480,2424832
62558829.0,15007337.0,2813503444.0,3004778107.0,1438809280.0,4325.0,1.0,419724025,35192832,789250048,0
62558829.0,15007337.0,2813503444.0,3004778107.0,1438809280.0,4325.0,1.0,419724025,35192832,789250048,0
