llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
17873805.0,8543031.0,3095519021.0,2406282229.0,1131010531.0,25265.0,0.0,857845261,41353216,1811415040,4194304
17873805.0,8543031.0,3095519021.0,2406282229.0,1131010531.0,25265.0,0.0,857845261,41353216,1811415040,4194304
38652837.0,10265924.0,2362037297.0,2226064492.0,1084652689.0,2377.0,1.0,420879543,41680896,518258688,0
38652837.0,10265924.0,2362037297.0,2226064492.0,1084652689.0,2377.0,1.0,420879543,41680896,518258688,0
59773234.0,14459107.0,2325703161.0,2688587048.0,1340920758.0,3190.0,0.0,419942145,41877504,741474304,11927552
59773234.0,14459107.0,2325703161.0,2688587048.0,1340920758.0,3190.0,0.0,419942145,41877504,741474304,11927552
55437661.0,25104908.0,2143686982.0,3283021024.0,2016855117.0,3446.0,0.0,420085603,41746432,1634205696,8060928
55437661.0,25104908.0,2143686982.0,3283021024.0,2016855117.0,3446.0,0.0,420085603,41746432,1634205696,8060928
71806335.0,18202723.0,3025508206.0,3288636981.0,1583115482.0,4923.0,0.0,419820751,41287680,1030356992,0
71806335.0,18202723.0,3025508206.0,3288636981.0,1583115482.0,4923.0,0.0,419820751,41287680,1030356992,0
71673041.0,15961275.0,3295923209.0,3295934642.0,1484881999.0,4202.0,1.0,420452753,41680896,879689728,0
71673041.0,15961275.0,3295923209.0,3295934642.0,1484881999.0,4202.0,1.0,420452753,41680896,879689728,0
68699530.0,16704406.0,2981154487.0,3120556144.0,1473740212.0,4674.0,0.0,419720098,41615360,911081472,6291456
68699530.0,16704406.0,2981154487.0,3120556144.0,1473740212.0,4674.0,0.0,419720098,41615360,911081472,6291456
66799240.0,21443597.0,2635430185.0,3236030585.0,1705978769.0,5836.0,0.0,419411944,41549824,1239482368,4456448
66799240.0,21443597.0,2635430185.0,3236030585.0,1705978769.0,5836.0,0.0,419411944,41549824,1239482368,4456448
65640552.0,17033933.0,2625896785.0,2933394516.0,1436371929.0,3673.0,0.0,419795726,41680896,885260288,0
65640552.0,17033933.0,2625896785.0,2933394516.0,1436371929.0,3673.0,0.0,419795726,41680896,885260288,0
53379657.0,14299122.0,2133297146.0,2510628218.0,1286228950.0,1851.0,0.0,420341278,41091072,884080640,4653056
53379657.0,14299122.0,2133297146.0,2510628218.0,1286228950.0,1851.0,0.0,420341278,41091072,884080640,4653056
52033383.0,13044547.0,2006546257.0,2269043702.0,1103586858.0,2255.0,0.0,419335035,41549824,631111680,0
52033383.0,13044547.0,2006546257.0,2269043702.0,1103586858.0,2255.0,0.0,419335035,41549824,631111680,0
58565776.0,14591607.0,2400063888.0,2697305561.0,1326327166.0,2728.0,0.0,420139825,41418752,767492096,13565952
58565776.0,14591607.0,2400063888.0,2697305561.0,1326327166.0,2728.0,0.0,420139825,41418752,767492096,13565952
57880560.0,23185745.0,2211580285.0,3135235727.0,1827226385.0,4539.0,3.0,420614733,38338560,1466236928,0
57880560.0,23185745.0,2211580285.0,3135235727.0,1827226385.0,4539.0,3.0,420614733,38338560,1466236928,0
62912341.0,19669962.0,2680002165.0,3238133832.0,1697063554.0,6642.0,0.0,419890184,36962304,1014104064,0
62912341.0,19669962.0,2680002165.0,3238133832.0,1697063554.0,6642.0,0.0,419890184,36962304,1014104064,0
58442628.0,15927091.0,2739139921.0,2973443617.0,1424892696.0,4507.0,0.0,419972000,36372480,789839872,0
58442628.0,15927091.0,2739139921.0,2973443617.0,1424892696.0,4507.0,0.0,419972000,36372480,789839872,0
48723507.0,7534654.0,2144629318.0,2080871235.0,883644957.0,1535.0,0.0,419148184,35979264,302448640,655360
48723507.0,7534654.0,2144629318.0,2080871235.0,883644957.0,1535.0,0.0,419148184,35979264,302448640,655360
50578659.0,7840121.0,2225824122.0,2117478212.0,874648064.0,1117.0,0.0,420013825,35782656,226623488,0
50578659.0,7840121.0,2225824122.0,2117478212.0,874648064.0,1117.0,0.0,420013825,35782656,226623488,0
47349951.0,5947810.0,2220326654.0,1941357765.0,727484463.0,1013.0,4.0,422237235,34865152,150405120,524288
47349951.0,5947810.0,2220326654.0,1941357765.0,727484463.0,1013.0,4.0,422237235,34865152,150405120,524288
36129556.0,3771298.0,1727031813.0,1464505035.0,515804633.0,229.0,0.0,417598496,34013184,56360960,131072
36129556.0,3771298.0,1727031813.0,1464505035.0,515804633.0,229.0,0.0,417598496,34013184,56360960,131072
40451900.0,6148107.0,1719810860.0,1640534992.0,688178670.0,749.0,0.0,421370418,33947648,178192384,1048576
40451900.0,6148107.0,1719810860.0,1640534992.0,688178670.0,749.0,0.0,421370418,33947648,178192384,1048576
57462514.0,9970613.0,2700943633.0,2549162635.0,1069390179.0,2895.0,1.0,419485185,33751040,380764160,6029312
57462514.0,9970613.0,2700943633.0,2549162635.0,1069390179.0,2895.0,1.0,419485185,33751040,380764160,6029312
59660087.0,14695070.0,2693908975.0,2829325929.0,1339822952.0,3678.0,1.0,419102698,33685504,740884480,0
59660087.0,14695070.0,2693908975.0,2829325929.0,1339822952.0,3678.0,1.0,419102698,33685504,740884480,0
41308306.0,8748152.0,1666003425.0,1781385404.0,834391303.0,1025.0,3.0,419755819,33619968,307298304,1441792
41308306.0,8748152.0,1666003425.0,1781385404.0,834391303.0,1025.0,3.0,419755819,33619968,307298304,1441792
49143512.0,15238767.0,1931625131.0,2388561242.0,1281947090.0,2036.0,0.0,420178843,32964608,760610816,5111808
49143512.0,15238767.0,1931625131.0,2388561242.0,1281947090.0,2036.0,0.0,420178843,32964608,760610816,5111808
55500583.0,22505859.0,2351637640.0,3132925932.0,1770892052.0,4936.0,1.0,419860686,32899072,1328283648,4980736
55500583.0,22505859.0,2351637640.0,3132925932.0,1770892052.0,4936.0,1.0,419860686,32899072,1328283648,4980736
57918798.0,22668533.0,2558434089.0,3302899652.0,1843011353.0,6023.0,0.0,419976326,32505856,1451556864,0
57918798.0,22668533.0,2558434089.0,3302899652.0,1843011353.0,6023.0,0.0,419976326,32505856,1451556864,0
63132379.0,21118905.0,2821358931.0,3298938215.0,1731237460.0,5812.0,0.0,420134260,32571392,1173487616,3473408
63132379.0,21118905.0,2821358931.0,3298938215.0,1731237460.0,5812.0,0.0,420134260,32571392,1173487616,3473408
63762334.0,19457483.0,2952729270.0,3331752070.0,1699906461.0,7080.0,0.0,419953016,32374784,1073676288,0
63762334.0,19457483.0,2952729270.0,3331752070.0,1699906461.0,7080.0,0.0,419953016,32374784,1073676288,0
58747116.0,20918624.0,2612784104.0,3261337735.0,1784547397.0,5506.0,1.0,420026908,31653888,1291976704,7208960
58747116.0,20918624.0,2612784104.0,3261337735.0,1784547397.0,5506.0,1.0,420026908,31653888,1291976704,7208960
57022289.0,21188886.0,2550473263.0,3179149548.0,1735711664.0,6192.0,0.0,419965245,31457280,1360855040,0
57022289.0,21188886.0,2550473263.0,3179149548.0,1735711664.0,6192.0,0.0,419965245,31457280,1360855040,0
57454885.0,24118409.0,2373721337.0,3295375458.0,1913252490.0,5715.0,0.0,420175784,31129600,1596784640,13697024
57454885.0,24118409.0,2373721337.0,3295375458.0,1913252490.0,5715.0,0.0,420175784,31129600,1596784640,13697024
62185653.0,20843873.0,2764751759.0,3312832868.0,1728684214.0,5190.0,1.0,420015988,31064064,1158610944,0
62185653.0,20843873.0,2764751759.0,3312832868.0,1728684214.0,5190.0,1.0,420015988,31064064,1158610944,0
58934657.0,20178425.0,2718410095.0,3203125554.0,1671121980.0,5044.0,0.0,420016944,30867456,1186791424,393216
58934657.0,20178425.0,2718410095.0,3203125554.0,1671121980.0,5044.0,0.0,420016944,30867456,1186791424,393216
54021868.0,20896556.0,2196066948.0,2910781633.0,1643206092.0,4923.0,0.0,419800804,30146560,1337917440,2031616
54021868.0,20896556.0,2196066948.0,2910781633.0,1643206092.0,4923.0,0.0,419800804,30146560,1337917440,2031616
53579177.0,24910007.0,2241186371.0,3198489731.0,1896842035.0,5411.0,0.0,420164934,30015488,1554317312,8192000
53579177.0,24910007.0,2241186371.0,3198489731.0,1896842035.0,5411.0,0.0,420164934,30015488,1554317312,8192000
59337113.0,22784368.0,2662114953.0,3305017117.0,1799078361.0,7407.0,1.0,420084042,29884416,1432420352,0
59337113.0,22784368.0,2662114953.0,3305017117.0,1799078361.0,7407.0,1.0,420084042,29884416,1432420352,0
61813869.0,18259398.0,2750092565.0,3213980093.0,1672513391.0,7347.0,1.0,420029456,29818880,1062207488,0
61813869.0,18259398.0,2750092565.0,3213980093.0,1672513391.0,7347.0,1.0,420029456,29818880,1062207488,0
49871270.0,19916696.0,2230337769.0,2978764554.0,1705755472.0,4788.0,0.0,419978220,29425664,1253965824,0
49871270.0,19916696.0,2230337769.0,2978764554.0,1705755472.0,4788.0,0.0,419978220,29425664,1253965824,0
54300313.0,12892589.0,2620398341.0,2763383040.0,1296328398.0,4280.0,1.0,420038881,28835840,572784640,131072
54300313.0,12892589.0,2620398341.0,2763383040.0,1296328398.0,4280.0,1.0,420038881,28835840,572784640,131072
45237788.0,16444834.0,2045781992.0,2537319788.0,1373155665.0,2902.0,0.0,419890247,28704768,971636736,12582912
45237788.0,16444834.0,2045781992.0,2537319788.0,1373155665.0,2902.0,0.0,419890247,28704768,971636736,12582912
51181373.0,25456364.0,2071661544.0,3093793494.0,1878176652.0,4771.0,1.0,420267429,28704768,1908670464,2031616
51181373.0,25456364.0,2071661544.0,3093793494.0,1878176652.0,4771.0,1.0,420267429,28704768,1908670464,2031616
45819248.0,30974490.0,1738051589.0,3251424646.0,2212053695.0,2449.0,0.0,420063433,28704768,2321416192,1048576
45819248.0,30974490.0,1738051589.0,3251424646.0,2212053695.0,2449.0,0.0,420063433,28704768,2321416192,1048576
56781949.0,25603106.0,2408971034.0,3314317478.0,1922044672.0,6568.0,0.0,420071778,28704768,1845231616,0
56781949.0,25603106.0,2408971034.0,3314317478.0,1922044672.0,6568.0,0.0,420071778,28704768,1845231616,0
