category,ntail-sphinx,canneal
runtime,26.211811304092407,137.54522705078125
llc_references,259762634.1818182,9815491.224
llc_misses,78884550.18181819,6076425.2639999995
instructions,11272481572.772728,443596675.184
cycles,13183769025.363636,1348766184.6239998
stall_cycles,6820150381.636363,1089588211.0
intra_coh,21918.40909090909,46090.968
inter_coh,3.590909090909091,0.0
wall_cycles,2119710881.0454545,2257238526.04
llc_size,161075572.36363637,52506918.912
local_mem,4236747496.727273,486990151.67999995
remote_mem,8528616.727272727,1020788.736
