llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
16477458.0,7041194.0,3197870292.0,2254746656.0,1002021497.0,42582.0,0.0,924616480,38797312,1905065984,0
16477458.0,7041194.0,3197870292.0,2254746656.0,1002021497.0,42582.0,0.0,924616480,38797312,1905065984,0
37199244.0,10191386.0,2002383670.0,2098692746.0,1084858841.0,8658.0,0.0,419538406,39780352,348520448,1638400
37199244.0,10191386.0,2002383670.0,2098692746.0,1084858841.0,8658.0,0.0,419538406,39780352,348520448,1638400
59802412.0,15871354.0,2419040246.0,2905175058.0,1514146794.0,2909.0,0.0,419220522,40894464,582025216,10682368
59802412.0,15871354.0,2419040246.0,2905175058.0,1514146794.0,2909.0,0.0,419220522,40894464,582025216,10682368
53626612.0,23046912.0,2188537775.0,3262846538.0,1968470047.0,3319.0,0.0,419827128,40763392,1094254592,0
53626612.0,23046912.0,2188537775.0,3262846538.0,1968470047.0,3319.0,0.0,419827128,40763392,1094254592,0
69466723.0,18780383.0,2961384184.0,3292237580.0,1602859756.0,5197.0,0.0,420725823,40435712,616693760,5308416
69466723.0,18780383.0,2961384184.0,3292237580.0,1602859756.0,5197.0,0.0,420725823,40435712,616693760,5308416
70824861.0,16212010.0,3267180009.0,3295522079.0,1488354880.0,4691.0,1.0,419056064,40304640,503250944,0
70824861.0,16212010.0,3267180009.0,3295522079.0,1488354880.0,4691.0,1.0,419056064,40304640,503250944,0
68582333.0,18023536.0,2987061855.0,3203092116.0,1509050425.0,4246.0,0.0,419752546,40828928,651689984,10878976
68582333.0,18023536.0,2987061855.0,3203092116.0,1509050425.0,4246.0,0.0,419752546,40828928,651689984,10878976
71089839.0,18309972.0,2885261106.0,3249069350.0,1606832261.0,5029.0,0.0,419910593,40763392,672727040,0
71089839.0,18309972.0,2885261106.0,3249069350.0,1606832261.0,5029.0,0.0,419910593,40763392,672727040,0
63064121.0,16034797.0,2526980223.0,2847288013.0,1406992853.0,2597.0,0.0,419946905,40435712,596770816,4063232
63064121.0,16034797.0,2526980223.0,2847288013.0,1406992853.0,2597.0,0.0,419946905,40435712,596770816,4063232
43026603.0,14018650.0,1628212688.0,2143983552.0,1192063330.0,1062.0,0.0,419861834,40173568,568459264,0
43026603.0,14018650.0,1628212688.0,2143983552.0,1192063330.0,1062.0,0.0,419861834,40173568,568459264,0
55796114.0,14811078.0,2239929693.0,2559096011.0,1304759760.0,2524.0,0.0,419939629,35454976,545783808,851968
55796114.0,14811078.0,2239929693.0,2559096011.0,1304759760.0,2524.0,0.0,419939629,35454976,545783808,851968
59010867.0,17353802.0,2437455416.0,2881922184.0,1503776071.0,3176.0,0.0,419939215,35389440,684654592,13434880
59010867.0,17353802.0,2437455416.0,2881922184.0,1503776071.0,3176.0,0.0,419939215,35389440,684654592,13434880
58657393.0,22041333.0,2327540833.0,3199678523.0,1860573796.0,4266.0,0.0,419667455,35454976,1217134592,2031616
58657393.0,22041333.0,2327540833.0,3199678523.0,1860573796.0,4266.0,0.0,419667455,35454976,1217134592,2031616
59367542.0,21407146.0,2474906479.0,3230904246.0,1775306098.0,5670.0,0.0,420016830,35520512,1008336896,0
59367542.0,21407146.0,2474906479.0,3230904246.0,1775306098.0,5670.0,0.0,420016830,35520512,1008336896,0
62921658.0,15947696.0,2978009825.0,3098554643.0,1431355641.0,5249.0,0.0,419783046,35454976,564658176,0
62921658.0,15947696.0,2978009825.0,3098554643.0,1431355641.0,5249.0,0.0,419783046,35454976,564658176,0
44375668.0,7429718.0,1905782472.0,1874323049.0,810545394.0,1372.0,1.0,420552597,34471936,186515456,2228224
44375668.0,7429718.0,1905782472.0,1874323049.0,810545394.0,1372.0,1.0,420552597,34471936,186515456,2228224
48214946.0,8369461.0,2171241359.0,2080341143.0,852610531.0,1472.0,0.0,419157719,33554432,217907200,0
48214946.0,8369461.0,2171241359.0,2080341143.0,852610531.0,1472.0,0.0,419157719,33554432,217907200,0
49833463.0,5739890.0,2400348835.0,2005364985.0,701141445.0,1233.0,0.0,419829711,33423360,103284736,655360
49833463.0,5739890.0,2400348835.0,2005364985.0,701141445.0,1233.0,0.0,419829711,33423360,103284736,655360
33100432.0,4275487.0,1409001894.0,1299210402.0,508160954.0,308.0,0.0,419935635,33226752,59047936,720896
33100432.0,4275487.0,1409001894.0,1299210402.0,508160954.0,308.0,0.0,419935635,33226752,59047936,720896
42185558.0,8012305.0,1727080685.0,1787250775.0,827018169.0,1118.0,0.0,419836207,33357824,183369728,0
42185558.0,8012305.0,1727080685.0,1787250775.0,827018169.0,1118.0,0.0,419836207,33357824,183369728,0
60846427.0,12517923.0,2838362540.0,2785593839.0,1237462422.0,3207.0,1.0,420182392,33226752,375652352,8388608
60846427.0,12517923.0,2838362540.0,2785593839.0,1237462422.0,3207.0,1.0,420182392,33226752,375652352,8388608
53711106.0,13394446.0,2513856667.0,2670600157.0,1273171634.0,2945.0,1.0,420481614,32178176,484048896,0
53711106.0,13394446.0,2513856667.0,2670600157.0,1273171634.0,2945.0,1.0,420481614,32178176,484048896,0
43381855.0,13961980.0,1859922394.0,2254930216.0,1193705164.0,1963.0,0.0,419485066,31850496,584384512,3080192
