llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
7532301.0,2496703.0,789206711.0,525190932.0,160106069.0,9750.0,10.0,853080347,7208960,35520512,1048576
7532301.0,2496703.0,789206711.0,525190932.0,160106069.0,9750.0,10.0,853080347,7208960,35520512,1048576
7549503.0,2378193.0,820923242.0,544243105.0,168227026.0,9655.0,3.0,419796692,7471104,18087936,393216
7549503.0,2378193.0,820923242.0,544243105.0,168227026.0,9655.0,3.0,419796692,7471104,18087936,393216
7512968.0,2323490.0,868233901.0,568715944.0,166086289.0,8096.0,9.0,419425127,7208960,14024704,0
7512968.0,2323490.0,868233901.0,568715944.0,166086289.0,8096.0,9.0,419425127,7208960,14024704,0
6592967.0,2102216.0,690925565.0,464118203.0,141480025.0,9259.0,7.0,419804558,7405568,10223616,720896
6592967.0,2102216.0,690925565.0,464118203.0,141480025.0,9259.0,7.0,419804558,7405568,10223616,720896
7091484.0,2011568.0,758723359.0,499358053.0,151081998.0,7165.0,15.0,419922811,7864320,9830400,655360
7091484.0,2011568.0,758723359.0,499358053.0,151081998.0,7165.0,15.0,419922811,7864320,9830400,655360
7075633.0,2193508.0,728816531.0,486515843.0,147547705.0,7617.0,9.0,420330057,7864320,7471104,262144
7075633.0,2193508.0,728816531.0,486515843.0,147547705.0,7617.0,9.0,420330057,7864320,7471104,262144
6724880.0,2116257.0,706423467.0,465630299.0,140605821.0,9482.0,1.0,419755476,7864320,6619136,655360
6724880.0,2116257.0,706423467.0,465630299.0,140605821.0,9482.0,1.0,419755476,7864320,6619136,655360
6508342.0,1918293.0,693194541.0,452214613.0,135148139.0,8220.0,6.0,419974996,7995392,3997696,917504
6508342.0,1918293.0,693194541.0,452214613.0,135148139.0,8220.0,6.0,419974996,7995392,3997696,917504
7267195.0,2358744.0,793961556.0,531634768.0,158410145.0,9189.0,4.0,419846532,7929856,5308416,262144
7267195.0,2358744.0,793961556.0,531634768.0,158410145.0,9189.0,4.0,419846532,7929856,5308416,262144
6014522.0,1835951.0,700268247.0,460871569.0,135112207.0,6271.0,6.0,419740139,8060928,7274496,851968
6014522.0,1835951.0,700268247.0,460871569.0,135112207.0,6271.0,6.0,419740139,8060928,7274496,851968
7267870.0,2282583.0,801947598.0,533407478.0,160673401.0,7603.0,9.0,420710885,8585216,8192000,131072
7267870.0,2282583.0,801947598.0,533407478.0,160673401.0,7603.0,9.0,420710885,8585216,8192000,131072
7141550.0,2182307.0,702146428.0,472255008.0,145163841.0,8605.0,8.0,419019307,8585216,7143424,196608
7141550.0,2182307.0,702146428.0,472255008.0,145163841.0,8605.0,8.0,419019307,8585216,7143424,196608
6218336.0,2040335.0,754077169.0,496785425.0,148425629.0,7039.0,9.0,419486823,8978432,11272192,393216
6218336.0,2040335.0,754077169.0,496785425.0,148425629.0,7039.0,9.0,419486823,8978432,11272192,393216
8296672.0,2614821.0,879409419.0,584962324.0,177001667.0,10551.0,14.0,419970740,12582912,7012352,0
8296672.0,2614821.0,879409419.0,584962324.0,177001667.0,10551.0,14.0,419970740,12582912,7012352,0
7201242.0,2264381.0,798624168.0,527588617.0,159829357.0,9187.0,12.0,420165081,8192000,9830400,458752
7201242.0,2264381.0,798624168.0,527588617.0,159829357.0,9187.0,12.0,420165081,8192000,9830400,458752
7214215.0,2373483.0,893933703.0,595589150.0,180427907.0,7975.0,20.0,419843569,15925248,41877504,983040
7214215.0,2373483.0,893933703.0,595589150.0,180427907.0,7975.0,20.0,419843569,15925248,41877504,983040
7673778.0,2203520.0,817625458.0,536381022.0,159120656.0,7792.0,39.0,419865972,18415616,3801088,262144
7673778.0,2203520.0,817625458.0,536381022.0,159120656.0,7792.0,39.0,419865972,18415616,3801088,262144
6761829.0,2042060.0,772598779.0,505514921.0,152108831.0,7901.0,15.0,419801154,18939904,2228224,131072
6761829.0,2042060.0,772598779.0,505514921.0,152108831.0,7901.0,15.0,419801154,18939904,2228224,131072
6567240.0,2083651.0,734519605.0,487979086.0,148506005.0,10160.0,11.0,419873088,19398656,3801088,196608
6567240.0,2083651.0,734519605.0,487979086.0,148506005.0,10160.0,11.0,419873088,19398656,3801088,196608
7370129.0,2171410.0,877665167.0,570370703.0,168804090.0,9318.0,25.0,419938185,20185088,4194304,524288
7370129.0,2171410.0,877665167.0,570370703.0,168804090.0,9318.0,25.0,419938185,20185088,4194304,524288
6473114.0,2227695.0,741740988.0,498751866.0,151329120.0,5873.0,11.0,419923502,18350080,6094848,131072
6473114.0,2227695.0,741740988.0,498751866.0,151329120.0,5873.0,11.0,419923502,18350080,6094848,131072
4940982.0,1670278.0,569813216.0,382909014.0,117304910.0,7374.0,11.0,419787039,14548992,7667712,327680
4940982.0,1670278.0,569813216.0,382909014.0,117304910.0,7374.0,11.0,419787039,14548992,7667712,327680
1025352.0,363803.0,115332565.0,85488738.0,29039488.0,1518.0,1.0,419779766,15859712,22675456,262144
1025352.0,363803.0,115332565.0,85488738.0,29039488.0,1518.0,1.0,419779766,15859712,22675456,262144
10391886.0,3845666.0,1274798136.0,835952459.0,248344962.0,16935.0,18.0,420088053,22216704,29229056,1048576
10391886.0,3845666.0,1274798136.0,835952459.0,248344962.0,16935.0,18.0,420088053,22216704,29229056,1048576
10415951.0,3459420.0,1270802710.0,829808596.0,243066479.0,13612.0,9.0,420011993,17039360,31981568,786432
10415951.0,3459420.0,1270802710.0,829808596.0,243066479.0,13612.0,9.0,420011993,17039360,31981568,786432
7574152.0,2457125.0,938194744.0,614934826.0,184792704.0,8766.0,14.0,419938909,21102592,7864320,262144
7574152.0,2457125.0,938194744.0,614934826.0,184792704.0,8766.0,14.0,419938909,21102592,7864320,262144
7127287.0,2342881.0,734969405.0,489044695.0,148602829.0,8722.0,10.0,419749064,22478848,5701632,131072
