llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
39659.0,7981.0,699556817.0,228862277.0,14420557.0,0.0,0.0,801285759,2162688,32636928,0
39659.0,7981.0,699556817.0,228862277.0,14420557.0,0.0,0.0,801285759,2162688,32636928,0
35858.0,7981.0,699772403.0,229039687.0,14448598.0,0.0,0.0,419653115,2228224,18350080,131072
35858.0,7981.0,699772403.0,229039687.0,14448598.0,0.0,0.0,419653115,2228224,18350080,131072
35896.0,7681.0,699806176.0,229147926.0,14453316.0,0.0,0.0,419594868,2228224,14811136,131072
35896.0,7681.0,699806176.0,229147926.0,14453316.0,0.0,0.0,419594868,2228224,14811136,131072
36122.0,7442.0,687165319.0,225816957.0,14436998.0,0.0,0.0,419638037,2424832,19464192,0
36122.0,7442.0,687165319.0,225816957.0,14436998.0,0.0,0.0,419638037,2424832,19464192,0
36187.0,7721.0,699295643.0,228986830.0,14480809.0,0.0,0.0,419624261,2752512,14024704,0
36187.0,7721.0,699295643.0,228986830.0,14480809.0,0.0,0.0,419624261,2752512,14024704,0
35968.0,7810.0,701078038.0,229266937.0,14404884.0,0.0,0.0,419563860,2293760,17760256,65536
35968.0,7810.0,701078038.0,229266937.0,14404884.0,0.0,0.0,419563860,2293760,17760256,65536
36145.0,7738.0,700024399.0,229048658.0,14476453.0,0.0,0.0,419755895,2818048,17498112,65536
36145.0,7738.0,700024399.0,229048658.0,14476453.0,0.0,0.0,419755895,2818048,17498112,65536
36510.0,8050.0,701567119.0,229084026.0,14349180.0,0.0,0.0,419619577,3080192,15990784,0
36510.0,8050.0,701567119.0,229084026.0,14349180.0,0.0,0.0,419619577,3080192,15990784,0
35741.0,7200.0,686210269.0,225059023.0,14452121.0,0.0,0.0,419646115,2949120,19136512,0
35741.0,7200.0,686210269.0,225059023.0,14452121.0,0.0,0.0,419646115,2949120,19136512,0
36377.0,7724.0,700750476.0,229115199.0,14425939.0,0.0,0.0,419775554,2686976,16318464,0
36377.0,7724.0,700750476.0,229115199.0,14425939.0,0.0,0.0,419775554,2686976,16318464,0
35533.0,8072.0,700066614.0,229100475.0,14508315.0,0.0,0.0,419614587,2424832,17170432,327680
35533.0,8072.0,700066614.0,229100475.0,14508315.0,0.0,0.0,419614587,2424832,17170432,327680
36334.0,8014.0,700520212.0,228949115.0,14508721.0,0.0,0.0,419528116,2555904,20971520,0
36334.0,8014.0,700520212.0,228949115.0,14508721.0,0.0,0.0,419528116,2555904,20971520,0
11716.0,2792.0,215130314.0,70339553.0,4468263.0,0.0,0.0,96753829620,65536,8388608,0
11716.0,2792.0,215130314.0,70339553.0,4468263.0,0.0,0.0,96753829620,65536,8388608,0
76464.0,32464.0,1139330604.0,375437351.0,26339131.0,0.0,1.0,419608476,2031616,23396352,131072
76464.0,32464.0,1139330604.0,375437351.0,26339131.0,0.0,1.0,419608476,2031616,23396352,131072
150105.0,94077.0,1627222609.0,543242760.0,45480814.0,0.0,14.0,419617884,2097152,34209792,0
150105.0,94077.0,1627222609.0,543242760.0,45480814.0,0.0,14.0,419617884,2097152,34209792,0
174479.0,117700.0,1664854981.0,557140146.0,52425567.0,0.0,25.0,419630050,2097152,39256064,0
174479.0,117700.0,1664854981.0,557140146.0,52425567.0,0.0,25.0,419630050,2097152,39256064,0
73351.0,34889.0,1599934115.0,568320793.0,51822656.0,0.0,14.0,419625500,2097152,29687808,131072
73351.0,34889.0,1599934115.0,568320793.0,51822656.0,0.0,14.0,419625500,2097152,29687808,131072
32642.0,11595.0,1540701693.0,580500731.0,59398577.0,0.0,8.0,419564726,2097152,18284544,131072
32642.0,11595.0,1540701693.0,580500731.0,59398577.0,0.0,8.0,419564726,2097152,18284544,131072
36568.0,17050.0,1492505918.0,565275271.0,59329174.0,0.0,6.0,419605665,2097152,22609920,0
36568.0,17050.0,1492505918.0,565275271.0,59329174.0,0.0,6.0,419605665,2097152,22609920,0
31504.0,10468.0,1513034347.0,570323125.0,60138559.0,0.0,10.0,419555199,2031616,17956864,0
31504.0,10468.0,1513034347.0,570323125.0,60138559.0,0.0,10.0,419555199,2031616,17956864,0
30282.0,10069.0,1519917361.0,572312254.0,58826431.0,0.0,11.0,419873239,2097152,17235968,65536
30282.0,10069.0,1519917361.0,572312254.0,58826431.0,0.0,11.0,419873239,2097152,17235968,65536
31907.0,12507.0,1525986636.0,574369461.0,60007678.0,0.0,11.0,419524003,2097152,20250624,131072
31907.0,12507.0,1525986636.0,574369461.0,60007678.0,0.0,11.0,419524003,2097152,20250624,131072
32260.0,7843.0,1542066575.0,578766264.0,59411275.0,0.0,19.0,419640120,2097152,17629184,0
32260.0,7843.0,1542066575.0,578766264.0,59411275.0,0.0,19.0,419640120,2097152,17629184,0
31127.0,11106.0,1490810640.0,564325758.0,58248243.0,0.0,10.0,419561340,2097152,20578304,0
31127.0,11106.0,1490810640.0,564325758.0,58248243.0,0.0,10.0,419561340,2097152,20578304,0
28546.0,9882.0,1525828235.0,575142421.0,59198425.0,0.0,11.0,419604954,2097152,14155776,0
