llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
1501978.0,1123996.0,236764900.0,227449173.0,104129592.0,30.0,0.0,808225608,3538944,632946688,0
1501978.0,1123996.0,236764900.0,227449173.0,104129592.0,30.0,0.0,808225608,3538944,632946688,0
1219189.0,707786.0,209982277.0,228589542.0,116755117.0,15.0,0.0,419493851,3670016,59179008,0
1219189.0,707786.0,209982277.0,228589542.0,116755117.0,15.0,0.0,419493851,3670016,59179008,0
1271358.0,762063.0,197268348.0,229320921.0,123394731.0,26.0,0.0,419697073,3538944,69468160,196608
1271358.0,762063.0,197268348.0,229320921.0,123394731.0,26.0,0.0,419697073,3538944,69468160,196608
1295886.0,778375.0,187266909.0,229733060.0,128257979.0,6.0,0.0,419590212,3801088,66715648,131072
1295886.0,778375.0,187266909.0,229733060.0,128257979.0,6.0,0.0,419590212,3801088,66715648,131072
1338227.0,800723.0,183916181.0,230116421.0,129787188.0,36.0,0.0,419637445,3604480,71172096,589824
1338227.0,800723.0,183916181.0,230116421.0,129787188.0,36.0,0.0,419637445,3604480,71172096,589824
1364586.0,817576.0,179485330.0,230230137.0,132150896.0,30.0,0.0,419786262,3866624,65929216,0
1364586.0,817576.0,179485330.0,230230137.0,132150896.0,30.0,0.0,419786262,3866624,65929216,0
1376623.0,825736.0,175105672.0,230552471.0,134590173.0,11.0,0.0,419655145,3932160,64618496,0
1376623.0,825736.0,175105672.0,230552471.0,134590173.0,11.0,0.0,419655145,3932160,64618496,0
1302045.0,838928.0,170287675.0,230697493.0,133607052.0,10.0,0.0,419548808,3735552,65011712,65536
1302045.0,838928.0,170287675.0,230697493.0,133607052.0,10.0,0.0,419548808,3735552,65011712,65536
191305.0,115991.0,23230177.0,31273895.0,18565582.0,0.0,0.0,96732801669,720896,10682368,0
191305.0,115991.0,23230177.0,31273895.0,18565582.0,0.0,0.0,96732801669,720896,10682368,0
1846011.0,1354382.0,198952896.0,389105857.0,275274702.0,0.0,0.0,419462421,2097152,102170624,0
1846011.0,1354382.0,198952896.0,389105857.0,275274702.0,0.0,0.0,419462421,2097152,102170624,0
2360308.0,1649468.0,257606978.0,548592383.0,406148852.0,0.0,0.0,419667220,2097152,135593984,1114112
2360308.0,1649468.0,257606978.0,548592383.0,406148852.0,0.0,0.0,419667220,2097152,135593984,1114112
2466371.0,1714837.0,254140855.0,555567658.0,409058816.0,0.0,0.0,419560064,2097152,146210816,0
2466371.0,1714837.0,254140855.0,555567658.0,409058816.0,0.0,0.0,419560064,2097152,146210816,0
2529005.0,1751366.0,265701826.0,576248289.0,424360544.0,0.0,0.0,419604836,2097152,150863872,0
2529005.0,1751366.0,265701826.0,576248289.0,424360544.0,0.0,0.0,419604836,2097152,150863872,0
2507599.0,1727507.0,258599433.0,577716774.0,428994009.0,0.0,0.0,419616442,2097152,159645696,131072
2507599.0,1727507.0,258599433.0,577716774.0,428994009.0,0.0,0.0,419616442,2097152,159645696,131072
2454343.0,1642187.0,247479935.0,559266532.0,416308770.0,0.0,0.0,419571282,2097152,146407424,0
2454343.0,1642187.0,247479935.0,559266532.0,416308770.0,0.0,0.0,419571282,2097152,146407424,0
2539090.0,1738864.0,255383068.0,578949920.0,433175240.0,0.0,0.0,419705576,2097152,148766720,65536
2539090.0,1738864.0,255383068.0,578949920.0,433175240.0,0.0,0.0,419705576,2097152,148766720,65536
2546276.0,1736874.0,250967299.0,578500572.0,434810696.0,0.0,0.0,419645479,2097152,145620992,0
2546276.0,1736874.0,250967299.0,578500572.0,434810696.0,0.0,0.0,419645479,2097152,145620992,0
2596233.0,1768433.0,251104196.0,579868726.0,435956319.0,0.0,0.0,419608482,2097152,161546240,262144
2596233.0,1768433.0,251104196.0,579868726.0,435956319.0,0.0,0.0,419608482,2097152,161546240,262144
2456543.0,1731052.0,236747935.0,572407161.0,440166317.0,0.0,0.0,419615964,2097152,255590400,196608
2456543.0,1731052.0,236747935.0,572407161.0,440166317.0,0.0,0.0,419615964,2097152,255590400,196608
2573120.0,1758448.0,241426684.0,579865294.0,440949938.0,0.0,0.0,419576937,2097152,146210816,0
2573120.0,1758448.0,241426684.0,579865294.0,440949938.0,0.0,0.0,419576937,2097152,146210816,0
2576088.0,1759589.0,237794318.0,579609612.0,442704123.0,0.0,0.0,419651169,2097152,148045824,786432
2576088.0,1759589.0,237794318.0,579609612.0,442704123.0,0.0,0.0,419651169,2097152,148045824,786432
2538641.0,1768492.0,234494864.0,566503839.0,429044462.0,0.0,0.0,419632494,2097152,142016512,65536
2538641.0,1768492.0,234494864.0,566503839.0,429044462.0,0.0,0.0,419632494,2097152,142016512,65536
2604333.0,1783780.0,234432049.0,580662254.0,445956234.0,0.0,0.0,419612532,2097152,152371200,0
2604333.0,1783780.0,234432049.0,580662254.0,445956234.0,0.0,0.0,419612532,2097152,152371200,0
2589684.0,1778020.0,230507184.0,581277529.0,447714154.0,0.0,0.0,419657912,2097152,143130624,458752
2589684.0,1778020.0,230507184.0,581277529.0,447714154.0,0.0,0.0,419657912,2097152,143130624,458752
2572292.0,1705853.0,214759615.0,559564456.0,431624857.0,0.0,0.0,419645590,2097152,148832256,0
2572292.0,1705853.0,214759615.0,559564456.0,431624857.0,0.0,0.0,419645590,2097152,148832256,0
2586558.0,1778449.0,222983303.0,580411119.0,451303232.0,0.0,0.0,419638074,2097152,139919360,196608
2586558.0,1778449.0,222983303.0,580411119.0,451303232.0,0.0,0.0,419638074,2097152,139919360,196608
2582683.0,1777561.0,221266308.0,578946742.0,450395955.0,0.0,0.0,419594488,2097152,137953280,131072
2582683.0,1777561.0,221266308.0,578946742.0,450395955.0,0.0,0.0,419594488,2097152,137953280,131072
2461823.0,1674324.0,207354125.0,557626682.0,446735441.0,0.0,0.0,419629266,2097152,147193856,0
2461823.0,1674324.0,207354125.0,557626682.0,446735441.0,0.0,0.0,419629266,2097152,147193856,0
2622152.0,1812488.0,219481939.0,582030009.0,454074245.0,0.0,0.0,419759242,2097152,148963328,393216
2622152.0,1812488.0,219481939.0,582030009.0,454074245.0,0.0,0.0,419759242,2097152,148963328,393216
2590261.0,1792920.0,214104591.0,581919854.0,456817725.0,0.0,0.0,419552056,2097152,129302528,458752
2590261.0,1792920.0,214104591.0,581919854.0,456817725.0,0.0,0.0,419552056,2097152,129302528,458752
2461540.0,1802556.0,212778490.0,582670014.0,447461184.0,0.0,0.0,419573484,2097152,158138368,0
2461540.0,1802556.0,212778490.0,582670014.0,447461184.0,0.0,0.0,419573484,2097152,158138368,0
2605796.0,1804324.0,210823816.0,582446811.0,459330934.0,0.0,0.0,419638668,2097152,144375808,327680
2605796.0,1804324.0,210823816.0,582446811.0,459330934.0,0.0,0.0,419638668,2097152,144375808,327680
2526368.0,1725823.0,201667080.0,551511964.0,438253080.0,0.0,0.0,419639813,2097152,136445952,0
2526368.0,1725823.0,201667080.0,551511964.0,438253080.0,0.0,0.0,419639813,2097152,136445952,0
2630192.0,1828160.0,204496361.0,557390433.0,439893945.0,0.0,0.0,419621041,2097152,158400512,393216
2630192.0,1828160.0,204496361.0,557390433.0,439893945.0,0.0,0.0,419621041,2097152,158400512,393216
2597618.0,1803052.0,207700432.0,583412113.0,461805157.0,0.0,0.0,419604150,2097152,153944064,0
2597618.0,1803052.0,207700432.0,583412113.0,461805157.0,0.0,0.0,419604150,2097152,153944064,0
2604373.0,1808019.0,206919586.0,583344497.0,462942112.0,0.0,0.0,419642839,2097152,135135232,720896
2604373.0,1808019.0,206919586.0,583344497.0,462942112.0,0.0,0.0,419642839,2097152,135135232,720896
2598116.0,1812364.0,204458164.0,582461072.0,462845980.0,0.0,0.0,419622407,2097152,140771328,0
2598116.0,1812364.0,204458164.0,582461072.0,462845980.0,0.0,0.0,419622407,2097152,140771328,0
2522527.0,1686080.0,192084750.0,558162640.0,444380679.0,0.0,0.0,419644581,2097152,158728192,327680
2522527.0,1686080.0,192084750.0,558162640.0,444380679.0,0.0,0.0,419644581,2097152,158728192,327680
2643856.0,1843478.0,204578324.0,583942439.0,465015863.0,0.0,0.0,419637111,2097152,145031168,0
2643856.0,1843478.0,204578324.0,583942439.0,465015863.0,0.0,0.0,419637111,2097152,145031168,0
2606166.0,1815872.0,199824768.0,580877193.0,464868536.0,0.0,0.0,419620847,2097152,152240128,65536
2606166.0,1815872.0,199824768.0,580877193.0,464868536.0,0.0,0.0,419620847,2097152,152240128,65536
2465579.0,1764272.0,192800417.0,570330723.0,466512385.0,0.0,0.0,419600363,2097152,135331840,65536
2465579.0,1764272.0,192800417.0,570330723.0,466512385.0,0.0,0.0,419600363,2097152,135331840,65536
2622303.0,1831139.0,197732604.0,584381235.0,469068490.0,0.0,0.0,419678390,2097152,142082048,0
2622303.0,1831139.0,197732604.0,584381235.0,469068490.0,0.0,0.0,419678390,2097152,142082048,0
2624581.0,1830500.0,196237262.0,583183741.0,468816203.0,0.0,0.0,419680488,2097152,137494528,65536
2624581.0,1830500.0,196237262.0,583183741.0,468816203.0,0.0,0.0,419680488,2097152,137494528,65536
2570153.0,1852855.0,196979253.0,570671220.0,448334623.0,0.0,0.0,419579530,2097152,144375808,851968
2570153.0,1852855.0,196979253.0,570671220.0,448334623.0,0.0,0.0,419579530,2097152,144375808,851968
2634822.0,1838228.0,194471307.0,584732864.0,470359626.0,0.0,0.0,419642834,2097152,133693440,0
2634822.0,1838228.0,194471307.0,584732864.0,470359626.0,0.0,0.0,419642834,2097152,133693440,0
