llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
7682346,8262233,7832197199,3313974456,1045003779,39456,0,908389002,24051712,1265631232,5832704
7682346,8262233,7832197199,3313974456,1045003779,39456,0,908389002,24051712,1265631232,5832704
7318746,8035412,7110168459,3299042837,1208019568,34651,0,420060484,3473408,662700032,0
7318746,8035412,7110168459,3299042837,1208019568,34651,0,420060484,3473408,662700032,0
7936056,9132603,7574517172,3234050107,1038652207,9448,0,419807811,11141120,751697920,3276800
7936056,9132603,7574517172,3234050107,1038652207,9448,0,419807811,11141120,751697920,3276800
7176677,8125471,6565435066,3294466186,1354685890,6700,0,419793955,4915200,687669248,131072
7176677,8125471,6565435066,3294466186,1354685890,6700,0,419793955,4915200,687669248,131072
8685661,10094789,7639277060,3306066220,1088437895,26662,0,419998551,3145728,839647232,0
8685661,10094789,7639277060,3306066220,1088437895,26662,0,419998551,3145728,839647232,0
8023104,9246706,6889882243,3293336633,1264004109,7167,0,420022288,5963776,786563072,2686976
8023104,9246706,6889882243,3293336633,1264004109,7167,0,420022288,5963776,786563072,2686976
9098516,10768983,7655481963,3296796279,1068556148,10607,0,420067851,3211264,901054464,0
9098516,10768983,7655481963,3296796279,1068556148,10607,0,420067851,3211264,901054464,0
8282337,9734883,6923638083,3301628600,1276347423,1280,0,420099568,5898240,846725120,1638400
8282337,9734883,6923638083,3301628600,1276347423,1280,0,420099568,5898240,846725120,1638400
9137585,10733082,7409748082,3292388232,1095931642,12799,0,420090727,2949120,937492480,0
9137585,10733082,7409748082,3292388232,1095931642,12799,0,420090727,2949120,937492480,0
8801032,10437028,7095250840,3293092001,1219373152,6817,0,420113747,11141120,913768448,8060928
8801032,10437028,7095250840,3293092001,1219373152,6817,0,420113747,11141120,913768448,8060928
9532116,11196764,7507315211,3305391230,1082800431,8910,0,420013814,5701632,1030356992,0
9532116,11196764,7507315211,3305391230,1082800431,8910,0,420013814,5701632,1030356992,0
8301512,9761677,6509190947,3052623257,1122483793,17484,0,419958469,720896,873398272,0
8301512,9761677,6509190947,3052623257,1122483793,17484,0,419958469,720896,873398272,0
50727052,17465437,1503240495,1824782729,1210569416,30748,0,420107597,8650752,2169372672,9699328
50727052,17465437,1503240495,1824782729,1210569416,30748,0,420107597,8650752,2169372672,9699328
109830655,20580113,1018317579,3279903707,2638596848,32345,0,419971545,10878976,1341325312,9961472
109830655,20580113,1018317579,3279903707,2638596848,32345,0,419971545,10878976,1341325312,9961472
124779003,23510975,1184561814,3228220766,2490727005,63301,0,420521136,7995392,1497169920,0
124779003,23510975,1184561814,3228220766,2490727005,63301,0,420521136,7995392,1497169920,0
108217359,20917544,1035871173,3288034370,2640204477,50422,0,419981289,10813440,1344274432,5308416
108217359,20917544,1035871173,3288034370,2640204477,50422,0,419981289,10813440,1344274432,5308416
132682022,24646255,1207715650,3287504725,2513995076,67916,0,419733097,5177344,1586036736,0
132682022,24646255,1207715650,3287504725,2513995076,67916,0,419733097,5177344,1586036736,0
106779358,19903461,979112562,3141084073,2511807999,56890,0,420300986,11272192,1316683776,5963776
106779358,19903461,979112562,3141084073,2511807999,56890,0,420300986,11272192,1316683776,5963776
132813821,24901942,1241741961,3213820361,2436981623,69010,0,420184800,7733248,1606877184,0
132813821,24901942,1241741961,3213820361,2436981623,69010,0,420184800,7733248,1606877184,0
103407418,19289028,951484496,3273784868,2663734624,52832,0,420061376,11534336,1263730688,7602176
103407418,19289028,951484496,3273784868,2663734624,52832,0,420061376,11534336,1263730688,7602176
133521234,25349665,1245542340,3282438557,2500384292,60806,0,420312424,15073280,1616445440,0
133521234,25349665,1245542340,3282438557,2500384292,60806,0,420312424,15073280,1616445440,0
101535673,19534098,973619597,3268264809,2656323748,54053,0,419688584,10878976,1237581824,1114112
101535673,19534098,973619597,3268264809,2656323748,54053,0,419688584,10878976,1237581824,1114112
124722557,23434179,1167249518,3075690322,2336032911,79141,0,420512274,10223616,1539833856,2621440
124722557,23434179,1167249518,3075690322,2336032911,79141,0,420512274,10223616,1539833856,2621440
108076378,20273122,1027907180,3261241137,2613342125,42436,0,419964371,8192000,1310654464,0
108076378,20273122,1027907180,3261241137,2613342125,42436,0,419964371,8192000,1310654464,0
132523454,24978494,1242755638,3269128810,2505106637,32743,0,420245195,11403264,1624375296,6946816
132523454,24978494,1242755638,3269128810,2505106637,32743,0,420245195,11403264,1624375296,6946816
105361843,19790337,999484679,3258190401,2630453585,53828,0,419792394,6029312,1274281984,0
105361843,19790337,999484679,3258190401,2630453585,53828,0,419792394,6029312,1274281984,0
131216360,24667155,1227144416,3281381102,2511007285,68552,0,419875407,9502720,1614282752,5767168
131216360,24667155,1227144416,3281381102,2511007285,68552,0,419875407,9502720,1614282752,5767168
108994511,20474795,1014674957,3178202577,2541242486,43820,0,420536375,5308416,1312227328,0
108994511,20474795,1014674957,3178202577,2541242486,43820,0,420536375,5308416,1312227328,0
125909249,23746640,1174739742,3286512897,2547345861,51301,0,420131775,13172736,1544093696,7929856
125909249,23746640,1174739742,3286512897,2547345861,51301,0,420131775,13172736,1544093696,7929856
