category,MG,SP
runtime,25.047398328781128,154.35735297203064
llc_references,376999735.96638656,658399016.9371728
llc_misses,231100697.31092438,352468643.14790577
instructions,23101330726.47059,26407159143.697643
cycles,15412126653.02521,16279107627.342932
stall_cycles,6179667221.386555,6063334540.20288
intra_coh,121310.88235294117,44625.412303664925
inter_coh,0.08403361344537814,0.013089005235602094
wall_cycles,2118489404.537815,2103013529.2931938
llc_size,92378223.86554621,194773163.56020942
local_mem,22301289497.81513,27245180917.27749
remote_mem,48587509.24369748,93630270.9947644
