llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
63955028,48186918,2628279650,3278887141,2220613579,1660,0,881556633,19988480,9041215488,5570560
63955028,48186918,2628279650,3278887141,2220613579,1660,0,881556633,19988480,9041215488,5570560
65389328,45237075,2522320474,3231821982,2127452476,25320,0,420148939,20316160,4147576832,0
65389328,45237075,2522320474,3231821982,2127452476,25320,0,420148939,20316160,4147576832,0
36077501,25607113,6491304784,3046938226,737070558,2583,0,419809369,38273024,2015821824,87293952
36077501,25607113,6491304784,3046938226,737070558,2583,0,419809369,38273024,2015821824,87293952
99815310,50927272,3656104933,3284288706,1864445046,1683,0,420431102,21102592,4376297472,0
99815310,50927272,3656104933,3284288706,1864445046,1683,0,420431102,21102592,4376297472,0
69392879,47624933,2688800545,3257195637,2214093382,1459,0,419934270,7733248,4382064640,10616832
69392879,47624933,2688800545,3257195637,2214093382,1459,0,419934270,7733248,4382064640,10616832
66685407,46549705,2604058345,3298431977,2213847203,15419,0,420034567,16777216,4131913728,2424832
66685407,46549705,2604058345,3298431977,2213847203,15419,0,420034567,16777216,4131913728,2424832
76990186,48238873,2954107649,2929432442,1720703359,10426,0,420364329,19922944,4191944704,0
76990186,48238873,2954107649,2929432442,1720703359,10426,0,420364329,19922944,4191944704,0
91842602,43499728,2665964583,3204860319,2071294521,8019,0,420341571,18939904,4188536832,5832704
91842602,43499728,2665964583,3204860319,2071294521,8019,0,420341571,18939904,4188536832,5832704
68164470,48615356,2839794995,3292692320,2160632392,1489,0,420150290,20119552,4300341248,16318464
68164470,48615356,2839794995,3292692320,2160632392,1489,0,420150290,20119552,4300341248,16318464
75953930,50422941,2614193296,3245354564,2117931776,25825,0,419870808,24772608,4534894592,13631488
75953930,50422941,2614193296,3245354564,2117931776,25825,0,419870808,24772608,4534894592,13631488
98181506,46537503,3334269315,3295905938,1902133243,1940,0,420412594,19595264,4289134592,0
98181506,46537503,3334269315,3295905938,1902133243,1940,0,420412594,19595264,4289134592,0
67555156,44872310,2498373963,3081435291,2126581737,3667,0,420177672,17104896,4240113664,18153472
67555156,44872310,2498373963,3081435291,2126581737,3667,0,420177672,17104896,4240113664,18153472
66433763,48038140,2710560631,3293960288,2161490467,12005,0,420137335,21692416,4211343360,0
66433763,48038140,2710560631,3293960288,2161490467,12005,0,420137335,21692416,4211343360,0
76075976,47110171,2544305397,3171263417,2084389912,13873,0,420067270,26017792,4358733824,4521984
76075976,47110171,2544305397,3171263417,2084389912,13873,0,420067270,26017792,4358733824,4521984
94352236,45132505,3178847447,3295288850,1994704906,2197,0,420129598,23265280,4136697856,14811136
94352236,45132505,3178847447,3295288850,1994704906,2197,0,420129598,23265280,4136697856,14811136
64818343,46581185,2575301196,3282273216,2247416958,1516,0,420204197,19660800,4257415168,24707072
64818343,46581185,2575301196,3282273216,2247416958,1516,0,420204197,19660800,4257415168,24707072
65700012,46583126,2584514982,3260181643,2149864683,20327,0,420127995,19529728,4145414144,0
65700012,46583126,2584514982,3260181643,2149864683,20327,0,420127995,19529728,4145414144,0
82712600,48769910,3278399769,3246405843,1916666274,4223,0,420108129,24379392,4249681920,7208960
82712600,48769910,3278399769,3246405843,1916666274,4223,0,420108129,24379392,4249681920,7208960
92517015,44305475,2588712215,3282809956,2186442359,1900,0,419828851,22740992,4283301888,10092544
92517015,44305475,2588712215,3282809956,2186442359,1900,0,419828851,22740992,4283301888,10092544
66592289,46686790,2728117891,3193510876,2083157138,2397,0,420135876,16515072,4174970880,13565952
66592289,46686790,2728117891,3193510876,2083157138,2397,0,420135876,16515072,4174970880,13565952
74305479,48740394,2429532270,3131739606,2055341012,22884,0,420039550,29229056,4362010624,15269888
74305479,48740394,2429532270,3131739606,2055341012,22884,0,420039550,29229056,4362010624,15269888
