llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
56534460,36351774,3535480647,3245953876,1678398979,34572,0,871936856,20840448,6140461056,0
56534460,36351774,3535480647,3245953876,1678398979,34572,0,871936856,20840448,6140461056,0
59503213,42693332,3186303196,3253279929,1564525023,37303,0,420216566,39845888,3194159104,53346304
59503213,42693332,3186303196,3253279929,1564525023,37303,0,420216566,39845888,3194159104,53346304
20914434,18737712,4586651563,3058260033,982781764,15793,0,420049882,1572864,1411645440,0
20914434,18737712,4586651563,3058260033,982781764,15793,0,420049882,1572864,1411645440,0
31198408,20335647,3849768155,2859295530,1171935047,33528,0,419872453,17498112,1790705664,66322432
31198408,20335647,3849768155,2859295530,1171935047,33528,0,419872453,17498112,1790705664,66322432
51400620,32707869,3575295273,3259709918,1823673633,33097,0,420200907,5505024,2915368960,0
51400620,32707869,3575295273,3259709918,1823673633,33097,0,420200907,5505024,2915368960,0
47165367,31654159,3239240786,3154082833,1623459310,38650,0,420129738,23855104,2772238336,39124992
47165367,31654159,3239240786,3154082833,1623459310,38650,0,420129738,23855104,2772238336,39124992
53857088,36071406,3854879634,3234086964,1586362551,42081,0,420019908,9306112,3100966912,0
53857088,36071406,3854879634,3234086964,1586362551,42081,0,420019908,9306112,3100966912,0
34673039,23017135,4128019042,3257217150,1388348323,19039,0,419983914,1769472,1943076864,0
34673039,23017135,4128019042,3257217150,1388348323,19039,0,419983914,1769472,1943076864,0
25967706,20787822,3937363480,2852735121,987504131,48085,0,420143206,9961472,1414529024,26345472
25967706,20787822,3937363480,2852735121,987504131,48085,0,420143206,9961472,1414529024,26345472
56326545,36543367,3144966322,3255521247,1779327014,29446,0,420073388,20709376,3126788096,17629184
56326545,36543367,3144966322,3255521247,1779327014,29446,0,420073388,20709376,3126788096,17629184
46881068,32805217,3697970380,3280376739,1627245735,39878,0,419542210,10682368,2715746304,13697024
46881068,32805217,3697970380,3280376739,1627245735,39878,0,419542210,10682368,2715746304,13697024
