category,bfs,SP
runtime,42.83448791503906,144.74925065040588
llc_references,6990047.053140096,695210379.476257
llc_misses,4287939.347826087,368631364.82541895
instructions,4969325031.256039,28149507354.196926
cycles,2410779705.0241547,16271111912.667599
stall_cycles,679982049.9516909,5450197529.106145
intra_coh,580083.0676328503,35255.824022346365
inter_coh,0.04830917874396135,0.013966480446927375
wall_cycles,2108520777.6811595,2103214682.3952513
llc_size,3018771.787439613,208459856.08938548
local_mem,466684388.7922705,28680064314.63687
remote_mem,4456131.400966184,79854151.50837989
