llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
50272296,32925952,7545402593,3215886032,560549014,6218,0,818193145,41877504,7669809152,2424832
50272296,32925952,7545402593,3215886032,560549014,6218,0,818193145,41877504,7669809152,2424832
143169084,79394842,5617010328,3136544100,1003654335,2214,0,419435324,41680896,6526599168,0
143169084,79394842,5617010328,3136544100,1003654335,2214,0,419435324,41680896,6526599168,0
125373498,69792610,4987830338,3206841032,1230726358,11905,0,420554638,41615360,5025431552,0
125373498,69792610,4987830338,3206841032,1230726358,11905,0,420554638,41615360,5025431552,0
142277083,74912998,6001687100,3137256948,867408310,2601,0,420041433,41549824,5733810176,0
142277083,74912998,6001687100,3137256948,867408310,2601,0,420041433,41549824,5733810176,0
125710980,71592585,5487070611,3241286664,1098754863,8463,0,420073283,41746432,5490606080,80150528
125710980,71592585,5487070611,3241286664,1098754863,8463,0,420073283,41746432,5490606080,80150528
144958979,69487822,5550526372,3153292989,1041186184,2296,0,420262955,41746432,5420941312,0
144958979,69487822,5550526372,3153292989,1041186184,2296,0,420262955,41746432,5420941312,0
128971796,72716205,5241008428,3180447688,1096728603,6890,0,419744941,41877504,6214516736,14024704
128971796,72716205,5241008428,3180447688,1096728603,6890,0,419744941,41877504,6214516736,14024704
107661695,53747336,4638439367,2474601421,710359463,1224,0,418997523,41484288,3250978816,0
107661695,53747336,4638439367,2474601421,710359463,1224,0,418997523,41484288,3250978816,0
124258889,72056114,5249001432,3113441284,1068056069,4139,0,420527359,41811968,5930942464,96206848
124258889,72056114,5249001432,3113441284,1068056069,4139,0,420527359,41811968,5930942464,96206848
148108608,72045094,5842454931,3288241689,1085958809,10252,0,419812253,41746432,5135269888,0
148108608,72045094,5842454931,3288241689,1085958809,10252,0,419812253,41746432,5135269888,0
131470144,73033655,4907549221,3065436085,1121549533,4789,0,419623442,41877504,6553337856,21823488
131470144,73033655,4907549221,3065436085,1121549533,4789,0,419623442,41877504,6553337856,21823488
137762704,68756963,6093187995,3297236798,992477120,10983,0,420695541,41549824,4162912256,8388608
137762704,68756963,6093187995,3297236798,992477120,10983,0,420695541,41549824,4162912256,8388608
132079072,76327347,4778863623,3029481491,1137940407,3148,0,419479375,41680896,7234584576,0
132079072,76327347,4778863623,3029481491,1137940407,3148,0,419479375,41680896,7234584576,0
137054625,68954378,5812935122,3283072675,1055232458,8064,0,420465297,41418752,4519428096,45416448
137054625,68954378,5812935122,3283072675,1055232458,8064,0,420465297,41418752,4519428096,45416448
147593074,81423262,5966906012,3298855810,1067832500,2745,0,419558573,41746432,6781272064,0
147593074,81423262,5966906012,3298855810,1067832500,2745,0,419558573,41746432,6781272064,0
122729153,64951363,4817269390,3049699557,1082932402,3994,0,420446138,41746432,4818075648,27197440
122729153,64951363,4817269390,3049699557,1082932402,3994,0,420446138,41746432,4818075648,27197440
146855727,76567850,6312341821,3294219421,976460655,2346,0,420214235,41615360,5893259264,0
146855727,76567850,6312341821,3294219421,976460655,2346,0,420214235,41615360,5893259264,0
128440170,72919519,5585281582,3276863147,1093079172,9410,0,419543901,41484288,5786107904,49086464
128440170,72919519,5585281582,3276863147,1093079172,9410,0,419543901,41484288,5786107904,49086464
149440778,72817413,5591948106,3268580593,1093521067,6069,0,421285515,41418752,5395775488,0
149440778,72817413,5591948106,3268580593,1093521067,6069,0,421285515,41418752,5395775488,0
138931469,76518840,5246677744,3243054295,1176257520,5878,0,419209070,41353216,6695288832,18153472
138931469,76518840,5246677744,3243054295,1176257520,5878,0,419209070,41353216,6695288832,18153472
130082082,66474388,5888767916,3167556214,926224540,7296,0,420590065,41549824,4076601344,0
130082082,66474388,5888767916,3167556214,926224540,7296,0,420590065,41549824,4076601344,0
143486657,80307671,5232241489,3253584543,1238875519,3739,0,418931891,41484288,7391936512,16056320
143486657,80307671,5232241489,3253584543,1238875519,3739,0,418931891,41484288,7391936512,16056320
126679058,63977318,5553595961,3129388974,954688354,12340,0,420169365,41680896,4031905792,46137344
126679058,63977318,5553595961,3129388974,954688354,12340,0,420169365,41680896,4031905792,46137344
148074674,81100753,5865494359,3257509505,1086257777,2263,0,420006391,41484288,6795296768,7536640
148074674,81100753,5865494359,3257509505,1086257777,2263,0,420006391,41484288,6795296768,7536640
127641364,69510146,5241269897,3256108921,1204737150,8376,0,419927060,41746432,5204803584,0
127641364,69510146,5241269897,3256108921,1204737150,8376,0,419927060,41746432,5204803584,0
147810052,76429203,6055214133,3293646159,977328816,2486,0,420050155,41680896,5883232256,0
147810052,76429203,6055214133,3293646159,977328816,2486,0,420050155,41680896,5883232256,0
123191204,71884480,5507111822,3200507760,1073303211,10550,0,420119352,41680896,5542117376,26804224
123191204,71884480,5507111822,3200507760,1073303211,10550,0,420119352,41680896,5542117376,26804224
151231008,74480445,5761843516,3270700427,1068335007,8942,0,420094428,41811968,5521670144,0
151231008,74480445,5761843516,3270700427,1068335007,8942,0,420094428,41811968,5521670144,0
136920382,73693446,5185478389,3213514788,1167445242,3066,0,420097965,41615360,6548291584,55115776
136920382,73693446,5185478389,3213514788,1167445242,3066,0,420097965,41615360,6548291584,55115776
137447952,69062392,6011019677,3269937191,992587980,10568,0,420000574,41484288,4290052096,0
137447952,69062392,6011019677,3269937191,992587980,10568,0,420000574,41484288,4290052096,0
144332530,82241051,5324393493,3286079873,1236838562,3712,0,419968754,41484288,7459241984,6094848
144332530,82241051,5324393493,3286079873,1236838562,3712,0,419968754,41484288,7459241984,6094848
128186396,64964556,5428588102,3109557413,997385252,9088,0,420110773,41680896,4235657216,48300032
128186396,64964556,5428588102,3109557413,997385252,9088,0,420110773,41680896,4235657216,48300032
145720967,81154875,5850916509,3272061496,1066167787,1859,0,419769416,41811968,6705184768,0
145720967,81154875,5850916509,3272061496,1066167787,1859,0,419769416,41811968,6705184768,0
130098118,70055563,5323267902,3282414770,1182350089,12023,0,420096086,41680896,5185536000,18808832
130098118,70055563,5323267902,3282414770,1182350089,12023,0,420096086,41680896,5185536000,18808832
137776621,69910533,5592827852,3075549754,952348739,1864,0,420045850,41811968,5544411136,0
137776621,69910533,5592827852,3075549754,952348739,1864,0,420045850,41811968,5544411136,0
125140737,72533750,5528635381,3242731234,1097844999,11760,0,420004991,41746432,5456068608,14548992
125140737,72533750,5528635381,3242731234,1097844999,11760,0,420004991,41746432,5456068608,14548992
151469533,73923175,5795422914,3286158403,1085170538,5348,0,420079108,39714816,5677645824,3014656
151469533,73923175,5795422914,3286158403,1085170538,5348,0,420079108,39714816,5677645824,3014656
140676490,75715198,5359493271,3270671201,1170139614,6541,0,420176172,41746432,6552289280,34144256
140676490,75715198,5359493271,3270671201,1170139614,6541,0,420176172,41746432,6552289280,34144256
134473135,68028867,5843642846,3199274171,983288147,9467,0,419934870,41746432,4210622464,0
134473135,68028867,5843642846,3199274171,983288147,9467,0,419934870,41746432,4210622464,0
134935801,79276823,4924570873,3128186908,1188721127,3973,0,420081107,41680896,7287144448,2949120
134935801,79276823,4924570873,3128186908,1188721127,3973,0,420081107,41680896,7287144448,2949120
137396317,68419574,5895440806,3268601105,974341074,8065,0,420033571,41746432,4249616384,47710208
137396317,68419574,5895440806,3268601105,974341074,8065,0,420033571,41746432,4249616384,47710208
150232020,79041772,5847420372,3289220310,1106202641,8307,0,419960101,41222144,6711869440,3145728
150232020,79041772,5847420372,3289220310,1106202641,8307,0,419960101,41222144,6711869440,3145728
128870699,70751800,5317476185,3295741893,1221794082,11220,0,420157778,41811968,5358223360,0
128870699,70751800,5317476185,3295741893,1221794082,11220,0,420157778,41811968,5358223360,0
146641164,75810177,6101298409,3266963528,957951218,2619,0,420202582,41877504,5818613760,0
146641164,75810177,6101298409,3266963528,957951218,2619,0,420202582,41877504,5818613760,0
115736880,69901724,5194832855,3080433950,1061220899,6339,0,420041666,41680896,5319491584,14745600
115736880,69901724,5194832855,3080433950,1061220899,6339,0,420041666,41680896,5319491584,14745600
149030919,73773687,5676630829,3257728092,1062359513,3800,0,420119448,41222144,5630263296,0
149030919,73773687,5676630829,3257728092,1062359513,3800,0,420119448,41222144,5630263296,0
139713740,75991779,5391761045,3257452003,1144642219,5493,0,419974147,41746432,6551699456,44302336
139713740,75991779,5391761045,3257452003,1144642219,5493,0,419974147,41746432,6551699456,44302336
130157478,66040369,5653576089,3125094432,973585098,6514,0,419993090,41680896,4250140672,0
130157478,66040369,5653576089,3125094432,973585098,6514,0,419993090,41680896,4250140672,0
139261879,77311478,5014904760,3205454307,1222690701,5363,0,420035406,41877504,7276527616,7667712
139261879,77311478,5014904760,3205454307,1222690701,5363,0,420035406,41877504,7276527616,7667712
137787326,67433664,6004680825,3268616828,979038730,11508,0,420177703,41877504,4085841920,49545216
137787326,67433664,6004680825,3268616828,979038730,11508,0,420177703,41877504,4085841920,49545216
145580050,82038870,5805841741,3286824456,1112441288,2476,0,420084945,41746432,6894190592,0
145580050,82038870,5805841741,3286824456,1112441288,2476,0,420084945,41746432,6894190592,0
126738758,68895514,4850935760,3122221286,1144604358,7973,1,419968542,41877504,5023334400,20054016
126738758,68895514,4850935760,3122221286,1144604358,7973,1,419968542,41877504,5023334400,20054016
148887695,77536122,6418544599,3272428056,931622185,2326,0,419970019,41615360,5953748992,0
148887695,77536122,6418544599,3272428056,931622185,2326,0,419970019,41615360,5953748992,0
126682407,72317186,5641578084,3272664124,1085816280,10290,0,420260246,41680896,5499256832,49414144
126682407,72317186,5641578084,3272664124,1085816280,10290,0,420260246,41680896,5499256832,49414144
149001837,72796747,5571269985,3255589940,1099554969,5622,0,420030632,41418752,5564268544,0
149001837,72796747,5571269985,3255589940,1099554969,5622,0,420030632,41418752,5564268544,0
142789286,77046074,5351521000,3294514601,1185246779,9440,0,420039333,41877504,6687096832,34799616
142789286,77046074,5351521000,3294514601,1185246779,9440,0,420039333,41877504,6687096832,34799616
136403094,69302220,6065110643,3282071043,984950977,8594,0,420059836,41877504,4281270272,0
136403094,69302220,6065110643,3282071043,984950977,8594,0,420059836,41877504,4281270272,0
143313342,80238065,5249632589,3240766956,1216950480,3258,0,419828150,41811968,7412383744,3407872
143313342,80238065,5249632589,3240766956,1216950480,3258,0,419828150,41811968,7412383744,3407872
127449484,64794898,5456051067,3119027135,999795773,12746,0,420123893,41877504,4175167488,43515904
127449484,64794898,5456051067,3119027135,999795773,12746,0,420123893,41877504,4175167488,43515904
145097010,78293494,5785776772,3229164295,1059380310,2172,0,420120302,41615360,6611861504,5046272
145097010,78293494,5785776772,3229164295,1059380310,2172,0,420120302,41615360,6611861504,5046272
129982880,71108498,5294668324,3286222429,1197485297,12427,0,420137032,41680896,5276762112,0
129982880,71108498,5294668324,3286222429,1197485297,12427,0,420137032,41680896,5276762112,0
148090333,75460378,6107323490,3270756753,992754908,2424,0,420101161,41615360,5810946048,0
148090333,75460378,6107323490,3270756753,992754908,2424,0,420101161,41615360,5810946048,0
124962458,73095001,5516088901,3231408791,1104808336,7055,0,420086866,41746432,5740691456,42991616
124962458,73095001,5516088901,3231408791,1104808336,7055,0,420086866,41746432,5740691456,42991616
148372618,73297387,5655893393,3261512321,1070423622,6644,0,420069461,41680896,5387649024,0
148372618,73297387,5655893393,3261512321,1070423622,6644,0,420069461,41680896,5387649024,0
144427831,78502505,5292355334,3278948434,1193638765,8177,0,420038633,41615360,6905659392,46268416
144427831,78502505,5292355334,3278948434,1193638765,8177,0,420038633,41615360,6905659392,46268416
135093572,68136965,6122481200,3258166617,969021032,6351,0,420146265,41877504,4116709376,14221312
135093572,68136965,6122481200,3258166617,969021032,6351,0,420146265,41877504,4116709376,14221312
144614476,81580824,5360547920,3266167241,1213300216,2730,0,420091098,41680896,7367360512,0
144614476,81580824,5360547920,3266167241,1213300216,2730,0,420091098,41680896,7367360512,0
134494288,70379986,5276053834,3284254058,1185871276,10520,0,420087283,41615360,5056888832,29556736
134494288,70379986,5276053834,3284254058,1185871276,10520,0,420087283,41615360,5056888832,29556736
138796985,75445079,5974127325,3127771980,937418725,2572,0,420198016,41287680,5981863936,0
138796985,75445079,5974127325,3127771980,937418725,2572,0,420198016,41287680,5981863936,0
126828715,70619674,5277147230,3202773716,1128475620,9906,0,420123837,41811968,5105516544,17956864
126828715,70619674,5277147230,3202773716,1128475620,9906,0,420123837,41811968,5105516544,17956864
149336247,74460423,6142030764,3280889617,980883756,2930,0,420036120,41680896,5673975808,0
149336247,74460423,6142030764,3280889617,980883756,2930,0,420036120,41680896,5673975808,0
125698965,72254048,5288759505,3238502333,1138349709,7597,0,420099757,41877504,5955977216,43253760
125698965,72254048,5288759505,3238502333,1138349709,7597,0,420099757,41877504,5955977216,43253760
151262450,72912843,5922908023,3315497874,1091151310,6769,0,420077861,41615360,5242290176,0
151262450,72912843,5922908023,3315497874,1091151310,6769,0,420077861,41615360,5242290176,0
140318500,77656795,5174743966,3266988287,1220691159,5651,0,420043071,41811968,7074152448,34668544
140318500,77656795,5174743966,3266988287,1220691159,5651,0,420043071,41811968,7074152448,34668544
138296364,69983894,5992829289,3275645377,959712460,11011,0,420191163,41877504,4150657024,10747904
138296364,69983894,5992829289,3275645377,959712460,11011,0,420191163,41877504,4150657024,10747904
150014282,81607803,5650787047,3289505964,1166792663,2646,0,420051446,41484288,7124353024,0
150014282,81607803,5650787047,3289505964,1166792663,2646,0,420051446,41484288,7124353024,0
130459740,69620416,5231191996,3265007432,1197707825,13417,0,420117429,41811968,5192876032,16515072
130459740,69620416,5231191996,3265007432,1197707825,13417,0,420117429,41811968,5192876032,16515072
148715683,78084801,6221556667,3309750534,988886637,3945,0,420037177,41680896,6008537088,0
148715683,78084801,6221556667,3309750534,988886637,3945,0,420037177,41680896,6008537088,0
124832480,73210510,5696897165,3274291092,1091504931,9857,0,420069888,41746432,5541396480,41943040
124832480,73210510,5696897165,3274291092,1091504931,9857,0,420069888,41746432,5541396480,41943040
150019635,73657053,5678442088,3259496045,1073389902,5530,0,420069685,41680896,5580718080,0
150019635,73657053,5678442088,3259496045,1073389902,5530,0,420069685,41680896,5580718080,0
127828556,70938648,5080281127,3055690323,1047921314,7930,0,420091798,41877504,6094520320,28770304
127828556,70938648,5080281127,3055690323,1047921314,7930,0,420091798,41877504,6094520320,28770304
143254087,70658067,6036566975,3288224195,1031847990,7472,0,420120862,41811968,4604035072,0
143254087,70658067,6036566975,3288224195,1031847990,7472,0,420120862,41811968,4604035072,0
141002789,78894106,5122506223,3239343940,1240973022,3013,0,420068635,41615360,7383023616,2555904
141002789,78894106,5122506223,3239343940,1240973022,3013,0,420068635,41615360,7383023616,2555904
137065094,68365993,5819352561,3268584065,1020037320,6897,0,420073808,41746432,4367581184,44105728
137065094,68365993,5819352561,3268584065,1020037320,6897,0,420073808,41746432,4367581184,44105728
148634343,80433848,5854887818,3286881246,1098413318,2446,0,420135149,41615360,6841171968,0
148634343,80433848,5854887818,3286881246,1098413318,2446,0,420135149,41615360,6841171968,0
128630670,69250437,5361972606,3288865233,1185192396,9860,0,419996157,41680896,5136777216,13303808
128630670,69250437,5361972606,3288865233,1185192396,9860,0,419996157,41680896,5136777216,13303808
148019407,76372488,6032203021,3300613491,981928310,2777,0,420102179,41746432,5771886592,0
148019407,76372488,6032203021,3300613491,981928310,2777,0,420102179,41746432,5771886592,0
128957643,73494640,5465889929,3266296474,1129334696,10358,0,420106345,41811968,5956501504,47251456
128957643,73494640,5465889929,3266296474,1129334696,10358,0,420106345,41811968,5956501504,47251456
147954828,72114411,5854872241,3262803658,1062162702,6510,0,420090270,41615360,5160042496,0
147954828,72114411,5854872241,3262803658,1062162702,6510,0,420090270,41615360,5160042496,0
142735074,78420997,5338807106,3273877022,1212932604,7972,0,420279792,41811968,7100760064,45285376
142735074,78420997,5338807106,3273877022,1212932604,7972,0,420279792,41811968,7100760064,45285376
136876549,68369904,6027478074,3275880016,959635468,9125,0,420221269,41877504,4144693248,8192000
136876549,68369904,6027478074,3275880016,959635468,9125,0,420221269,41877504,4144693248,8192000
146207336,80185434,5468042450,3258280436,1163603585,3085,0,420044120,41746432,7150829568,0
146207336,80185434,5468042450,3258280436,1163603585,3085,0,420044120,41746432,7150829568,0
130936174,67880713,5250384894,3245489260,1185152598,9181,0,420162982,41746432,5027594240,20643840
130936174,67880713,5250384894,3245489260,1185152598,9181,0,420162982,41746432,5027594240,20643840
145421454,78449604,6160143947,3294040967,969382962,2539,0,420105245,41680896,6116278272,0
145421454,78449604,6160143947,3294040967,969382962,2539,0,420105245,41680896,6116278272,0
127351419,71846769,5558862256,3281715253,1119891126,10749,0,420004382,41680896,5366284288,20316160
127351419,71846769,5558862256,3281715253,1119891126,10749,0,420004382,41680896,5366284288,20316160
148824426,73084700,5800590509,3239513393,1039290335,2991,0,420107068,41746432,5566431232,36372480
148824426,73084700,5800590509,3239513393,1039290335,2991,0,420107068,41746432,5566431232,36372480
134430362,74874420,5321115904,3258155803,1156493092,6140,0,420135125,41877504,6369837056,0
134430362,74874420,5321115904,3258155803,1156493092,6140,0,420135125,41877504,6369837056,0
141278059,70812241,5846018613,3260305593,1040203963,8598,0,420157815,41615360,4693491712,0
141278059,70812241,5846018613,3260305593,1040203963,8598,0,420157815,41615360,4693491712,0
144797986,80475365,5256006027,3313447367,1272909406,5719,0,420016863,41549824,7433814016,10158080
144797986,80475365,5256006027,3313447367,1272909406,5719,0,420016863,41549824,7433814016,10158080
135924876,67847601,5902553546,3261702778,994468543,8462,0,420183414,41746432,4359258112,39780352
135924876,67847601,5902553546,3261702778,994468543,8462,0,420183414,41746432,4359258112,39780352
145058568,78512295,5735017510,3237935932,1060958318,1998,0,419798065,41549824,6601572352,4784128
145058568,78512295,5735017510,3237935932,1060958318,1998,0,419798065,41549824,6601572352,4784128
128643151,70745154,5183319267,3243244597,1179956273,11888,0,420118033,41811968,5290262528,0
128643151,70745154,5183319267,3243244597,1179956273,11888,0,420118033,41811968,5290262528,0
149920203,76400130,6251917476,3299905412,983973421,2370,0,420087003,39518208,5868027904,0
149920203,76400130,6251917476,3299905412,983973421,2370,0,420087003,39518208,5868027904,0
117153174,70666365,5348697611,3114622685,1045253990,8276,0,420096880,41811968,5363138560,53542912
117153174,70666365,5348697611,3114622685,1045253990,8276,0,420096880,41811968,5363138560,53542912
147952709,71945468,5586634585,3221395228,1068768303,4018,0,420132461,41811968,5536874496,0
147952709,71945468,5586634585,3221395228,1068768303,4018,0,420132461,41811968,5536874496,0
140586769,76759168,5377848734,3296490738,1177212234,4990,0,420003948,41877504,6611599360,41353216
140586769,76759168,5377848734,3296490738,1177212234,4990,0,420003948,41877504,6611599360,41353216
137420996,69467297,5968840859,3253656316,1000655170,11079,0,420116956,41746432,4369022976,0
137420996,69467297,5968840859,3253656316,1000655170,11079,0,420116956,41746432,4369022976,0
131694667,76241978,4716483609,3037230598,1177586329,4340,0,419997599,41746432,7155613696,22478848
131694667,76241978,4716483609,3037230598,1177586329,4340,0,419997599,41746432,7155613696,22478848
136033379,66299812,5895780789,3234999556,968802967,9332,0,420192381,41746432,4004773888,42270720
136033379,66299812,5895780789,3234999556,968802967,9332,0,420192381,41746432,4004773888,42270720
149886802,81877767,5845823739,3295064487,1121995997,2960,0,419997539,41746432,6963920896,0
149886802,81877767,5845823739,3295064487,1121995997,2960,0,419997539,41746432,6963920896,0
128664636,69074104,5149075574,3260967142,1192708013,12434,0,419887653,41746432,5172428800,30474240
128664636,69074104,5149075574,3260967142,1192708013,12434,0,419887653,41746432,5172428800,30474240
149020150,76832271,6168999957,3298818360,1001928530,4690,0,420164844,41680896,5945950208,983040
149020150,76832271,6168999957,3298818360,1001928530,4690,0,420164844,41680896,5945950208,983040
124607689,72207144,5661175457,3253576573,1092911077,8866,0,420115311,41615360,5617811456,40239104
124607689,72207144,5661175457,3253576573,1092911077,8866,0,420115311,41615360,5617811456,40239104
145973012,71747926,5479502673,3217061646,1055410025,19203,0,420086338,41877504,5350621184,0
145973012,71747926,5479502673,3217061646,1055410025,19203,0,420086338,41877504,5350621184,0
137906352,74871839,5283056123,3196788865,1131509241,3840,0,420090993,41877504,6449594368,35913728
137906352,74871839,5283056123,3196788865,1131509241,3840,0,420090993,41877504,6449594368,35913728
140215529,71060537,6065275332,3301090682,995381014,7604,0,420089624,41746432,4471062528,0
140215529,71060537,6065275332,3301090682,995381014,7604,0,420089624,41746432,4471062528,0
144738368,79185026,5222202914,3278713769,1221075512,2465,0,420196962,41811968,7421427712,8847360
144738368,79185026,5222202914,3278713769,1221075512,2465,0,420196962,41811968,7421427712,8847360
134137562,67936018,5617573266,3245780249,1069035214,6791,0,420137642,41877504,4577820672,45088768
134137562,67936018,5617573266,3245780249,1069035214,6791,0,420137642,41877504,4577820672,45088768
141862878,79471760,5787799075,3212544883,1022718243,1980,0,420105672,41877504,6531842048,0
141862878,79471760,5787799075,3212544883,1022718243,1980,0,420105672,41877504,6531842048,0
131039054,70659040,5339764465,3254110286,1143863142,11179,0,420137186,41877504,5180096512,11206656
131039054,70659040,5339764465,3254110286,1143863142,11179,0,420137186,41877504,5180096512,11206656
152815616,74914940,6192604376,3298070061,1013539825,2638,0,420099983,41877504,5761204224,0
152815616,74914940,6192604376,3298070061,1013539825,2638,0,420099983,41877504,5761204224,0
126195247,73682492,5434828377,3240008258,1111819822,7328,0,420046289,41877504,6000082944,42270720
