llc_references,llc_misses,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
71353051,39340644,7227407895,3280341914,699178378,5463,0,804746590,31653888,8286437376,0
71353051,39340644,7227407895,3280341914,699178378,5463,0,804746590,31653888,8286437376,0
119680849,64341581,5724003577,3098168991,975572524,2698,0,420173502,41156608,6188564480,33030144
119680849,64341581,5724003577,3098168991,975572524,2698,0,420173502,41156608,6188564480,33030144
131664645,68609425,5805399430,3257873037,1038907498,5706,0,420141461,41287680,4397465600,60424192
131664645,68609425,5805399430,3257873037,1038907498,5706,0,420141461,41287680,4397465600,60424192
143361713,75969822,5559940657,3245713483,1085958241,3327,0,419811042,39649280,6534594560,10551296
143361713,75969822,5559940657,3245713483,1085958241,3327,0,419811042,39649280,6534594560,10551296
120465631,64980578,4540494033,3059973642,1179474685,6481,1,420208210,40304640,4733075456,0
120465631,64980578,4540494033,3059973642,1179474685,6481,1,420208210,40304640,4733075456,0
146076156,78253564,5945325821,3262092578,973746078,2255,0,420011347,40566784,6156255232,0
146076156,78253564,5945325821,3262092578,973746078,2255,0,420011347,40566784,6156255232,0
117263666,68091729,5130082076,3141272479,1117032376,7051,0,420166108,40108032,5058134016,37027840
117263666,68091729,5130082076,3141272479,1117032376,7051,0,420166108,40108032,5058134016,37027840
147345457,75856336,5831317132,3272127268,1021457198,12562,0,420129964,40894464,5676597248,0
147345457,75856336,5831317132,3272127268,1021457198,12562,0,420129964,40894464,5676597248,0
124542365,72752245,5432382531,3249966194,1154629837,7075,0,420489923,40632320,5886246912,67305472
124542365,72752245,5432382531,3249966194,1154629837,7075,0,420489923,40632320,5886246912,67305472
145712989,73297105,5667288669,3287094615,1105316753,12095,0,420080437,39321600,5242683392,0
145712989,73297105,5667288669,3287094615,1105316753,12095,0,420080437,39321600,5242683392,0
132763226,73901619,4880329349,3122834708,1164969416,4570,0,419912171,41680896,6586433536,39780352
132763226,73901619,4880329349,3122834708,1164969416,4570,0,419912171,41680896,6586433536,39780352
136342579,70968896,5918747390,3305898004,1033782003,16924,0,420149007,40763392,4257480704,0
136342579,70968896,5918747390,3305898004,1033782003,16924,0,420149007,40763392,4257480704,0
139631189,79797065,5168080175,3228114782,1232417821,10057,0,420048554,39911424,7400783872,3997696
139631189,79797065,5168080175,3228114782,1232417821,10057,0,420048554,39911424,7400783872,3997696
127349352,64748933,5481314621,3125862120,970420982,7524,0,420204757,41484288,3955884032,80412672
127349352,64748933,5481314621,3125862120,970420982,7524,0,420204757,41484288,3955884032,80412672
143946285,80611320,5611919723,3265710520,1153689095,2302,0,420007014,40697856,6828064768,0
